MutationType	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
A[Del(C):R6]A	0	0	4	1	0	0	0	1	1	0	1	0	174	1	0	1	137	2	1	2	2	0	2	1	2	0	0	2	0	0	0	380	2	0	0	2	0	1	3	0	0	1	0	2
A[Del(C):R6]G	0	0	0	0	0	0	0	1	0	0	0	0	45	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	75	2	0	0	0	0	1	1	0	1	0	0	0
A[Del(C):R6]T	0	0	0	0	0	2	0	3	0	0	1	1	87	0	0	0	99	2	1	1	2	0	0	0	0	1	1	1	1	0	0	154	4	0	0	1	0	1	1	1	2	1	2	0
A[Del(C):R7]A	0	0	1	0	0	3	0	0	1	0	1	0	284	1	0	1	161	1	0	2	1	1	1	0	2	0	0	0	0	0	2	378	0	0	0	0	0	1	0	1	0	0	0	0
A[Del(C):R7]G	0	0	1	0	0	0	0	0	0	0	0	0	45	1	0	0	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	91	0	0	1	1	0	0	0	0	1	0	0	0
A[Del(C):R7]T	0	0	2	1	0	0	0	0	0	0	1	0	38	0	0	0	41	0	0	1	0	0	1	0	0	0	0	0	1	0	0	80	0	0	0	0	1	2	1	0	0	0	0	0
A[Del(C):R8]A	0	0	0	1	3	1	0	0	0	3	1	0	217	3	0	0	91	1	2	1	1	0	3	0	4	0	1	3	1	2	1	196	2	0	2	0	0	2	3	1	1	0	0	0
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	1	0	0	2	0	0	0	0	0	0	0	31	0	0	0	30	0	0	0	0	0	1	0	1	0	0	1	0	0	0	52	1	0	0	1	0	0	0	0	1	0	1	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	1	0	4	2	2	2	5	0	2	4	3	1	3	4	1	2	2	1	0	4	4	0	8	1	2	0	1	3	4	3	3	12	3	2	3	3	1	3	4	1	4	2	9	0
G[Del(C):R1]G	0	0	0	1	1	1	1	0	2	1	2	0	14	0	0	0	16	0	1	2	0	1	0	1	1	0	1	0	0	0	2	23	1	1	0	1	0	0	1	0	0	3	1	0
G[Del(C):R1]T	0	2	4	2	6	3	1	1	3	10	12	1	11	6	4	3	9	1	8	19	9	1	27	2	4	0	0	13	4	2	2	15	9	3	4	2	6	10	8	5	3	4	10	7
G[Del(C):R2]A	2	4	1	0	8	1	0	0	2	3	9	0	5	2	2	2	1	2	0	10	1	0	4	1	0	0	0	7	1	0	4	20	4	0	7	2	4	7	4	0	1	2	5	1
G[Del(C):R2]G	0	0	2	0	1	0	1	0	0	0	1	0	4	0	0	1	2	1	0	1	3	0	1	0	0	0	0	0	1	0	1	3	2	0	1	0	0	0	0	0	0	0	0	0
G[Del(C):R2]T	0	2	2	1	1	1	2	1	0	3	5	0	4	2	0	2	20	0	1	10	7	1	5	2	0	0	3	3	2	2	3	12	1	0	3	5	3	5	3	2	1	3	1	1
G[Del(C):R3]A	0	1	1	3	4	2	0	0	0	3	4	1	11	0	1	1	6	2	0	5	2	1	2	1	0	0	1	4	1	1	1	26	1	2	2	1	5	4	2	2	3	0	1	1
G[Del(C):R3]G	0	0	0	0	1	0	0	0	0	1	1	1	5	2	0	0	3	0	0	1	2	1	0	0	1	0	0	0	1	0	0	7	0	0	1	0	1	0	0	1	0	0	0	0
G[Del(C):R3]T	0	1	1	2	2	0	0	1	0	1	2	2	5	0	0	0	6	0	0	5	3	3	7	1	0	0	0	1	2	1	1	16	1	3	1	1	2	1	4	0	0	2	1	0
G[Del(C):R4]A	1	0	1	2	2	0	0	0	1	0	1	0	43	1	0	2	6	0	1	1	2	2	0	1	1	0	1	3	3	0	0	64	1	1	2	0	0	0	0	0	0	0	1	0
G[Del(C):R4]G	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	5	0	0	0	1	0	1	0	1	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R4]T	1	0	0	0	0	0	0	0	0	1	1	0	21	0	0	0	14	1	0	1	0	1	1	1	0	0	0	3	0	0	0	48	0	0	0	1	1	2	0	1	1	0	1	0
G[Del(C):R5]A	0	1	3	2	1	1	1	0	1	0	1	0	73	1	0	2	23	0	0	2	1	0	0	0	0	0	1	1	1	1	0	164	2	0	2	0	0	1	0	0	0	3	0	0
G[Del(C):R5]G	0	0	0	0	1	0	0	0	0	1	0	0	22	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	54	1	0	0	0	0	1	0	0	1	0	1	0
G[Del(C):R5]T	0	0	1	0	1	0	0	1	0	1	2	1	59	0	1	0	35	1	1	3	0	0	0	0	1	0	0	2	1	0	0	174	0	0	0	3	1	0	0	0	0	0	1	1
G[Del(C):R6]A	0	0	0	2	0	1	0	0	1	0	1	1	121	1	2	0	47	0	0	1	1	1	0	2	0	0	0	4	1	0	0	257	0	0	0	0	0	1	0	0	0	1	1	0
G[Del(C):R6]G	0	1	1	0	0	0	0	0	0	1	2	0	43	0	0	0	75	0	0	3	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R6]T	0	0	0	1	1	1	0	1	1	0	0	1	60	0	0	0	86	0	0	0	2	1	1	0	2	0	0	0	0	0	0	122	1	0	0	0	1	1	0	0	1	0	2	0
G[Del(C):R7]A	0	0	0	0	0	0	0	1	0	0	0	0	100	0	0	0	62	0	2	0	2	0	1	1	0	0	0	0	0	0	0	170	2	0	1	0	0	0	1	0	1	1	0	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	45	0	0	0	1	0	0	0	0	0	0	0	1	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]T	0	0	1	2	0	0	0	0	0	1	0	0	35	1	0	0	49	0	0	0	0	0	0	1	1	0	0	3	0	1	0	62	1	0	0	1	0	0	0	0	1	1	0	0
G[Del(C):R8]A	0	0	1	0	0	1	1	1	0	1	2	0	105	0	1	0	54	0	0	3	1	1	4	0	3	0	0	2	0	2	0	113	2	1	0	0	1	2	1	0	1	1	1	0
G[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	1	0
G[Del(C):R8]T	0	0	0	1	0	0	0	0	0	0	0	0	30	0	0	2	35	0	1	0	1	1	0	0	0	0	0	1	1	0	0	34	2	0	0	0	0	0	0	0	1	0	0	1
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	1	4	5	5	3	1	1	3	3	5	8	3	21	3	2	2	17	1	5	5	9	2	8	5	9	1	3	6	7	1	1	33	5	2	9	8	6	6	12	3	2	4	5	0
T[Del(C):R1]G	0	0	2	0	0	2	1	0	1	2	2	1	4	1	0	2	5	2	0	2	0	0	0	0	0	0	0	3	0	0	0	11	0	0	1	0	1	0	0	0	0	0	3	1
T[Del(C):R1]T	4	11	12	6	17	8	3	6	5	11	23	3	90	11	5	12	106	8	9	39	20	8	27	7	7	2	6	27	16	7	3	174	16	11	19	13	11	10	22	10	11	8	30	6
T[Del(C):R2]A	1	1	1	1	4	1	0	1	0	4	6	1	15	5	3	0	13	2	4	8	3	2	3	3	4	1	1	1	1	5	1	33	3	1	8	2	0	0	1	2	3	4	4	1
T[Del(C):R2]G	0	0	2	0	2	0	0	1	0	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	3	1	1	1	1	0	0	0	0	0	1	1	0
T[Del(C):R2]T	1	3	1	6	4	2	2	6	5	6	12	2	35	4	2	9	30	2	5	17	6	4	11	3	6	1	4	5	11	2	6	34	6	4	10	8	11	5	8	4	4	6	15	2
T[Del(C):R3]A	2	1	1	0	1	1	0	3	1	2	1	0	20	0	3	0	10	3	4	5	2	3	2	1	2	0	2	10	4	1	2	14	0	1	7	5	1	2	4	1	1	1	7	2
T[Del(C):R3]G	0	0	1	0	0	1	0	2	0	0	0	0	9	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	8	0	1	0	0	0	1	0	0	0	1	1	0
T[Del(C):R3]T	0	0	1	2	1	1	0	0	3	2	2	0	27	1	2	1	19	1	0	5	5	0	2	4	3	0	1	4	1	0	4	31	1	3	3	0	1	1	3	2	1	3	3	2
T[Del(C):R4]A	0	0	1	0	2	1	1	2	0	0	5	0	85	2	2	2	21	2	1	6	3	0	1	2	4	0	1	3	0	2	1	89	2	1	1	1	1	0	0	0	0	3	2	0
T[Del(C):R4]G	0	0	1	0	0	1	0	1	0	0	0	0	39	1	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	0	0	0	1	1	0	1
T[Del(C):R4]T	0	0	0	2	2	0	1	0	1	0	2	0	32	2	0	1	18	2	2	2	1	1	0	1	0	0	0	0	0	2	2	54	3	0	1	0	0	0	2	0	1	1	3	0
T[Del(C):R5]A	1	2	0	0	0	1	1	1	0	1	0	2	145	0	0	0	31	2	4	0	2	0	1	0	0	0	0	1	2	0	1	202	3	0	1	1	0	4	1	0	3	1	2	0
T[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	1	0	0	0
T[Del(C):R5]T	0	0	1	0	0	0	0	0	0	1	0	2	166	1	0	0	73	0	1	0	0	1	0	0	0	0	0	3	0	0	0	272	0	0	0	1	0	0	0	1	1	1	0	3
T[Del(C):R6]A	0	1	4	0	1	1	0	1	1	2	1	0	227	0	0	0	89	1	1	1	2	3	1	2	3	1	1	2	1	1	0	330	4	3	2	1	0	0	1	0	2	0	1	2
T[Del(C):R6]G	0	0	0	0	0	1	0	0	0	0	0	0	44	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	1	0
T[Del(C):R6]T	1	1	2	1	1	1	1	0	2	0	1	1	117	1	0	0	122	0	3	1	1	0	2	0	1	1	0	1	1	0	0	172	0	1	0	0	0	0	3	0	0	1	1	0
T[Del(C):R7]A	0	0	0	0	1	0	0	2	0	1	0	0	268	0	0	0	103	0	0	1	0	0	0	2	1	0	0	3	1	0	0	296	1	1	1	0	1	2	2	0	0	1	1	0
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	74	1	0	0	1	0	0	0	0	0	0	0	1
T[Del(C):R7]T	0	1	1	2	1	2	0	1	2	0	1	1	80	0	0	0	105	0	2	1	1	0	1	0	0	0	0	2	0	0	1	142	2	0	0	0	0	1	1	1	1	1	0	1
T[Del(C):R8]A	0	1	3	1	1	0	0	0	2	0	1	1	177	2	1	0	60	0	1	1	1	1	0	1	2	0	0	1	0	1	0	176	0	0	0	1	0	0	0	0	1	1	0	1
T[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	1	0	0
T[Del(C):R8]T	0	0	0	0	0	1	0	1	0	0	1	0	47	1	0	0	32	0	0	1	0	0	0	0	0	0	0	2	0	0	0	57	0	0	0	0	0	0	1	0	0	0	1	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	0	2	5	3	3	5	2	4	12	16	9	1	85	6	1	9	110	4	3	15	12	4	10	6	8	2	8	7	8	5	4	127	11	5	12	9	5	15	17	2	6	8	12	4
A[Del(T):R1]C	0	0	3	0	0	1	0	3	4	2	3	1	17	4	0	3	8	0	0	3	7	3	5	0	2	0	2	5	4	0	1	25	1	2	1	2	0	3	3	0	8	0	6	2
A[Del(T):R1]G	3	0	1	3	3	0	1	0	1	2	3	0	21	2	7	3	23	2	1	3	4	0	2	4	0	0	2	2	6	0	2	24	7	2	2	0	4	2	2	2	1	1	2	0
A[Del(T):R2]A	1	2	5	4	2	3	1	2	3	2	5	0	78	5	3	3	52	1	3	6	3	5	3	0	3	0	2	10	8	1	2	94	3	4	1	1	9	3	12	5	7	2	8	2
A[Del(T):R2]C	1	1	1	3	1	0	2	2	0	2	4	0	19	1	1	4	14	0	1	5	1	2	2	1	4	0	0	5	3	0	0	26	1	2	3	3	1	1	2	1	0	0	0	1
A[Del(T):R2]G	0	0	0	1	0	1	1	0	0	5	2	0	16	2	1	3	12	0	2	2	1	2	1	4	2	0	2	2	3	2	0	38	1	4	3	1	1	2	8	1	2	1	1	2
A[Del(T):R3]A	1	4	8	3	5	2	2	4	7	5	7	0	90	2	2	5	64	5	10	9	8	3	7	3	2	0	2	12	8	3	4	144	4	3	6	2	7	6	8	5	5	11	4	2
A[Del(T):R3]C	0	1	3	2	1	0	1	1	1	1	3	0	25	2	1	1	18	1	0	3	5	0	3	2	1	1	0	7	4	3	0	43	1	2	2	2	2	0	2	2	1	0	0	1
A[Del(T):R3]G	1	1	2	2	0	0	0	0	1	3	5	1	24	2	0	0	27	0	1	5	4	1	2	3	1	0	1	3	3	1	1	53	0	1	4	2	0	1	1	2	1	0	3	0
A[Del(T):R4]A	1	3	2	4	2	3	1	4	4	7	6	3	124	7	5	2	94	3	6	7	14	3	8	1	7	0	3	9	8	1	0	369	9	1	4	5	3	16	5	3	5	4	7	2
A[Del(T):R4]C	1	0	6	4	3	2	1	1	4	0	3	0	94	6	0	3	73	0	1	4	5	4	8	0	3	0	1	7	1	2	1	257	1	1	5	3	1	5	1	2	2	5	1	2
A[Del(T):R4]G	1	0	6	4	4	4	1	1	2	1	6	1	71	2	3	1	52	2	1	6	2	3	8	1	5	0	0	7	4	2	0	193	2	1	0	6	3	2	6	2	3	2	6	3
A[Del(T):R5]A	1	2	13	8	9	9	1	5	11	9	10	3	559	10	3	7	521	9	5	14	13	8	8	6	11	1	3	15	10	8	5	1620	10	3	7	11	7	13	7	5	9	10	10	6
A[Del(T):R5]C	1	1	11	3	3	4	0	2	6	10	9	1	218	4	1	2	257	1	5	11	5	3	10	1	6	0	2	6	2	3	3	731	11	2	4	4	5	8	5	3	6	7	3	1
A[Del(T):R5]G	2	3	5	8	5	4	5	2	3	4	4	0	284	5	1	1	254	3	9	6	5	2	5	1	4	0	3	8	5	4	3	920	8	5	5	6	5	2	10	2	5	7	1	1
A[Del(T):R6]A	1	4	23	19	13	16	5	12	18	12	10	10	1234	10	3	10	1227	4	29	14	15	3	25	27	25	0	10	28	32	4	12	3328	26	6	9	24	10	20	26	7	11	10	12	16
A[Del(T):R6]C	0	3	8	8	3	6	2	9	8	8	14	2	404	11	1	8	662	3	10	13	6	2	11	6	13	2	3	14	11	3	3	948	11	3	10	8	5	10	15	5	10	8	10	8
A[Del(T):R6]G	0	4	11	9	5	9	5	1	11	5	8	1	598	7	1	5	800	3	12	10	4	4	9	6	7	0	3	10	5	1	3	1586	11	1	8	6	3	6	11	4	9	6	6	7
A[Del(T):R7]A	1	5	33	22	18	18	5	14	30	18	30	14	1731	16	8	10	1600	2	31	35	25	9	34	35	25	0	4	42	32	10	13	4273	36	5	14	13	13	17	29	17	14	26	22	9
A[Del(T):R7]C	0	2	18	18	11	16	3	9	18	19	14	8	1018	14	7	9	1430	4	21	22	20	11	27	16	18	1	2	36	25	6	3	2341	30	8	10	18	19	10	23	10	16	14	20	10
A[Del(T):R7]G	0	4	18	21	10	12	2	14	19	17	15	4	1335	11	6	6	1533	2	15	17	11	7	19	14	20	1	2	31	16	6	5	3375	24	6	10	12	6	19	22	3	10	14	12	7
A[Del(T):R8]A	0	3	50	28	43	24	5	27	35	41	48	17	2719	20	10	23	2555	9	43	53	30	13	57	41	40	1	8	75	43	11	14	6261	78	11	24	23	24	29	57	22	16	29	32	19
A[Del(T):R8]C	0	6	39	33	18	20	8	29	25	25	33	9	1762	15	3	14	2807	7	46	39	28	11	42	26	31	2	2	43	31	8	7	3632	55	13	14	18	15	21	40	11	22	19	18	13
A[Del(T):R8]G	0	3	33	19	20	18	4	14	23	15	16	12	1647	14	7	10	1601	10	17	20	16	6	25	15	22	0	3	30	21	13	10	3891	28	4	8	17	7	14	34	5	10	18	11	9
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	1	1	2	8	1	3	1	3	5	7	4	3	17	3	3	6	14	3	4	4	3	5	4	5	3	0	1	3	3	1	4	36	6	0	4	4	2	2	8	2	3	5	4	4
C[Del(T):R1]C	0	2	10	1	3	1	2	3	2	6	9	1	36	5	0	4	18	2	8	15	9	7	4	3	5	0	2	4	5	1	3	43	3	3	5	3	0	3	8	3	3	4	4	1
C[Del(T):R1]G	0	0	4	1	2	3	0	1	2	2	3	3	12	5	4	2	14	3	1	3	2	7	1	3	4	0	2	4	3	1	0	13	5	2	6	1	4	3	8	3	2	3	2	6
C[Del(T):R2]A	0	2	3	1	2	2	1	3	2	1	7	0	28	1	2	5	4	4	0	5	6	3	1	1	2	0	3	2	2	1	0	48	2	0	2	0	2	4	5	1	4	4	4	3
C[Del(T):R2]C	2	1	2	0	3	1	1	0	1	4	5	1	15	2	0	2	9	2	0	3	3	1	3	0	1	0	2	4	2	0	2	40	5	3	2	3	3	2	3	0	1	3	6	1
C[Del(T):R2]G	0	1	7	2	0	0	0	1	3	2	0	0	9	5	0	1	1	1	1	4	2	0	3	1	0	0	0	1	2	0	0	32	3	0	4	2	5	1	3	2	0	1	2	1
C[Del(T):R3]A	0	0	4	2	1	1	0	1	2	2	2	1	30	3	1	5	11	1	3	4	8	0	5	1	2	0	2	7	2	1	1	105	1	1	1	4	3	5	3	4	2	1	4	4
C[Del(T):R3]C	1	0	1	3	3	1	3	1	4	3	2	0	24	1	4	1	31	1	1	4	2	0	4	0	2	0	2	8	3	0	4	61	5	4	2	2	1	6	2	1	1	1	4	0
C[Del(T):R3]G	0	1	2	0	3	0	1	1	1	4	2	1	14	5	0	0	2	1	1	5	4	3	2	0	3	1	1	2	2	0	2	53	2	0	1	3	2	3	3	2	2	4	5	4
C[Del(T):R4]A	0	0	4	5	3	2	1	2	0	4	4	3	95	7	2	4	98	2	3	4	8	0	3	1	2	1	0	4	4	2	2	392	1	3	1	5	4	5	4	2	3	6	4	3
C[Del(T):R4]C	2	2	1	4	1	0	2	0	2	5	3	4	117	3	5	1	66	0	2	6	9	2	1	3	2	2	1	10	4	1	0	409	5	0	2	1	3	3	3	4	3	3	5	3
C[Del(T):R4]G	0	1	6	0	2	2	0	1	4	4	5	2	92	5	5	0	41	1	3	4	7	3	9	1	2	0	2	3	2	0	1	360	4	0	5	5	2	2	7	2	6	2	4	1
C[Del(T):R5]A	0	1	5	2	3	0	0	2	2	6	6	1	189	3	1	4	119	1	3	7	3	3	7	2	4	0	2	6	3	2	1	852	1	2	4	3	0	2	6	1	4	5	5	3
C[Del(T):R5]C	0	1	2	1	1	2	1	1	4	3	4	1	223	3	2	0	140	0	4	4	1	1	4	2	3	0	0	3	3	4	0	980	2	1	1	0	1	5	7	1	1	7	5	0
C[Del(T):R5]G	0	0	2	1	2	3	1	0	1	3	2	1	151	2	2	0	97	3	3	4	2	1	4	0	1	0	1	2	3	2	2	617	3	1	7	3	2	1	6	4	3	8	8	2
C[Del(T):R6]A	1	0	9	4	3	5	2	5	8	3	6	0	474	2	1	1	315	0	11	6	6	3	7	5	3	1	1	11	4	2	3	1482	5	3	5	5	4	6	11	3	4	6	6	3
C[Del(T):R6]C	0	1	2	4	2	1	1	4	1	7	6	3	311	3	1	1	236	1	5	6	2	3	8	4	2	0	0	6	5	2	3	681	3	2	3	3	5	2	5	5	5	7	4	2
C[Del(T):R6]G	1	1	3	0	2	3	1	4	9	4	6	0	237	1	0	0	164	1	3	8	5	2	6	4	4	0	1	4	4	3	2	646	5	2	4	3	0	0	4	2	2	0	3	3
C[Del(T):R7]A	0	5	23	21	18	10	6	12	16	9	13	11	1159	12	6	7	898	8	25	15	12	8	16	10	18	1	3	29	13	3	8	2873	20	9	6	7	8	14	21	8	8	22	9	7
C[Del(T):R7]C	1	1	13	9	13	4	4	9	11	11	16	4	1269	12	4	7	1351	3	18	18	8	9	16	10	6	1	1	19	8	5	5	2726	22	3	16	10	8	8	13	3	10	10	7	5
C[Del(T):R7]G	0	6	15	14	12	8	6	11	8	10	14	12	1232	5	6	4	850	3	13	16	8	2	17	11	11	0	4	26	14	7	4	3340	14	5	16	10	6	7	15	1	4	14	9	3
C[Del(T):R8]A	0	2	36	20	30	15	4	20	19	24	29	15	2318	17	10	4	1540	10	38	33	19	18	30	24	24	0	7	27	43	10	10	4650	32	6	24	16	16	17	35	11	16	29	24	10
C[Del(T):R8]C	0	3	40	31	16	15	1	5	19	29	21	18	2113	13	5	23	1854	2	33	28	17	17	27	20	14	1	5	35	24	5	3	4476	35	10	13	18	6	15	26	12	19	20	20	5
