MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491
T[Del(C):R2]T	2	3	11	9	6	1	13	2	12	1	2	19	4	6	5	8	1	7	2	11	5	8	3
T[Del(C):R3]A	6	4	11	13	4	8	12	1	18	0	2	14	3	2	1	3	0	4	3	14	1	4	3
T[Del(C):R3]G	2	0	2	1	1	0	1	0	1	0	0	3	0	1	2	1	0	1	1	0	2	0	0
T[Del(C):R3]T	5	2	3	6	0	6	4	0	6	0	3	9	2	4	2	3	1	4	1	7	1	2	0
T[Del(C):R4]A	6	0	7	5	3	6	1	0	10	0	0	13	1	1	0	6	1	1	1	9	1	3	0
T[Del(C):R4]G	0	0	3	2	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
T[Del(C):R4]T	0	2	1	1	0	5	2	1	3	0	0	3	0	2	0	0	1	1	0	2	0	1	1
T[Del(C):R5]A	0	1	4	3	0	1	0	0	7	0	0	2	2	0	0	4	0	4	0	3	1	1	0
T[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0
T[Del(C):R5]T	2	0	3	1	3	3	2	1	1	0	1	1	0	2	1	3	0	1	0	2	1	1	0
T[Del(C):R6]A	0	1	1	1	0	2	1	0	3	0	2	4	0	0	1	0	0	1	0	3	0	0	1
T[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1
T[Del(C):R6]T	0	1	1	0	0	0	1	1	0	0	0	3	0	1	0	1	0	0	1	0	0	0	1
T[Del(C):R7]A	2	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
T[Del(C):R8]A	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0
T[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	1	4	5	10	2	0	1	1	4	3	7	16	2	4	4	4	0	1	3	1	2	2	1
A[Del(T):R1]C	3	3	4	7	0	1	1	0	2	1	6	6	1	1	2	5	0	0	4	5	0	1	0
A[Del(T):R1]G	2	1	1	8	2	0	1	1	1	2	3	4	3	3	2	4	1	1	2	2	0	4	1
A[Del(T):R2]A	2	7	8	5	7	1	1	1	3	1	1	11	3	2	3	9	1	1	0	5	0	4	1
A[Del(T):R2]C	1	3	3	4	1	0	3	0	1	1	1	3	2	0	0	2	1	2	1	5	1	4	0
A[Del(T):R2]G	3	4	4	3	3	0	4	1	3	1	2	6	1	1	0	2	0	1	1	3	0	1	2
A[Del(T):R3]A	3	10	5	9	0	2	6	0	4	1	1	8	1	4	0	3	0	3	4	5	1	3	2
A[Del(T):R3]C	1	5	2	5	2	2	0	1	2	0	2	7	0	4	3	3	0	5	2	3	0	7	3
A[Del(T):R3]G	4	1	0	8	1	0	0	1	0	0	2	2	1	1	0	7	0	1	1	0	0	2	0
A[Del(T):R4]A	4	8	2	5	2	4	1	0	0	1	3	9	3	2	2	4	0	2	0	8	1	1	0
A[Del(T):R4]C	4	9	6	4	2	1	0	2	1	0	2	7	0	4	2	1	1	0	2	6	3	1	0
A[Del(T):R4]G	0	3	3	3	2	1	3	1	1	0	1	4	4	2	1	4	0	0	2	2	1	1	1
A[Del(T):R5]A	6	2	5	7	3	1	4	0	3	1	4	8	7	1	1	1	2	6	5	4	0	5	2
A[Del(T):R5]C	0	2	1	1	2	0	1	0	1	1	0	2	4	3	0	2	0	6	1	0	0	0	1
A[Del(T):R5]G	3	8	1	4	4	0	2	0	3	0	2	5	1	1	0	3	0	1	5	1	0	1	1
A[Del(T):R6]A	4	2	3	6	6	1	2	0	1	4	5	11	5	1	0	8	1	3	13	8	1	6	3
A[Del(T):R6]C	2	2	2	1	2	0	2	0	2	0	3	4	5	2	0	3	3	4	4	3	0	2	3
A[Del(T):R6]G	0	5	0	6	2	0	1	0	0	0	2	6	8	0	0	4	1	0	6	4	1	0	3
A[Del(T):R7]A	2	3	0	8	1	0	2	0	1	4	6	2	7	2	1	0	3	4	14	7	2	2	9
A[Del(T):R7]C	6	9	3	7	2	4	2	2	1	2	6	9	4	1	1	4	2	2	13	7	1	3	5
A[Del(T):R7]G	3	3	0	4	0	1	2	0	1	3	4	2	3	0	1	5	4	3	11	3	1	2	1
A[Del(T):R8]A	2	5	2	8	1	3	7	0	2	4	5	3	9	0	1	6	6	4	15	7	0	0	4
A[Del(T):R8]C	0	3	0	2	2	0	2	0	1	1	3	2	6	2	0	8	2	2	12	2	0	4	2
A[Del(T):R8]G	0	2	0	1	1	0	0	0	0	0	1	1	5	1	0	2	1	2	8	0	2	2	0
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	2	0	6	6	5	2	3	0	7	1	6	10	0	1	1	6	1	0	4	6	0	3	0
C[Del(T):R1]C	0	2	3	7	2	0	2	0	3	1	3	7	1	3	0	2	0	1	0	1	2	1	0
C[Del(T):R1]G	0	3	4	10	2	2	5	2	5	1	4	6	3	1	2	4	2	3	0	5	1	3	1
C[Del(T):R2]A	4	2	3	1	0	0	2	0	9	0	5	5	0	1	1	2	0	0	1	7	0	2	0
C[Del(T):R2]C	0	1	1	5	1	0	2	0	2	0	1	3	0	3	4	5	1	4	0	2	1	3	1
C[Del(T):R2]G	1	2	3	2	1	1	1	2	1	0	3	3	2	4	1	2	0	0	1	2	0	1	2
C[Del(T):R3]A	0	4	1	4	3	1	1	1	0	0	3	2	0	2	1	2	1	0	0	0	2	4	1
C[Del(T):R3]C	1	1	1	3	2	2	1	0	1	1	3	5	1	2	0	3	0	1	1	3	0	3	0
C[Del(T):R3]G	1	0	3	5	2	1	1	0	3	0	0	2	1	5	1	0	1	2	1	1	0	2	0
C[Del(T):R4]A	2	0	2	3	2	1	2	0	0	0	5	8	5	1	0	1	1	2	1	6	0	2	0
C[Del(T):R4]C	0	1	1	3	1	1	1	2	0	0	2	3	1	0	0	3	0	0	3	1	0	4	0
C[Del(T):R4]G	3	1	1	3	0	1	2	1	1	1	2	4	3	2	1	3	2	1	1	1	1	1	0
C[Del(T):R5]A	0	2	3	3	2	0	1	0	1	2	2	2	0	1	0	1	1	2	3	8	1	4	2
C[Del(T):R5]C	2	1	3	1	0	0	0	0	1	0	0	1	2	0	3	2	0	1	1	4	0	2	0
C[Del(T):R5]G	0	1	2	2	1	3	1	0	1	1	0	2	1	2	0	0	0	2	0	3	0	0	1
C[Del(T):R6]A	0	2	5	3	1	1	0	0	1	1	2	4	0	0	1	1	0	0	2	4	3	3	2
C[Del(T):R6]C	0	4	2	1	4	1	1	1	1	0	1	2	2	1	0	4	0	0	2	2	0	2	4
C[Del(T):R6]G	0	3	3	2	1	0	1	1	1	0	2	3	2	1	1	1	0	2	1	2	0	3	1
C[Del(T):R7]A	1	6	1	2	1	2	0	2	1	1	0	4	5	1	1	1	1	3	16	3	0	0	3
C[Del(T):R7]C	1	4	0	6	1	3	1	2	1	2	1	5	3	1	0	2	1	3	8	2	0	4	2
C[Del(T):R7]G	0	3	2	1	0	1	2	1	0	0	3	2	5	0	2	5	1	1	9	2	0	2	1
C[Del(T):R8]A	1	3	0	2	0	0	1	1	1	2	3	0	3	2	2	0	2	6	19	1	0	0	3
C[Del(T):R8]C	0	1	1	1	0	2	2	1	0	2	1	1	4	1	2	3	3	2	9	4	0	0	2
C[Del(T):R8]G	0	0	0	1	0	0	0	0	1	2	0	4	2	1	0	2	2	1	7	2	0	2	0
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	0	1	0	2	2	1	1	0	1	0	2	5	0	3	1	2	1	1	2	2	1	5	0
G[Del(T):R1]C	1	0	0	1	1	0	1	0	1	0	3	0	1	1	0	1	0	0	2	0	1	2	1
G[Del(T):R1]G	0	1	2	5	1	2	1	1	1	0	4	3	1	2	1	2	1	1	0	3	2	3	0
G[Del(T):R2]A	2	1	5	4	2	1	0	1	3	0	1	4	0	0	1	1	0	0	3	4	1	1	0
G[Del(T):R2]C	0	1	3	2	1	0	0	0	2	1	0	0	1	1	1	2	0	0	0	3	0	0	0
G[Del(T):R2]G	0	0	1	2	1	2	3	0	2	0	1	3	1	1	2	3	0	2	0	1	0	2	0
G[Del(T):R3]A	0	0	1	4	1	1	3	1	2	1	3	3	1	0	0	2	0	0	2	0	1	0	1
G[Del(T):R3]C	1	2	1	1	1	0	1	0	2	0	1	3	1	2	1	2	1	1	0	2	1	2	0
G[Del(T):R3]G	2	1	1	1	1	0	0	0	1	0	1	2	1	2	0	4	0	0	0	1	1	3	1
G[Del(T):R4]A	2	3	2	6	2	0	1	0	2	1	3	5	2	1	0	2	1	0	2	2	1	1	0
G[Del(T):R4]C	1	5	2	2	0	0	0	0	1	0	0	4	0	0	0	1	1	0	0	5	0	3	0
G[Del(T):R4]G	0	0	1	4	0	0	5	0	1	1	1	6	1	0	0	0	0	0	0	1	0	2	0
G[Del(T):R5]A	2	1	2	1	0	3	2	0	2	1	2	6	2	0	1	5	0	2	3	6	0	2	2
G[Del(T):R5]C	1	2	1	2	1	0	0	1	0	0	2	1	0	0	1	4	0	1	0	2	0	0	0
G[Del(T):R5]G	0	0	3	2	0	0	0	0	1	0	5	3	5	4	1	0	0	2	1	2	2	1	1
G[Del(T):R6]A	2	2	0	3	0	2	2	0	0	0	1	2	2	1	0	4	0	4	1	0	0	1	0
G[Del(T):R6]C	0	0	0	0	1	0	0	0	0	0	3	1	3	0	0	0	0	1	2	2	0	1	0
G[Del(T):R6]G	1	1	1	2	0	1	2	1	0	0	2	2	2	0	0	0	0	0	3	3	0	0	0
G[Del(T):R7]A	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	2	1	1	7	6	1	2	2
G[Del(T):R7]C	0	2	0	3	1	0	0	0	2	0	1	0	1	1	0	1	1	1	8	0	0	0	0
G[Del(T):R7]G	0	2	1	4	1	0	1	0	0	0	3	3	1	1	0	2	1	0	6	1	0	1	1
G[Del(T):R8]A	0	1	1	1	1	0	2	0	0	0	3	2	1	0	1	4	1	0	9	2	1	1	2
G[Del(T):R8]C	0	1	1	2	0	0	0	0	0	0	1	1	6	0	0	3	0	2	6	5	0	3	1
G[Del(T):R8]G	0	0	0	1	0	0	0	0	1	1	3	0	2	1	0	1	0	0	3	0	0	0	0
G[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	0	0	0	4	0	4	0	0	2	0	3	13	0	1	0	4	0	0	2	2	0	2	0
A[Ins(C):R0]G	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	2	1	1	1	0	2
A[Ins(C):R0]T	0	1	1	0	1	0	0	0	1	0	2	11	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R1]A	1	0	0	2	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	2
A[Ins(C):R1]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R1]T	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
A[Ins(C):R2]A	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
A[Ins(C):R2]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R2]T	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
A[Ins(C):R3]A	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1
A[Ins(C):R3]G	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
A[Ins(C):R3]T	1	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0
A[Ins(C):R4]A	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1
A[Ins(C):R4]G	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
A[Ins(C):R4]T	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A[Ins(C):R5]A	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	0
A[Ins(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
A[Ins(C):R5]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A[Ins(C):R6]A	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
A[Ins(C):R6]G	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R6]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
A[Ins(C):R7]A	1	0	0	1	0	3	0	1	0	0	1	0	1	1	0	0	0	2	1	1	0	1	0
A[Ins(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
A[Ins(C):R7]T	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
A[Ins(C):R8]A	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	2
A[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R8]T	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]G	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
G[Ins(C):R0]T	1	0	0	1	0	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0
G[Ins(C):R1]A	0	1	0	1	0	0	0	0	1	0	1	2	0	0	2	2	0	1	0	1	0	0	1
G[Ins(C):R1]G	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G[Ins(C):R1]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
G[Ins(C):R2]A	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1
G[Ins(C):R2]G	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
G[Ins(C):R2]T	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
G[Ins(C):R3]A	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	3	0	1	0
G[Ins(C):R3]G	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R3]T	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0
G[Ins(C):R4]A	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1
G[Ins(C):R4]G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
G[Ins(C):R4]T	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
G[Ins(C):R5]A	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0
G[Ins(C):R5]G	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
G[Ins(C):R5]T	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0
G[Ins(C):R6]A	1	2	1	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	2
G[Ins(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
G[Ins(C):R6]T	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
G[Ins(C):R7]A	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	1	0	0	2	1	0	0	0
G[Ins(C):R7]G	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R7]T	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
G[Ins(C):R8]A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
G[Ins(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
G[Ins(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
G[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R0]A	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
T[Ins(C):R0]G	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0
T[Ins(C):R0]T	1	2	0	2	1	0	4	1	1	0	1	4	1	1	2	0	0	1	3	0	2	0	1
T[Ins(C):R1]A	0	1	1	0	1	0	0	0	1	1	0	2	0	0	0	2	0	0	0	1	1	1	1
T[Ins(C):R1]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Ins(C):R1]T	1	1	1	1	0	0	0	0	1	1	5	1	1	1	0	0	1	0	0	1	0	1	0
T[Ins(C):R2]A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
T[Ins(C):R2]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
T[Ins(C):R2]T	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1
T[Ins(C):R3]A	0	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0
T[Ins(C):R3]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
T[Ins(C):R3]T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
