MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287
A[Del(C):R4]G	0	0	0	7	0	24	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	14	1	0	0	0	0	0	0	0	0	26	3	0	0	0	1	1	0	0	29	0	1	0	0	0	0	0	0
A[Del(C):R4]T	0	0	0	21	1	41	59	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	3	1	3	0	1	25	4	2	1	1	1	3	1	3	0	47	3	1	0	0	0	1	0	0	80	0	0	1	0	1	0	0	0
A[Del(C):R5]A	0	0	0	86	0	169	248	0	0	0	0	5	2	1	1	2	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	2	1	1	3	5	1	3	0	0	92	0	2	0	4	1	0	0	0	1	239	0	0	2	0	1	0	1	1	273	3	2	3	0	0	0	2	1
A[Del(C):R5]G	0	0	0	23	0	58	74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	15	1	0	0	2	0	0	0	0	0	58	1	0	1	0	0	0	0	0	68	0	0	0	0	0	0	0	0
A[Del(C):R5]T	0	0	0	85	0	177	353	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	2	0	0	2	1	0	83	1	1	1	1	0	1	0	0	1	271	3	0	0	0	1	1	0	0	282	0	1	1	1	0	0	0	0
A[Del(C):R6]A	0	0	0	143	0	340	483	0	0	3	0	2	1	1	2	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	5	1	1	1	5	0	1	1	0	184	0	1	1	2	3	0	1	1	0	491	0	2	1	2	1	0	0	2	473	1	0	1	0	1	1	0	4
A[Del(C):R6]G	0	0	0	39	0	118	126	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	51	1	0	0	1	0	0	0	0	0	114	0	0	0	0	0	0	0	0	135	0	0	1	0	0	0	1	0
A[Del(C):R6]T	0	0	0	95	0	170	281	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	4	1	1	0	1	0	1	0	0	75	0	2	0	1	1	2	0	0	1	200	0	1	0	0	1	0	2	0	216	0	0	2	0	0	0	2	0
A[Del(C):R7]A	0	0	0	166	0	463	455	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	169	1	0	1	5	3	0	0	0	2	495	0	1	0	0	0	0	1	1	477	0	0	2	1	0	1	0	1
A[Del(C):R7]G	0	0	0	39	0	103	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	31	0	0	1	0	1	0	0	0	0	118	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0
A[Del(C):R7]T	0	0	0	24	0	79	100	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	26	0	0	0	0	0	0	0	0	1	80	0	2	0	0	1	0	0	0	81	0	0	0	1	0	0	0	0
A[Del(C):R8]A	0	0	0	56	0	177	128	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	60	1	0	1	2	2	1	0	2	0	146	1	1	0	1	0	2	1	1	132	1	0	0	0	1	0	0	1
A[Del(C):R8]G	0	0	0	1	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	14	0	25	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	11	0	0	1	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0	0	0	0	0	3	6	0	1	1	1	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	2	0	1	8	1	0	1	0	0	1	0	0	2	5	3	1	2	3	0	2	2	3	0	0	1	2	2	0	3	8	14	2	0	1	1	1	1	2	6	1	2	1	3	0	0	5	1
G[Del(C):R1]G	0	0	0	1	0	3	12	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	1	0	1	0	0	1	6	1	1	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0
G[Del(C):R1]T	0	1	0	2	2	10	7	0	0	4	0	3	0	2	0	0	0	1	0	4	0	0	1	2	0	6	4	0	1	0	2	9	2	0	2	0	0	4	5	2	0	13	9	5	4	1	1	6	6	9	0	1	1	7	1	5	7	6	24	4	2	1	2	5	2	3	5	9	11	10	10	2	1	8	1
G[Del(C):R2]A	0	0	0	9	0	6	21	0	1	2	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	1	0	0	2	0	2	3	0	0	1	1	0	0	1	1	3	4	3	1	3	1	0	4	1	4	2	1	1	1	1	1	3	12	10	5	2	2	1	2	1	1	28	1	4	1	4	1	0	4	3
G[Del(C):R2]G	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	3	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
G[Del(C):R2]T	0	0	0	6	1	5	23	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	2	2	1	0	0	0	0	1	3	3	0	6	1	1	1	2	1	10	2	2	0	0	1	4	3	0	5	2	9	4	0	2	0	0	0	0	14	2	3	1	2	1	0	2	1
G[Del(C):R3]A	0	0	0	9	0	6	37	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	1	6	0	0	3	0	1	4	2	1	0	1	0	4	0	2	1	17	14	2	2	2	2	1	1	1	34	0	4	1	3	0	1	1	0
G[Del(C):R3]G	0	0	0	2	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2	0	1	1	0	0	2	0	0	0	4	4	1	0	1	0	1	0	1	14	0	1	1	0	0	0	0	0
G[Del(C):R3]T	0	0	0	12	0	8	19	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	2	1	0	8	1	3	1	1	0	2	0	1	2	14	5	0	2	1	0	1	2	3	23	0	2	1	3	0	0	0	1
G[Del(C):R4]A	0	0	0	37	0	35	168	0	0	1	0	1	1	2	0	0	0	1	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	2	0	0	1	3	0	0	0	0	40	2	2	1	0	0	0	1	0	3	54	3	1	0	0	1	1	1	0	176	1	1	2	3	0	1	1	0
G[Del(C):R4]G	0	0	0	16	0	28	78	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	26	0	2	0	1	0	1	0	0	1	31	2	0	0	0	0	0	0	1	88	1	1	0	0	0	0	0	0
G[Del(C):R4]T	0	0	0	26	0	29	92	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	28	0	0	0	0	1	1	1	1	0	35	5	0	1	0	0	1	1	0	82	0	1	0	0	0	0	2	0
G[Del(C):R5]A	0	0	0	98	0	106	286	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	108	0	2	1	2	0	1	1	3	1	165	2	0	0	2	0	0	1	1	305	0	2	0	0	1	1	0	0
G[Del(C):R5]G	0	0	0	40	0	55	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	29	0	0	0	1	0	0	0	0	1	66	0	1	0	0	0	0	0	0	94	0	0	1	0	0	0	1	0
G[Del(C):R5]T	0	0	0	89	0	129	341	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	0	0	97	0	1	0	1	1	1	0	0	0	191	1	0	0	1	1	0	1	0	276	0	2	3	0	0	0	0	0
G[Del(C):R6]A	0	0	0	145	0	181	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	1	0	158	0	0	1	0	3	0	0	0	1	252	3	0	1	0	0	0	0	1	428	1	1	3	0	0	1	2	0
G[Del(C):R6]G	0	0	0	37	0	120	191	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	70	0	0	1	3	0	0	0	0	0	137	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0
G[Del(C):R6]T	0	0	0	63	0	103	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	1	0	1	1	0	0	90	0	0	0	4	1	0	0	1	1	165	0	0	0	0	1	0	1	1	251	0	0	4	0	0	1	1	0
G[Del(C):R7]A	0	0	0	94	0	172	310	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	1	94	0	0	0	2	2	0	0	1	0	248	0	1	0	0	1	0	0	0	222	0	0	0	0	0	0	0	3
G[Del(C):R7]G	0	0	0	18	0	73	94	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	42	0	0	0	0	0	0	0	0	0	72	0	1	0	0	0	0	0	0	65	0	0	1	1	0	0	0	0
G[Del(C):R7]T	0	0	0	28	0	57	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	35	0	0	0	0	0	0	0	0	0	80	0	1	0	0	0	0	0	0	75	0	0	1	0	0	0	2	0
G[Del(C):R8]A	0	0	0	44	0	100	107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	55	0	0	0	1	0	0	0	1	1	87	0	0	0	1	0	0	0	0	97	0	0	0	0	0	0	3	0
G[Del(C):R8]G	0	0	0	3	0	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	11	0	23	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	1	28	0	0	0	1	0	0	1	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	0	0	0	2	0	23	18	0	1	5	0	1	1	0	2	1	0	1	0	5	0	6	0	2	1	2	1	0	3	0	1	1	3	0	0	0	2	3	1	1	4	7	16	2	4	1	1	2	6	5	3	2	2	1	3	2	8	9	14	8	1	1	2	3	2	3	17	0	5	1	0	0	2	7	0
T[Del(C):R1]G	0	0	0	0	0	6	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	2	3	0	0	0	0	0	0	1	3	0	1	0	1	0	0	1	0
T[Del(C):R1]T	0	0	1	11	1	33	30	0	1	5	1	8	8	2	3	1	0	4	0	4	0	6	3	1	2	6	4	1	6	0	2	13	2	0	5	0	0	1	4	2	3	24	16	3	10	4	0	19	11	15	3	6	6	7	3	7	7	24	68	6	4	1	1	7	2	8	31	3	20	16	9	5	7	9	7
T[Del(C):R2]A	0	1	0	8	1	10	24	0	0	4	0	1	3	1	1	0	0	3	0	0	0	6	0	1	1	2	1	0	2	0	2	1	1	0	5	1	1	2	1	2	1	7	3	1	1	0	1	9	0	4	1	2	3	1	1	2	5	9	11	1	2	3	2	1	2	3	17	1	3	4	0	1	0	0	1
T[Del(C):R2]G	0	0	0	0	0	9	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1
T[Del(C):R2]T	0	0	0	9	2	15	25	0	0	2	0	2	0	3	2	0	0	3	0	0	0	2	1	1	4	3	4	0	4	0	2	7	2	0	1	0	2	4	7	1	3	10	11	6	7	3	2	8	5	10	5	0	3	6	1	4	4	12	47	4	1	1	3	2	2	5	21	5	7	6	6	2	0	7	5
T[Del(C):R3]A	0	0	0	5	0	16	31	0	1	0	0	2	0	0	0	1	0	1	0	0	0	3	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	1	4	0	0	4	8	0	3	0	0	11	1	2	2	1	4	5	2	0	7	20	6	2	2	1	1	1	1	1	29	2	4	1	3	1	1	2	1
T[Del(C):R3]G	0	0	0	4	1	9	8	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	1	0	1	0	0	0	0	3	0	0	0	0	1	0	0	1	9	0	1	0	0	0	1	0	0
T[Del(C):R3]T	0	0	0	11	1	23	30	0	1	1	0	4	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	3	0	2	2	1	0	1	0	0	1	0	1	0	2	3	0	1	1	0	13	3	1	2	0	2	0	0	3	2	25	7	0	2	1	0	2	0	0	46	0	1	1	1	0	2	3	1
T[Del(C):R4]A	0	0	0	48	0	74	145	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	2	2	1	2	1	1	49	2	4	1	0	2	4	0	2	1	109	3	1	0	1	0	0	1	2	275	0	0	2	1	2	0	4	1
T[Del(C):R4]G	0	0	0	9	0	36	42	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	10	0	2	1	1	0	0	0	0	0	26	0	0	0	2	0	0	0	0	72	0	0	1	0	0	0	0	0
T[Del(C):R4]T	0	0	0	26	0	65	67	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	2	0	1	4	0	0	0	1	0	24	0	2	0	1	1	0	1	2	1	65	7	0	1	0	1	0	1	0	97	0	1	0	2	1	0	1	1
T[Del(C):R5]A	0	0	0	139	0	202	277	0	0	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	2	2	1	2	0	1	83	0	1	0	6	1	1	1	1	1	290	2	3	0	0	1	0	0	0	412	1	0	2	0	0	0	1	0
T[Del(C):R5]G	0	0	0	26	0	62	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	25	0	0	0	2	0	0	0	0	0	68	1	0	1	0	0	0	0	0	80	1	0	0	0	0	1	0	0
T[Del(C):R5]T	0	0	0	133	0	235	426	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	3	0	2	0	0	111	0	0	1	3	2	2	1	0	1	302	3	3	0	0	0	0	0	0	388	1	0	2	0	2	1	2	0
T[Del(C):R6]A	0	0	0	189	0	333	457	0	1	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	1	0	1	4	0	0	0	0	152	1	0	3	8	2	0	0	1	1	446	0	2	0	0	2	0	0	0	537	0	1	2	2	0	2	3	0
T[Del(C):R6]G	0	0	0	36	0	100	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	36	0	0	0	1	0	0	0	0	1	102	0	0	0	0	0	0	0	0	128	0	0	0	0	0	1	0	0
T[Del(C):R6]T	0	0	0	118	0	177	267	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	3	2	2	1	0	80	1	0	1	4	1	0	0	1	0	237	0	2	0	1	3	0	0	1	246	2	0	1	1	0	0	1	0
T[Del(C):R7]A	0	0	0	156	0	348	376	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	115	2	0	1	2	2	0	0	0	1	403	0	0	0	0	0	0	0	0	364	1	0	1	2	0	0	1	0
T[Del(C):R7]G	0	0	0	27	0	87	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	1	0	0	0	1	0	0	0	0	88	0	0	0	0	0	0	0	0	82	1	0	0	0	0	0	0	0
T[Del(C):R7]T	0	0	0	58	0	143	194	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	2	0	2	0	0	69	0	0	1	0	4	0	0	0	0	138	2	2	0	1	0	0	1	0	157	0	0	0	0	0	1	0	0
T[Del(C):R8]A	0	0	0	74	0	158	163	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	36	0	0	0	1	0	0	0	0	0	158	0	0	0	0	0	0	0	1	142	0	0	0	2	0	0	0	1
T[Del(C):R8]G	0	0	0	5	0	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0
T[Del(C):R8]T	0	0	0	24	0	40	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	46	0	1	0	0	0	0	0	0	41	0	0	1	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
