MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842
1:Del:T:4	12	23	4	21	9	10	15	13	23	5	25	29	7	8	3	14	14	11	5	11	9	8	8	5	7	12	11	13	11	21	8	5	18	20	10	18	9	3	30	35	11	18	9	15	5	18	164	13	7	13	10	16	8	1	10	26	8	25	13	8	8	21	11	4	9	9	12	5	14	7	19	10	20	6	5	14	10	5	4	6	0	36	7	12	13	9	9	23	7	12	3	10	6	4	22	17	10	15	8	7	11	7	22	20	12	10	19	9	21	17	3	7	13
1:Del:T:5	33	58	42	76	23	39	28	27	91	15	34	40	17	15	21	75	22	25	25	30	7	20	46	20	8	53	32	27	22	33	15	9	39	30	12	101	21	9	43	41	21	36	24	19	16	34	3076	32	21	77	29	35	4	12	29	45	18	62	17	5	52	48	31	20	15	21	36	17	28	11	70	14	26	8	6	52	34	25	23	10	7	74	12	45	52	37	32	40	10	80	10	26	21	9	48	59	5	32	17	13	71	22	40	53	60	14	46	30	33	54	15	25	29
1:Ins:C:0	1	2	0	6	1	2	3	1	3	1	5	6	2	1	2	2	3	4	0	2	2	2	6	1	2	5	3	1	3	1	1	1	4	3	1	4	3	1	9	8	1	4	2	1	4	2	97	4	2	10	2	6	3	0	5	4	2	4	5	4	3	1	3	0	3	4	2	2	7	2	1	0	1	0	0	1	3	2	2	0	2	8	2	0	4	2	4	4	0	5	3	4	2	3	11	2	3	6	0	1	1	3	4	4	2	2	3	3	3	3	1	7	5
1:Ins:C:1	2	1	2	1	0	0	4	1	2	0	2	2	1	0	2	0	3	4	1	3	2	1	2	1	4	3	2	2	0	1	0	2	4	2	1	4	1	0	4	3	5	3	1	3	0	2	17	1	2	7	1	3	0	1	4	4	2	4	2	3	1	1	1	0	1	0	3	3	2	0	1	2	0	0	2	0	1	1	0	1	0	5	4	1	1	3	3	5	1	2	0	3	2	0	2	4	2	1	3	0	2	1	1	3	0	0	5	0	1	2	1	1	2
1:Ins:C:2	3	1	1	1	2	0	1	0	2	2	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	2	2	1	1	1	2	0	2	2	1	1	2	1	2	2	0	1	0	1	0	2	12	3	3	2	0	0	0	2	1	3	0	1	0	1	0	2	1	0	2	0	1	1	1	0	4	1	2	1	0	1	0	0	1	1	0	2	0	1	0	1	3	5	2	0	0	0	1	0	1	1	2	2	0	1	1	0	3	2	0	0	0	0	0	1	0	1	0
1:Ins:C:3	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	40	1	0	1	1	1	0	1	0	1	0	1	0	2	1	1	3	0	0	1	2	1	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	1	1	3	1	1	0	1	1	0	2	2	1	0	0	0	2	0	1	0	1	0	0	0	2	1	1	1	0
1:Ins:C:4	2	2	0	4	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	0	1	0	1	206	1	1	2	2	0	2	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	2	0	0	1	0	2	0	1	1	1	2	2	1	1	0	0	0	1	0	2	0	1	1	0	1	0	1	0	0	0	2	0	0	0	0	1	0
1:Ins:C:5	2	1	3	3	1	1	1	1	4	2	0	6	0	2	6	3	2	2	2	1	0	2	3	3	0	4	0	1	0	0	0	2	3	0	4	4	1	1	0	0	15	3	3	2	6	3	1024	0	0	10	3	3	0	1	2	3	2	3	1	2	2	4	2	0	0	0	7	1	0	1	5	1	2	2	1	1	3	8	1	1	0	2	2	1	3	4	10	5	5	3	1	0	0	1	4	4	1	1	1	0	5	2	2	2	2	1	1	1	5	4	1	3	4
1:Ins:T:0	3	2	1	2	1	2	4	6	3	2	3	4	12	3	4	4	9	5	0	2	8	4	3	1	5	2	3	0	5	4	2	2	2	4	4	18	3	0	12	9	2	5	2	2	1	4	63	3	5	5	4	5	4	1	6	14	3	8	3	1	5	6	4	2	5	3	4	3	7	4	3	5	5	1	4	7	3	2	3	1	1	5	4	4	7	12	7	9	4	10	0	5	4	2	15	2	4	5	2	3	1	2	3	4	3	1	5	2	5	4	0	8	2
1:Ins:T:1	11	7	6	14	6	4	12	7	6	3	13	6	5	2	8	5	5	6	3	8	4	6	10	1	6	6	3	6	10	12	10	5	10	12	2	9	6	6	20	8	7	9	4	2	6	10	37	9	6	5	5	11	6	4	13	16	2	10	4	2	3	7	8	2	1	8	8	7	7	4	9	5	12	7	2	7	5	9	5	3	1	13	2	6	7	8	9	13	5	11	7	7	6	3	7	9	8	5	2	3	7	3	14	3	7	6	5	2	11	8	7	4	8
1:Ins:T:2	8	4	1	6	2	3	0	1	6	2	1	0	3	0	3	6	3	1	2	6	2	2	2	1	2	3	4	4	3	8	1	5	3	13	5	6	5	0	6	4	4	4	4	1	2	3	156	5	6	3	3	5	1	1	3	2	1	5	1	4	1	3	3	4	1	1	1	4	3	1	4	0	6	1	3	3	2	4	1	2	2	5	4	0	1	2	3	4	5	4	1	4	0	2	2	1	1	2	4	1	3	2	2	0	4	1	2	1	2	3	4	2	2
1:Ins:T:3	2	2	2	6	3	4	3	3	1	1	6	3	3	0	2	4	1	1	1	2	0	5	2	1	2	1	1	1	2	2	1	3	5	7	1	3	1	1	8	2	1	9	3	1	1	5	115	4	2	3	4	5	0	1	4	6	1	1	0	0	0	1	1	0	1	1	2	2	1	2	2	4	4	0	3	4	3	2	4	1	3	5	1	1	0	2	2	5	4	6	0	2	0	1	5	1	0	2	1	0	5	1	2	4	3	0	4	3	5	5	2	0	3
1:Ins:T:4	4	2	3	7	1	0	6	2	1	1	2	6	2	0	4	2	2	3	2	1	1	0	1	4	1	1	1	2	1	2	2	2	4	1	1	3	1	0	0	1	8	3	5	0	2	2	280	0	0	3	1	1	1	0	2	2	3	3	2	0	0	2	3	0	3	0	6	2	1	0	2	1	5	2	3	4	2	4	2	1	1	7	0	0	7	1	5	5	3	1	0	4	3	0	1	0	0	2	0	0	4	4	3	4	4	2	4	1	2	5	1	3	1
1:Ins:T:5	86	59	96	112	31	55	23	38	88	33	52	139	50	34	83	107	61	38	45	75	30	60	52	44	20	57	39	36	31	46	28	36	74	20	49	150	49	27	59	29	126	51	74	29	72	80	12434	28	43	89	87	69	11	41	68	56	39	19	31	23	85	51	122	32	32	29	50	38	31	15	62	27	129	58	36	44	72	115	36	28	27	62	24	52	69	70	86	55	75	118	30	44	29	33	38	49	42	43	18	21	123	78	34	66	136	69	43	46	37	74	51	83	42
2:Del:R:0	5	10	4	7	8	9	4	4	11	6	10	7	4	2	6	7	2	7	5	6	4	2	5	8	9	6	9	10	7	5	1	4	7	6	2	5	2	1	18	14	2	12	4	6	1	5	9	9	9	7	7	7	3	4	5	9	3	7	8	4	4	8	6	8	4	5	6	4	4	6	13	3	9	5	1	8	2	2	2	2	5	17	6	7	8	6	9	12	3	10	0	6	3	2	15	11	4	5	6	4	10	4	7	12	5	1	10	2	10	15	5	2	3
2:Del:R:1	7	10	9	6	7	10	8	6	22	4	11	6	6	6	11	5	8	5	6	10	5	4	6	3	3	7	12	4	9	9	8	7	6	9	10	10	2	2	15	18	8	7	8	2	2	4	24	8	4	14	6	11	4	4	9	13	7	11	2	8	8	11	10	0	4	9	11	5	2	2	9	2	13	5	3	13	8	5	6	5	3	24	1	4	6	8	12	19	7	8	4	4	8	7	14	17	2	10	2	8	14	6	9	10	3	5	6	6	10	25	3	7	5
2:Del:R:2	3	3	1	5	3	3	3	2	4	1	8	3	4	0	3	4	0	0	1	2	3	0	1	1	0	2	3	3	0	1	0	1	2	2	0	4	3	0	6	5	3	6	2	0	1	2	9	3	2	6	0	3	0	1	0	2	0	5	0	0	2	2	3	2	5	1	5	4	5	0	3	5	1	1	1	6	1	5	1	2	0	4	2	1	1	2	5	2	1	1	3	2	2	0	5	8	1	3	0	1	7	1	3	2	3	2	4	2	5	5	1	1	4
2:Del:R:3	1	0	1	1	0	1	0	1	0	0	0	1	0	0	2	1	2	2	1	1	0	0	0	0	0	0	2	0	0	2	0	0	2	3	0	1	1	0	4	0	0	2	0	1	0	1	12	0	0	0	0	1	0	0	1	1	0	3	0	0	1	4	5	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	1	1	4	1	1	3	0	0	0	1	1	2	0	0	0	0	0	4	0	0	0
2:Del:R:4	2	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	18	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	1
2:Del:R:5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	41	0	1	0	0	0	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	11	6	1	1	3	1	5	0	0	2	0	0	5	0	5	8	6	1	1	1	10	0	4	3	0	2	1	1	0	8	4	3	2	0	5	0	0	3	5	0	3
3:Del:R:0	4	3	2	6	3	2	0	1	6	2	5	1	4	2	5	1	1	0	3	1	4	0	0	1	4	3	3	0	3	4	1	4	2	5	2	4	3	0	8	4	2	4	3	1	3	5	1	4	2	7	2	8	0	2	4	8	4	5	3	1	1	2	2	0	6	3	5	7	2	1	6	3	8	0	3	6	4	0	2	1	0	12	1	4	6	4	3	10	2	9	2	6	1	3	9	6	3	2	1	4	3	1	2	2	4	2	6	4	5	8	1	1	1
3:Del:R:1	8	13	2	15	7	8	8	6	15	4	9	7	3	1	6	7	6	3	5	9	4	6	9	2	4	11	7	9	6	11	3	9	5	9	7	17	5	1	14	8	1	10	7	5	2	8	19	4	4	13	10	7	2	5	4	15	4	11	6	1	5	9	10	5	7	2	12	7	5	4	11	4	7	1	4	8	7	5	5	5	2	20	3	5	6	6	17	13	8	8	7	10	1	7	9	22	3	7	2	4	10	1	8	20	8	4	7	5	6	13	7	4	6
3:Del:R:2	4	3	0	3	2	2	0	2	2	1	3	1	0	0	5	3	1	3	0	4	1	0	0	2	1	3	6	2	2	1	0	0	2	0	0	2	1	1	1	0	0	2	3	1	2	0	6	2	1	3	3	1	1	0	0	1	1	7	1	1	0	3	1	2	0	1	3	2	0	2	3	0	5	0	3	3	2	0	1	0	0	3	2	2	0	0	3	1	5	0	0	2	0	1	2	6	0	0	0	1	2	0	2	2	5	1	2	2	6	1	1	0	0
3:Del:R:3	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	1
3:Del:R:4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	3	1	2	0	0	0	1	0	0	4	0	0	0
3:Del:R:5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	3	2	0	1	0	0	0	3	1	0	0	0	0	1	1	1	0	0	1	1	0	0	3	3	0	0
4:Del:R:0	2	5	0	3	0	0	3	3	1	0	0	3	1	2	3	5	1	4	0	2	3	0	2	1	1	1	1	1	0	5	2	4	4	4	2	2	4	1	14	8	0	7	3	4	0	3	2	2	4	15	5	4	2	0	3	7	0	6	3	3	3	4	5	1	2	3	1	2	0	0	3	2	6	0	1	4	3	1	1	1	3	9	2	1	3	2	1	11	3	1	1	5	4	3	11	7	1	1	2	0	0	1	3	5	1	1	4	4	3	6	0	3	2
4:Del:R:1	4	11	3	5	3	3	6	10	18	3	5	3	2	2	9	9	7	8	4	5	5	3	4	5	1	11	8	3	6	8	3	10	4	8	3	9	2	0	9	5	4	10	2	1	2	3	10	5	7	12	9	3	3	1	7	5	1	10	4	4	5	9	2	6	1	2	10	1	4	2	6	5	4	5	2	6	6	13	4	2	0	18	1	2	8	3	15	11	10	7	5	7	8	4	8	10	3	3	4	3	18	2	8	5	4	1	5	4	7	6	4	4	3
4:Del:R:2	0	4	0	1	1	1	1	2	2	0	2	2	2	0	0	0	3	0	1	0	0	0	0	1	0	1	2	1	1	1	1	1	1	1	1	3	2	0	2	0	0	4	0	2	0	0	4	0	3	3	2	0	0	1	1	1	0	1	3	1	0	1	1	2	0	0	2	1	0	2	0	0	1	1	0	2	0	1	0	0	1	3	0	0	0	0	3	0	2	0	1	1	0	0	3	1	0	2	1	1	5	0	2	3	3	1	0	0	0	1	0	2	0
4:Del:R:3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	2	0	0	0	1	0	3	1	1	1	0	2	0	0	0	0	0	0	1	1	0	1	0	1	3	1	0	1	1	0	0	2	0	0	0
4:Del:R:4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0
4:Del:R:5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5:Del:R:0	64	8	4	25	9	20	75	23	14	10	21	13	32	61	14	13	34	70	7	5	41	15	4	2	49	12	15	5	63	64	5	9	16	99	7	21	9	2	146	116	18	31	15	30	10	9	16	80	89	118	11	108	43	7	88	256	60	94	89	55	8	32	9	29	33	53	9	84	38	35	57	66	27	5	60	84	11	14	10	8	4	37	39	9	77	94	27	89	28	86	12	56	86	32	121	23	45	9	24	55	20	5	160	20	5	5	119	11	68	25	1	93	35
5:Del:R:1	2	2	0	4	3	4	4	2	5	3	2	1	3	3	1	1	2	3	0	0	1	0	0	0	1	0	6	1	3	3	1	5	6	1	0	3	2	0	9	6	0	1	1	4	0	1	3	2	6	3	4	5	3	0	2	8	2	5	3	2	3	2	3	3	3	3	3	2	1	1	6	4	1	4	0	2	2	0	1	0	0	2	2	3	4	5	3	7	0	8	1	11	1	1	4	4	2	1	2	1	3	0	5	1	0	1	5	0	5	2	0	0	0
5:Del:R:2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	0	2	2	3	0	2	2	0	0	1	2	1	1	0	0	1	1	3	0	2	4	1	0	1	0	1	1	3	0	3	0	0	3	2	1	3	1	0	5	3	1	1	0	2	1	2	52	3	2	5	3	4	3	0	1	3	2	5	1	2	1	0	2	0	4	1	1	0	2	1	0	0	2	0	0	2	1	0	0	1	0	1	0	0	0	10	1	7	2	5	0	3	1	1	5	1	1	2	0	0	2	2	1	1	2	0	2	2	2	0	1	1	2
2:Ins:R:1	9	2	1	0	1	1	1	1	2	1	2	1	4	2	2	1	0	0	1	2	1	0	0	0	4	2	1	0	0	1	2	2	3	2	0	3	1	0	4	2	0	0	0	1	0	2	15	3	0	1	2	2	1	1	0	4	1	2	0	2	1	0	1	1	1	3	1	0	0	0	0	1	1	1	0	0	2	2	2	0	0	1	1	2	1	2	1	3	3	0	0	1	1	3	1	1	1	4	0	1	1	0	2	0	3	1	2	0	1	1	0	1	1
2:Ins:R:2	1	1	0	2	3	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	2	0	1	3	1	2	2	0	0	1	1	0	0	0	0	0	2	12	0	1	0	0	0	0	2	0	1	1	0	0	1	1	1	1	0	0	2	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	3	2	0	0	1	3	1	2	1	3	0	0	2	0	0	0	0	2	2	0	3	0	1	0	2	0	2	0	0	2	0
2:Ins:R:3	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	45	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	1	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2:Ins:R:4	0	1	1	0	1	1	0	0	2	0	0	1	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	2	0	0	1	0	0	0	0	253	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
2:Ins:R:5	3	7	4	4	1	2	1	2	8	1	1	6	1	2	5	2	3	2	1	5	1	6	3	1	1	2	4	1	2	2	0	2	2	1	1	7	1	1	4	2	2	5	2	1	5	4	999	0	2	12	3	3	1	2	2	5	0	2	1	0	3	1	5	1	1	1	0	0	2	0	3	1	3	2	1	3	3	8	0	0	1	3	0	1	0	5	4	1	4	3	0	0	2	2	0	4	1	1	0	1	2	2	1	3	3	0	0	1	2	3	2	3	1
