MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064
1:Del:T:4	28	49	18	67	32	0	74	81	38	17	7	5	46	18	64	39	13	50	28	39	41	16	29	40	6	11	88	19	17	17	53	67	42	32	54	67	52	80	85	31	61	18	5	11	28	38	40	75	49	77	51	36	37	34	38	30	41	20	15	23	21	93	8	39	54	89	25	37	45	66	27	22	37	7	4	7	150	48	43	10	38	67	38	97	44	54	22	31	25	48	18	72	39	59	27	125	62	49
1:Del:T:5	295	549	156	602	364	0	634	834	719	321	10	13	549	58	737	432	161	315	208	452	335	121	166	228	12	56	1391	236	64	58	417	681	323	363	674	377	694	1136	574	333	748	255	80	122	455	725	404	695	361	674	616	383	523	256	270	294	505	59	51	272	342	785	30	450	656	812	388	553	824	632	78	301	173	53	54	31	1693	439	536	81	327	768	541	1397	508	716	179	284	487	369	172	1251	540	650	332	2051	789	519
1:Ins:C:0	4	233	2	279	15	0	328	25	24	40	1	7	76	3	144	96	23	57	5	80	12	3	30	18	2	25	61	31	7	13	69	49	27	20	43	18	22	111	111	38	18	26	10	9	10	38	83	175	173	82	37	70	118	22	49	12	37	4	4	75	36	109	0	33	78	67	15	14	23	67	57	10	100	4	35	3	470	22	21	9	32	80	33	102	28	19	40	10	47	61	11	30	15	22	9	71	32	31
1:Ins:C:1	1	14	6	13	1	0	19	6	4	4	2	1	7	1	10	10	0	4	0	11	2	0	1	2	0	4	9	2	2	1	5	1	4	3	7	1	4	6	8	4	4	5	2	2	0	3	9	6	9	10	5	6	9	2	5	3	8	2	1	5	2	6	0	7	3	11	2	3	4	3	7	1	10	2	1	1	25	4	5	0	3	6	4	5	3	8	4	4	2	7	1	6	6	4	2	7	4	3
1:Ins:C:2	2	3	0	6	1	0	3	3	2	0	1	0	2	0	1	2	0	2	2	3	2	1	2	1	0	2	3	2	2	0	3	1	4	1	1	2	3	3	7	3	4	2	3	2	3	1	1	3	1	5	1	3	3	0	4	1	0	0	1	4	2	4	0	2	3	6	0	3	3	3	4	1	2	1	1	2	12	2	8	0	2	2	1	4	4	5	6	7	3	2	1	1	2	5	0	3	4	2
1:Ins:C:3	1	4	1	0	0	0	5	2	4	0	0	1	1	0	1	3	3	4	2	3	3	0	3	4	0	0	5	1	1	0	1	3	1	5	2	5	1	6	2	3	2	2	2	0	2	2	1	2	2	10	3	1	2	2	1	1	2	2	0	0	3	5	1	1	0	2	5	1	1	5	0	1	1	0	0	0	3	2	3	2	3	5	2	4	2	8	2	4	2	6	1	7	2	2	1	3	3	2
1:Ins:C:4	0	5	6	3	0	0	5	2	7	4	0	2	8	2	7	4	3	3	1	6	5	2	1	3	0	2	6	5	3	2	4	3	4	3	4	9	5	4	9	2	4	3	3	2	3	10	6	7	3	9	3	1	6	2	2	2	3	2	3	3	3	7	3	4	2	7	3	3	7	11	0	0	2	3	0	0	15	2	4	0	1	7	4	12	5	2	2	4	2	6	1	7	4	2	2	3	7	5
1:Ins:C:5	13	42	13	20	14	0	22	17	38	15	3	0	38	6	23	25	9	11	12	17	29	5	11	9	0	3	48	12	11	2	17	26	31	22	23	33	27	24	43	17	28	27	10	16	22	37	19	12	24	36	36	12	26	14	14	17	26	5	9	24	16	24	0	24	23	35	30	23	31	18	4	14	11	12	5	8	55	28	26	5	14	53	12	44	40	46	16	15	27	16	5	50	22	23	31	18	30	31
1:Ins:T:0	2	14	1	18	6	0	21	13	4	11	1	0	8	2	16	17	6	12	5	12	9	1	6	6	1	5	17	14	5	5	9	12	4	8	16	11	4	10	29	4	10	11	6	4	8	6	8	19	12	12	7	6	21	11	10	6	2	3	4	8	11	14	1	13	9	14	5	11	7	11	8	2	10	3	3	2	34	11	6	5	8	10	4	23	8	6	6	4	8	9	3	15	5	5	6	8	10	8
1:Ins:T:1	13	24	6	16	10	0	21	19	7	11	9	0	15	0	15	17	6	14	6	15	11	3	11	8	1	8	15	17	8	6	13	17	12	12	22	9	11	22	23	8	8	23	6	7	12	9	15	14	10	26	11	11	11	12	7	10	7	6	12	12	10	18	6	12	12	15	8	19	6	20	8	5	9	6	6	1	17	7	6	3	5	15	9	11	9	26	11	16	10	13	10	16	15	8	8	15	10	12
1:Ins:T:2	9	18	11	5	6	0	15	5	13	6	4	0	6	3	11	8	6	7	2	11	9	3	10	3	0	4	11	5	6	1	11	12	9	9	6	9	6	12	11	7	10	22	2	5	4	6	7	8	14	29	14	4	4	7	10	8	8	1	5	7	6	15	4	7	10	8	13	6	8	3	7	4	3	3	3	3	17	5	4	1	4	10	6	10	8	8	6	10	5	11	5	10	6	8	10	8	10	5
1:Ins:T:3	4	12	7	6	3	0	6	8	5	6	6	1	6	0	18	13	8	3	3	4	11	5	9	4	0	1	8	4	8	1	9	9	10	6	9	12	6	21	12	11	7	13	1	7	4	14	8	2	10	9	7	6	4	5	5	4	6	2	7	9	3	17	4	7	10	11	10	11	7	5	4	6	12	6	6	1	22	13	16	1	4	11	6	16	7	11	8	7	6	7	4	20	7	7	4	13	9	9
1:Ins:T:4	8	22	10	13	7	0	15	12	16	13	2	0	17	5	21	8	7	11	4	13	27	1	15	10	1	9	28	12	10	8	7	15	23	7	16	37	20	19	23	7	14	12	6	8	6	16	10	17	7	16	12	10	23	8	12	8	9	5	7	9	8	20	0	21	14	21	20	10	9	16	6	8	11	2	5	8	28	17	21	3	10	26	12	20	17	21	6	10	10	18	1	28	6	15	11	17	17	22
1:Ins:T:5	330	795	128	395	300	0	494	339	573	399	52	20	856	53	618	332	112	277	256	297	621	98	246	245	18	195	829	299	134	79	406	429	578	397	711	479	586	544	659	315	714	526	138	259	400	744	383	384	692	749	376	255	530	258	351	420	490	89	206	431	396	678	73	828	626	417	552	605	388	412	107	332	279	175	99	72	837	668	545	99	398	993	390	1026	742	780	390	423	471	439	187	1130	526	583	549	570	786	821
2:Del:R:0	9	16	8	18	4	0	7	19	6	6	4	2	15	3	3	19	9	16	2	6	11	1	7	3	0	4	8	11	3	14	9	12	11	11	16	8	10	15	17	12	10	11	4	7	6	13	9	11	5	19	7	11	11	10	7	2	12	2	7	11	8	18	5	8	17	4	9	12	5	12	6	8	10	4	5	1	19	11	14	2	8	13	9	18	4	14	14	11	7	7	8	18	14	6	3	20	7	5
2:Del:R:1	16	40	11	22	10	0	14	18	18	16	6	2	29	6	14	29	9	21	13	26	24	6	19	18	3	7	37	16	15	12	21	18	32	19	26	13	15	39	39	23	14	14	15	18	16	28	16	28	20	28	15	41	20	14	14	11	16	5	10	12	16	38	6	28	30	21	14	30	19	41	6	20	16	14	9	11	40	16	22	9	9	15	14	31	10	18	24	33	28	11	18	38	19	24	9	63	25	9
2:Del:R:2	6	7	1	9	7	0	6	9	4	2	0	1	5	2	9	9	3	6	3	8	10	1	4	0	3	4	9	6	4	2	8	4	7	3	11	5	8	9	16	8	4	9	3	4	8	7	8	6	3	9	7	8	5	3	4	3	5	1	3	8	3	8	1	10	11	7	3	11	5	7	7	5	3	1	4	2	9	3	4	1	7	4	3	9	2	6	10	12	10	8	8	15	5	4	1	8	4	7
2:Del:R:3	0	5	0	2	2	0	4	0	5	2	0	0	3	2	1	1	1	2	0	3	2	1	2	1	1	0	7	1	0	0	4	2	2	3	3	0	2	2	2	1	2	1	1	1	2	1	3	7	1	1	3	0	0	3	0	2	2	0	1	0	3	2	1	1	3	4	0	4	1	5	1	3	0	0	0	0	2	2	3	2	3	1	2	7	1	2	1	1	3	1	1	1	0	2	1	4	4	2
2:Del:R:4	1	2	0	1	0	0	0	3	2	2	1	0	0	0	1	2	1	3	1	2	0	2	1	0	0	0	3	0	1	0	0	1	2	0	2	1	0	5	1	0	2	2	0	2	0	0	1	2	1	2	2	2	1	0	0	1	1	0	0	0	0	2	0	1	2	4	1	2	0	2	0	0	0	0	0	1	2	2	1	0	0	3	1	1	3	4	1	1	2	1	0	3	0	0	0	2	1	1
2:Del:R:5	3	2	0	1	1	0	2	4	1	0	0	0	2	0	0	1	0	9	0	2	0	0	0	0	0	2	6	0	4	0	1	4	1	3	1	2	2	3	7	0	2	1	0	0	2	1	3	1	0	0	3	4	1	1	0	0	2	0	1	1	0	1	0	2	1	1	1	2	0	3	0	2	0	1	0	12	3	0	1	0	1	3	2	8	9	2	0	0	2	0	1	6	4	1	0	7	3	0
3:Del:R:0	1	4	4	6	2	0	3	13	0	1	2	0	2	1	6	7	1	3	0	2	2	1	2	2	0	1	3	7	1	0	2	3	4	3	1	1	3	8	9	0	5	3	1	3	1	2	4	5	7	6	6	2	3	4	4	4	7	4	3	2	4	2	1	2	2	5	0	0	0	2	3	2	2	0	0	2	5	4	4	3	0	1	2	5	0	3	0	3	4	4	3	6	1	6	0	9	3	1
3:Del:R:1	26	31	12	16	12	0	11	21	22	14	7	3	26	2	8	33	7	16	9	21	28	3	9	7	3	7	31	20	9	5	20	19	24	18	16	13	15	23	16	17	12	20	8	13	11	19	18	24	8	32	16	34	16	16	11	17	24	3	12	21	17	22	4	22	36	11	13	17	13	24	18	18	13	6	10	5	29	14	23	5	14	13	20	30	17	10	8	38	28	11	18	14	20	21	10	51	19	24
3:Del:R:2	7	6	6	12	5	0	3	3	3	4	3	0	6	0	2	11	2	6	3	6	6	0	0	3	1	2	11	5	2	1	2	4	5	14	5	1	4	7	4	3	4	1	2	3	1	6	11	6	1	5	4	4	6	6	1	3	5	4	3	9	4	8	2	2	4	0	4	8	6	2	0	2	1	3	2	3	7	3	2	2	2	1	4	4	0	2	2	4	6	2	2	8	2	2	1	9	5	9
3:Del:R:3	0	3	1	0	0	0	2	1	0	0	0	0	3	0	0	1	0	3	1	3	4	0	1	0	0	0	2	2	0	1	1	2	1	0	1	0	1	2	1	3	1	0	0	0	0	0	2	0	0	1	0	2	1	2	0	0	1	0	0	0	2	1	0	2	2	1	0	0	1	1	0	2	1	2	0	0	2	1	0	0	1	0	0	1	2	0	0	2	2	3	0	1	3	1	0	5	3	2
3:Del:R:4	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1
3:Del:R:5	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0
4:Del:R:0	5	0	2	2	3	0	1	7	2	2	3	0	2	2	4	0	1	2	1	2	1	0	3	1	0	2	3	2	1	0	1	1	2	3	2	1	1	4	6	2	5	1	2	0	1	1	3	4	1	7	4	1	1	1	4	0	5	0	3	4	4	4	2	2	2	5	2	2	1	2	0	2	1	0	2	3	4	1	4	0	0	3	2	4	1	2	3	1	2	2	0	2	1	3	1	10	2	0
4:Del:R:1	11	21	9	15	13	0	6	14	14	9	2	0	11	1	3	20	2	11	0	14	11	5	8	8	0	4	13	9	8	5	9	18	13	10	12	7	10	19	18	11	8	9	6	10	11	16	13	10	5	18	11	23	5	4	6	8	10	4	10	5	5	7	2	13	11	7	8	12	9	23	5	6	9	11	5	7	29	6	9	4	10	5	13	16	11	7	7	10	17	10	11	24	9	11	5	29	9	13
4:Del:R:2	0	9	1	5	2	0	0	2	1	2	0	0	5	0	2	6	1	3	2	2	6	3	0	2	0	1	3	0	0	0	1	3	1	2	1	1	0	3	0	2	0	1	1	5	0	5	5	6	2	1	1	0	2	0	2	1	5	0	2	1	3	3	2	1	3	2	1	2	1	1	3	6	2	0	0	0	6	3	1	0	0	0	2	3	1	1	3	0	2	3	4	2	8	2	1	5	4	4
4:Del:R:3	4	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	1	4	0	0	0	0	1	0	0	1	1	2	2	4	0	0	0	1	0	1	3	3	2	0	3	2	0	0	0	0	1	2	0	1	1	2	1	0	2	1	0	1	0	2	1	1	1	1	1	0	0	0	1	0	1	1	0	0	3	2	1	2	2	0	0	0	1	1	1	0	1	3	1
4:Del:R:4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1	0	0	0	3	0	0
4:Del:R:5	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
5:Del:R:0	12	19	13	25	10	0	26	84	12	16	4	4	15	3	18	28	6	22	10	21	18	3	19	5	1	11	18	10	8	9	17	19	15	20	26	10	10	25	88	6	14	12	11	16	12	7	13	25	10	34	15	15	10	17	11	7	19	4	6	16	19	29	7	12	23	16	13	21	7	26	6	11	16	6	4	7	32	15	19	7	3	20	13	18	8	23	14	14	10	11	6	15	13	7	6	14	20	15
5:Del:R:1	5	10	3	8	4	0	10	14	12	5	1	0	6	1	8	9	1	6	4	7	1	0	2	2	1	2	11	5	3	3	3	8	7	5	8	6	3	4	10	5	5	6	2	5	3	7	5	11	7	7	4	7	4	2	2	4	3	0	3	5	3	5	0	6	5	4	1	4	6	7	2	5	3	3	0	1	7	3	5	4	5	6	8	12	2	4	6	7	7	2	4	12	7	7	2	11	13	4
5:Del:R:2	1	1	1	0	1	0	2	4	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	1	2	2	0	1	3	3	0	0	1	1	2	0	1	2	2	0	0	1	1	1	0	0	1	3	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	2	2	0	0	3	3	2	0	0	0	2	1	2	0	2	0	2	0	1	1	2	0	0	1	0	2
5:Del:R:3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	1	0	2	0	0	0	0	0	1	2
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
5:Del:R:5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2:Ins:R:0	5	18	1	24	5	0	27	9	7	4	0	0	11	1	14	6	0	5	1	13	2	2	2	3	0	3	10	8	2	2	11	9	1	7	13	6	7	17	11	6	2	6	2	2	6	7	7	9	21	13	4	7	13	4	3	4	4	0	1	7	3	11	1	3	6	5	2	6	3	7	2	2	4	1	3	0	36	7	5	3	5	10	6	14	1	8	10	3	2	7	2	8	4	3	0	12	6	5
2:Ins:R:1	3	6	4	7	5	0	7	4	3	10	1	0	5	3	1	2	0	2	3	6	4	2	3	3	0	1	5	6	5	2	6	3	6	5	3	3	2	10	3	6	2	4	0	4	4	7	2	2	6	15	5	2	3	3	8	6	6	0	2	6	4	6	2	6	5	4	7	6	1	5	4	1	1	0	3	1	5	10	3	2	3	12	4	5	4	9	3	6	3	5	1	6	4	4	3	4	6	4
2:Ins:R:2	1	5	4	4	0	0	1	0	3	3	0	2	3	0	5	2	2	0	1	2	3	2	1	0	1	2	4	0	0	1	3	3	5	5	3	2	4	2	4	2	5	1	1	0	2	2	2	4	1	11	4	4	1	1	2	1	2	0	1	1	0	10	0	2	5	4	4	4	3	3	3	5	3	1	1	0	3	5	5	1	0	5	0	7	2	4	3	3	2	5	0	5	1	3	4	2	4	1
2:Ins:R:3	2	4	1	1	0	0	3	1	2	1	0	0	1	0	0	1	0	1	0	1	3	0	0	2	0	1	2	0	0	0	1	0	1	1	3	1	0	3	1	0	1	0	0	1	1	2	1	2	2	0	0	1	1	2	1	0	1	0	1	3	1	4	1	2	4	5	3	2	2	3	0	2	1	0	0	0	1	1	0	0	0	4	2	1	2	1	0	0	1	1	0	3	1	1	0	1	3	1
2:Ins:R:4	4	5	3	5	0	0	6	6	8	1	0	0	5	0	4	2	1	1	0	2	6	0	3	1	0	3	6	1	0	2	3	6	6	2	8	2	4	4	12	2	2	9	0	0	3	7	6	4	3	5	3	0	6	2	3	3	5	0	1	6	3	7	2	9	7	2	7	3	4	3	1	1	2	2	0	0	10	4	2	0	2	8	1	6	1	4	2	3	6	1	1	11	3	6	2	10	7	6
2:Ins:R:5	12	29	4	20	8	0	21	24	32	13	2	0	49	0	33	18	7	16	12	11	18	2	8	14	1	6	34	7	4	1	28	19	18	12	46	13	24	39	25	15	37	29	5	8	19	47	16	12	15	33	24	13	36	8	11	17	30	4	4	11	13	33	3	21	38	31	24	34	17	19	2	12	8	6	2	2	39	40	35	2	24	33	7	53	32	26	22	10	20	15	12	70	17	26	26	38	32	38
3:Ins:R:0	3	4	0	4	1	0	9	2	2	7	0	0	2	0	4	3	0	2	0	1	1	1	2	1	0	1	4	1	1	2	6	2	2	3	3	0	0	4	3	1	1	1	0	2	0	1	0	4	5	13	1	2	1	0	3	4	1	0	0	2	2	9	0	1	4	1	1	1	1	6	0	0	2	3	0	0	12	2	0	1	0	6	3	2	0	3	2	1	1	2	1	1	0	1	1	2	4	1
3:Ins:R:1	1	8	5	5	2	0	7	2	1	3	2	2	2	0	6	1	3	1	1	9	3	1	4	0	0	4	16	3	3	4	8	9	8	5	10	4	3	5	7	3	3	6	2	1	1	5	7	7	8	19	4	5	7	6	3	2	1	4	1	3	7	4	2	3	9	3	4	7	2	6	2	4	3	1	2	1	5	6	14	5	5	4	3	6	8	8	3	2	7	11	1	11	10	2	3	9	1	3
3:Ins:R:2	1	0	0	1	1	0	1	1	3	3	0	0	0	0	1	1	0	0	0	1	2	0	1	0	0	0	3	0	1	0	0	2	0	0	0	0	0	3	0	0	1	1	0	1	0	1	0	1	0	2	0	1	3	1	2	2	0	0	0	0	1	0	0	5	0	2	3	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	5	1	0	3	0	4	0	0	1	1	2	2	0	1	1	1
3:Ins:R:3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0
3:Ins:R:4	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	1
3:Ins:R:5	0	11	3	4	0	0	3	4	4	0	0	0	6	0	3	3	1	3	0	3	2	2	1	0	0	0	8	1	0	0	5	1	1	2	5	6	0	1	1	2	3	4	0	0	2	5	2	3	4	3	1	2	6	2	0	2	5	0	0	3	3	6	0	7	2	1	2	6	1	0	2	3	2	1	1	0	2	4	0	1	1	5	0	5	2	2	6	1	10	0	2	7	3	3	2	7	2	2
4:Ins:R:0	0	5	0	7	2	0	6	5	2	2	1	1	5	0	3	4	0	1	0	1	0	0	0	0	0	2	4	3	2	1	4	5	1	1	1	0	1	4	4	0	3	2	1	0	1	1	2	1	8	10	2	0	3	0	1	0	2	0	0	2	2	9	0	2	3	1	2	3	1	2	0	1	2	2	0	0	11	3	1	0	3	6	3	5	1	4	2	3	0	1	1	3	2	0	0	3	1	2
4:Ins:R:1	2	7	1	8	3	0	3	4	2	7	1	1	8	0	4	3	2	3	2	3	3	2	2	6	1	4	10	3	5	5	4	10	5	4	5	3	2	8	4	3	3	4	1	2	2	3	4	4	7	25	6	8	8	3	6	1	5	1	5	4	6	5	2	8	2	7	6	12	5	9	3	2	1	3	1	0	5	13	1	1	6	5	4	6	2	9	7	10	7	11	1	13	6	2	8	6	7	3
4:Ins:R:2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	2	0	0	0	0	0	0	0	1	1	1	2	0	0	1	1	0	0	3	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0
