MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
1:Ins:T:2	9	18	11	5	6	0	15	5	13	6	4	0	6	3	11	8	6	7	2	11	9	3	10	3	0	4	11	5	6	1	11	12	9	9	6	9	6	12	11	7	10	22	2	5	4	6	7	8	14	29	14	4	4	7	10	8	8	1	5	7	6	15	4	7	10	8	13	6	8	3	7	4	3	3	3	3	17	5	4	1	4	10	6	10	8	8	6	10	5	11	5	10	6	8	10	8	10	5	7	10	16	8	8	8	11	14	18	20	11	8	16	7	10	17	13	10	9	10	5	9	4	9	7	3	23	3	26	8	12	20	6	9	31	11	22	17	14	17	119	4	10	8	7	6	12	25	3	19	18	5	7	2	13	13	4	10	12	20	5	13	14	8	10	11	14	4	11	15	123	9	13	11	5	10	18	10	11	10	13	18	17	9	10	6	25	10	17	12	14	8	13	9	16	5	19	2	9	10	7	16	6	8	13	12	10	16	9	15	6	14	13	15	8	20	3	35	26	16	9	12	5	7	5	10	12	19	11	22	10	6	14	4	22	14	14	7	10	8	9	13	8	7	20	19	9	11	26
1:Ins:T:3	4	12	7	6	3	0	6	8	5	6	6	1	6	0	18	13	8	3	3	4	11	5	9	4	0	1	8	4	8	1	9	9	10	6	9	12	6	21	12	11	7	13	1	7	4	14	8	2	10	9	7	6	4	5	5	4	6	2	7	9	3	17	4	7	10	11	10	11	7	5	4	6	12	6	6	1	22	13	16	1	4	11	6	16	7	11	8	7	6	7	4	20	7	7	4	13	9	9	8	11	13	6	9	3	9	13	12	13	13	6	20	7	3	12	12	14	11	7	15	5	6	13	5	3	11	6	23	4	6	9	10	6	21	5	16	7	9	16	53	2	6	6	8	5	6	14	5	23	13	4	12	3	16	12	8	4	11	17	3	10	9	9	7	7	14	8	14	19	100	8	13	4	10	14	11	9	11	6	6	11	16	9	9	7	28	7	10	17	17	5	14	9	10	8	9	5	2	7	1	14	9	2	11	13	12	15	13	16	7	20	11	17	11	13	6	24	29	13	3	9	6	6	6	12	14	17	14	14	13	10	12	6	20	9	18	10	11	9	11	18	14	5	11	16	5	12	16
1:Ins:T:4	8	22	10	13	7	0	15	12	16	13	2	0	17	5	21	8	7	11	4	13	27	1	15	10	1	9	28	12	10	8	7	15	23	7	16	37	20	19	23	7	14	12	6	8	6	16	10	17	7	16	12	10	23	8	12	8	9	5	7	9	8	20	0	21	14	21	20	10	9	16	6	8	11	2	5	8	28	17	21	3	10	26	12	20	17	21	6	10	10	18	1	28	6	15	11	17	17	22	6	23	23	4	7	3	10	42	17	28	11	4	20	11	16	18	15	18	5	18	7	10	6	22	8	9	13	7	32	5	13	13	12	7	25	10	13	8	6	12	28	13	13	11	7	8	16	10	7	7	12	4	32	5	14	19	12	5	10	15	2	20	19	4	12	8	27	6	17	26	212	13	16	5	8	29	21	13	10	12	19	11	29	16	25	18	16	11	16	21	36	9	19	16	23	12	20	6	6	9	5	10	11	8	17	5	13	8	14	13	3	24	10	17	9	44	8	11	24	13	14	20	4	7	8	11	18	24	23	16	13	11	32	5	22	7	15	22	13	19	16	17	17	10	33	16	5	25	9
1:Ins:T:5	330	795	128	395	300	0	494	339	573	399	52	20	856	53	618	332	112	277	256	297	621	98	246	245	18	195	829	299	134	79	406	429	578	397	711	479	586	544	659	315	714	526	138	259	400	744	383	384	692	749	376	255	530	258	351	420	490	89	206	431	396	678	73	828	626	417	552	605	388	412	107	332	279	175	99	72	837	668	545	99	398	993	390	1026	742	780	390	423	471	439	187	1130	526	583	549	570	786	821	126	921	966	332	491	244	623	1865	885	915	644	628	903	572	596	1080	610	419	348	588	283	446	248	988	434	343	301	403	1383	138	538	395	684	384	925	272	413	554	289	334	79	506	447	515	412	488	644	442	191	300	602	269	490	249	752	860	640	122	468	529	79	922	485	418	328	354	866	418	915	1068	7936	474	684	218	366	946	800	609	610	195	718	284	884	653	711	517	654	461	917	791	1153	503	737	398	536	457	1032	228	298	338	302	260	613	167	923	446	497	527	585	452	288	849	462	856	271	1230	334	148	1116	491	379	545	272	457	313	787	730	965	845	604	416	399	866	295	1019	604	628	678	545	678	501	296	923	272	1471	933	408	814	338
2:Del:R:0	9	16	8	18	4	0	7	19	6	6	4	2	15	3	3	19	9	16	2	6	11	1	7	3	0	4	8	11	3	14	9	12	11	11	16	8	10	15	17	12	10	11	4	7	6	13	9	11	5	19	7	11	11	10	7	2	12	2	7	11	8	18	5	8	17	4	9	12	5	12	6	8	10	4	5	1	19	11	14	2	8	13	9	18	4	14	14	11	7	7	8	18	14	6	3	20	7	5	9	21	12	5	11	15	11	19	17	20	33	5	18	9	5	9	10	10	8	6	11	14	4	10	7	7	7	5	42	6	17	8	20	14	35	13	8	17	5	25	29	15	8	14	6	13	16	36	9	16	11	1	8	6	14	29	15	7	11	28	4	21	18	8	11	11	19	11	15	24	212	12	10	8	11	15	22	10	11	8	30	6	24	10	22	9	11	19	17	7	27	17	12	10	36	6	18	10	7	8	7	21	11	7	13	11	12	18	14	18	6	22	17	16	27	7	13	21	35	21	27	8	5	10	10	9	20	14	22	64	20	8	28	10	26	10	15	12	16	9	15	48	18	5	13	17	5	10	22
2:Del:R:1	16	40	11	22	10	0	14	18	18	16	6	2	29	6	14	29	9	21	13	26	24	6	19	18	3	7	37	16	15	12	21	18	32	19	26	13	15	39	39	23	14	14	15	18	16	28	16	28	20	28	15	41	20	14	14	11	16	5	10	12	16	38	6	28	30	21	14	30	19	41	6	20	16	14	9	11	40	16	22	9	9	15	14	31	10	18	24	33	28	11	18	38	19	24	9	63	25	9	14	23	26	20	14	13	21	25	23	29	43	11	35	26	20	15	26	27	26	18	15	18	15	30	23	8	12	8	44	11	16	21	26	10	52	11	32	13	12	25	22	20	16	20	10	20	22	49	10	20	32	14	20	15	21	37	20	10	14	32	3	38	32	20	2	24	34	14	22	38	336	28	19	16	15	22	29	19	16	13	28	17	35	26	42	12	15	26	41	19	41	23	19	17	36	5	46	11	7	12	17	20	11	11	28	15	19	42	26	18	9	23	30	24	31	32	16	14	73	21	15	11	12	9	19	26	32	27	29	46	23	27	54	14	43	12	31	10	12	20	20	28	27	10	29	36	19	22	20
2:Del:R:2	6	7	1	9	7	0	6	9	4	2	0	1	5	2	9	9	3	6	3	8	10	1	4	0	3	4	9	6	4	2	8	4	7	3	11	5	8	9	16	8	4	9	3	4	8	7	8	6	3	9	7	8	5	3	4	3	5	1	3	8	3	8	1	10	11	7	3	11	5	7	7	5	3	1	4	2	9	3	4	1	7	4	3	9	2	6	10	12	10	8	8	15	5	4	1	8	4	7	8	4	9	3	7	2	8	5	7	14	12	6	3	5	7	13	6	9	1	5	4	6	2	11	5	1	2	9	11	3	12	5	13	6	14	6	6	11	7	5	24	4	3	13	6	10	9	15	7	9	6	6	4	3	3	12	11	3	9	9	2	15	7	2	4	6	10	6	7	19	168	10	6	4	5	6	7	6	9	6	11	3	8	6	6	8	8	10	8	7	14	11	11	6	12	3	9	4	3	2	7	6	3	3	5	4	1	11	5	6	5	8	12	6	11	15	8	5	12	10	6	7	3	5	8	4	7	7	9	20	7	6	7	4	10	10	7	3	5	5	7	11	7	0	10	11	4	6	6
2:Del:R:3	0	5	0	2	2	0	4	0	5	2	0	0	3	2	1	1	1	2	0	3	2	1	2	1	1	0	7	1	0	0	4	2	2	3	3	0	2	2	2	1	2	1	1	1	2	1	3	7	1	1	3	0	0	3	0	2	2	0	1	0	3	2	1	1	3	4	0	4	1	5	1	3	0	0	0	0	2	2	3	2	3	1	2	7	1	2	1	1	3	1	1	1	0	2	1	4	4	2	0	5	5	2	3	0	7	2	12	7	4	4	8	4	6	4	2	2	2	0	0	2	3	5	1	1	1	4	5	2	5	2	4	4	7	1	6	3	2	5	15	4	1	5	2	3	5	3	0	3	5	1	4	1	7	7	2	1	3	4	0	5	3	4	1	4	6	1	5	3	623	1	3	4	3	8	1	4	3	3	7	1	7	4	4	2	0	5	5	3	15	2	4	4	8	2	10	2	1	2	3	1	2	2	5	1	8	3	5	1	2	3	6	4	3	3	2	4	9	2	1	4	3	3	6	4	8	11	7	7	7	4	7	1	6	5	6	2	5	5	5	3	3	1	14	9	4	1	2
2:Del:R:4	1	2	0	1	0	0	0	3	2	2	1	0	0	0	1	2	1	3	1	2	0	2	1	0	0	0	3	0	1	0	0	1	2	0	2	1	0	5	1	0	2	2	0	2	0	0	1	2	1	2	2	2	1	0	0	1	1	0	0	0	0	2	0	1	2	4	1	2	0	2	0	0	0	0	0	1	2	2	1	0	0	3	1	1	3	4	1	1	2	1	0	3	0	0	0	2	1	1	5	3	4	0	4	1	2	3	5	4	5	1	1	0	1	0	3	4	6	2	1	2	2	3	4	0	1	0	4	0	1	1	4	3	2	2	1	4	3	1	6	4	0	6	1	2	1	1	1	2	1	2	4	2	2	7	4	1	2	0	0	3	2	0	1	3	1	3	4	5	427	2	3	0	5	10	2	4	1	1	2	2	1	2	4	0	3	5	2	5	3	1	3	0	7	2	2	2	0	1	1	1	2	0	3	1	3	2	1	2	4	2	2	4	6	2	3	0	4	2	1	1	0	1	1	2	1	4	4	1	2	3	5	2	1	2	4	1	1	1	2	7	5	0	2	3	0	2	1
2:Del:R:5	3	2	0	1	1	0	2	4	1	0	0	0	2	0	0	1	0	9	0	2	0	0	0	0	0	2	6	0	4	0	1	4	1	3	1	2	2	3	7	0	2	1	0	0	2	1	3	1	0	0	3	4	1	1	0	0	2	0	1	1	0	1	0	2	1	1	1	2	0	3	0	2	0	1	0	12	3	0	1	0	1	3	2	8	9	2	0	0	2	0	1	6	4	1	0	7	3	0	1	2	8	2	0	1	6	6	7	11	12	2	12	3	1	10	2	7	4	6	4	9	3	9	3	0	1	4	12	8	5	6	11	3	9	4	3	3	2	7	6	7	1	9	4	7	7	2	2	2	3	3	8	3	9	18	8	0	9	3	0	9	5	8	1	2	12	5	21	22	1429	5	12	1	8	10	11	5	4	4	6	3	15	5	8	6	2	9	15	4	12	3	5	4	14	2	13	6	10	4	2	3	5	4	4	11	6	8	3	3	0	6	8	5	5	3	3	1	11	4	5	6	1	3	9	3	7	9	5	12	5	8	13	6	11	0	7	2	5	7	15	10	6	6	9	14	4	5	9
3:Del:R:0	1	4	4	6	2	0	3	13	0	1	2	0	2	1	6	7	1	3	0	2	2	1	2	2	0	1	3	7	1	0	2	3	4	3	1	1	3	8	9	0	5	3	1	3	1	2	4	5	7	6	6	2	3	4	4	4	7	4	3	2	4	2	1	2	2	5	0	0	0	2	3	2	2	0	0	2	5	4	4	3	0	1	2	5	0	3	0	3	4	4	3	6	1	6	0	9	3	1	5	7	3	4	4	3	5	3	5	3	10	0	1	3	3	4	6	0	3	2	5	5	2	4	0	2	4	0	13	4	5	6	9	1	21	3	9	9	3	17	3	3	5	6	2	2	1	10	2	7	7	2	3	2	4	17	8	2	20	13	3	5	23	2	1	5	3	0	4	7	59	5	7	3	0	6	5	0	5	2	4	5	5	3	7	5	6	4	4	5	7	2	4	3	5	3	13	1	4	2	5	16	3	4	10	1	5	5	3	3	1	6	5	6	1	2	4	12	15	9	5	3	2	0	2	4	5	2	3	4	2	3	5	1	10	2	4	2	3	1	10	6	1	1	3	3	5	1	13
3:Del:R:1	26	31	12	16	12	0	11	21	22	14	7	3	26	2	8	33	7	16	9	21	28	3	9	7	3	7	31	20	9	5	20	19	24	18	16	13	15	23	16	17	12	20	8	13	11	19	18	24	8	32	16	34	16	16	11	17	24	3	12	21	17	22	4	22	36	11	13	17	13	24	18	18	13	6	10	5	29	14	23	5	14	13	20	30	17	10	8	38	28	11	18	14	20	21	10	51	19	24	10	27	23	22	10	13	20	16	21	34	20	14	19	11	10	24	15	17	24	21	15	13	8	24	18	6	12	10	29	7	26	15	21	13	37	8	16	8	9	21	7	9	10	19	11	25	24	29	12	15	19	15	15	14	19	38	19	3	24	18	5	38	19	10	10	13	19	13	19	27	310	15	18	10	15	22	17	15	17	9	28	12	20	10	47	14	15	20	25	24	30	26	22	15	32	13	42	8	12	7	11	21	8	8	10	13	17	28	15	19	11	21	28	25	16	21	14	8	43	22	14	16	15	10	18	24	21	20	17	51	21	15	56	13	37	11	32	10	15	26	24	18	18	7	29	19	12	19	14
3:Del:R:2	7	6	6	12	5	0	3	3	3	4	3	0	6	0	2	11	2	6	3	6	6	0	0	3	1	2	11	5	2	1	2	4	5	14	5	1	4	7	4	3	4	1	2	3	1	6	11	6	1	5	4	4	6	6	1	3	5	4	3	9	4	8	2	2	4	0	4	8	6	2	0	2	1	3	2	3	7	3	2	2	2	1	4	4	0	2	2	4	6	2	2	8	2	2	1	9	5	9	2	4	3	6	3	4	7	6	11	14	5	2	8	5	3	6	7	4	2	7	3	2	2	10	3	0	1	5	10	0	5	3	10	6	18	1	10	3	1	7	0	5	5	6	1	5	11	8	2	6	3	3	5	3	6	12	9	2	4	4	1	1	7	3	1	7	13	4	4	5	102	8	7	0	10	8	4	8	4	1	3	1	13	1	10	4	4	6	4	2	10	2	4	8	10	5	12	2	3	0	6	10	4	1	5	4	5	4	10	5	0	7	8	9	4	4	4	2	13	2	6	2	1	7	5	7	11	7	7	10	10	6	17	3	10	3	7	3	6	2	4	5	8	4	11	5	5	6	2
3:Del:R:3	0	3	1	0	0	0	2	1	0	0	0	0	3	0	0	1	0	3	1	3	4	0	1	0	0	0	2	2	0	1	1	2	1	0	1	0	1	2	1	3	1	0	0	0	0	0	2	0	0	1	0	2	1	2	0	0	1	0	0	0	2	1	0	2	2	1	0	0	1	1	0	2	1	2	0	0	2	1	0	0	1	0	0	1	2	0	0	2	2	3	0	1	3	1	0	5	3	2	1	3	1	1	2	0	3	1	2	2	2	1	1	2	1	1	2	3	0	2	0	2	0	0	3	0	0	1	3	0	1	0	0	2	5	0	1	2	0	2	1	0	2	2	2	0	1	3	0	2	0	1	2	0	2	4	0	0	4	0	1	3	1	0	0	0	0	1	1	1	36	3	2	0	0	1	0	2	3	1	2	0	0	0	0	0	0	2	1	5	4	3	4	2	2	0	1	0	0	0	2	1	2	0	1	0	1	4	1	3	1	3	2	1	6	0	3	0	1	1	0	0	1	0	0	1	5	0	0	4	3	1	1	3	3	3	2	0	1	1	1	7	1	0	0	4	1	0	0
3:Del:R:4	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1	0	3	2	2	0	2	1	1	3	1	2	0	1	2	1	0	0	1	0	0	1	2	0	2	1	2	2	2	1	0	0	0	0	0	1	1	3	0	0	1	1	0	3	0	0	2	1	0	1	2	0	1	1	0	1	1	2	0	0	1	0	0	2	26	0	0	1	0	3	1	2	0	0	0	0	1	0	1	0	1	1	2	0	1	0	2	0	0	0	0	0	2	1	1	0	3	0	0	1	1	0	1	1	0	1	0	2	2	0	0	0	1	1	0	1	1	0	2	0	2	2	2	1	0	1	2	1	4	2	0	0	2	2	0	2	0	0	2	2	2	0	2
3:Del:R:5	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	4	1	0	0	0	3	1	0	1	0	1	0	1	0	0	0	0	1	2	2	1	0	1	0	1	0	0	1	0	2	0	0	0	2	0	2	0	1	0	2	0	1	2	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	58	0	1	0	2	1	0	1	2	0	1	0	1	0	1	0	0	1	1	1	2	0	0	2	2	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	2	2	1	1	0	1	0	3	0	0	0	0	0	3	1	1	0	0	1	0	1	2	0	1	0	2	0	0	0	1	1	1	0	2	1	1	0	1
4:Del:R:0	5	0	2	2	3	0	1	7	2	2	3	0	2	2	4	0	1	2	1	2	1	0	3	1	0	2	3	2	1	0	1	1	2	3	2	1	1	4	6	2	5	1	2	0	1	1	3	4	1	7	4	1	1	1	4	0	5	0	3	4	4	4	2	2	2	5	2	2	1	2	0	2	1	0	2	3	4	1	4	0	0	3	2	4	1	2	3	1	2	2	0	2	1	3	1	10	2	0	6	3	2	3	1	9	4	4	5	3	14	0	6	2	4	3	3	5	4	2	3	6	4	4	1	2	5	1	6	3	2	3	5	3	22	2	0	8	1	7	2	7	1	6	2	6	2	21	3	6	2	2	5	4	4	12	6	6	6	12	1	6	10	2	1	2	6	2	3	5	33	1	1	4	5	4	4	1	1	2	5	3	12	5	3	4	4	4	7	6	6	4	2	4	9	3	2	3	1	5	5	7	4	1	4	2	1	7	2	3	1	4	10	8	4	0	3	6	21	3	8	1	1	5	7	1	8	3	5	5	11	4	4	0	5	7	6	4	0	4	3	3	2	3	5	6	2	2	8
4:Del:R:1	11	21	9	15	13	0	6	14	14	9	2	0	11	1	3	20	2	11	0	14	11	5	8	8	0	4	13	9	8	5	9	18	13	10	12	7	10	19	18	11	8	9	6	10	11	16	13	10	5	18	11	23	5	4	6	8	10	4	10	5	5	7	2	13	11	7	8	12	9	23	5	6	9	11	5	7	29	6	9	4	10	5	13	16	11	7	7	10	17	10	11	24	9	11	5	29	9	13	9	15	10	10	4	2	11	10	11	21	25	2	17	7	8	13	17	13	15	17	12	5	7	9	8	0	7	7	15	14	16	6	21	10	31	7	9	3	2	12	2	12	7	11	11	15	13	18	2	15	9	6	23	11	11	24	19	4	12	15	3	36	24	12	8	13	15	5	17	25	134	12	17	10	5	27	26	12	13	2	24	6	16	15	33	9	8	12	21	7	15	13	11	6	20	7	26	5	8	7	6	20	9	5	9	10	14	19	10	9	6	11	25	21	26	7	4	6	28	11	7	7	4	6	12	9	13	7	7	29	18	11	41	11	24	6	14	12	7	16	15	26	9	5	16	24	12	11	16
4:Del:R:2	0	9	1	5	2	0	0	2	1	2	0	0	5	0	2	6	1	3	2	2	6	3	0	2	0	1	3	0	0	0	1	3	1	2	1	1	0	3	0	2	0	1	1	5	0	5	5	6	2	1	1	0	2	0	2	1	5	0	2	1	3	3	2	1	3	2	1	2	1	1	3	6	2	0	0	0	6	3	1	0	0	0	2	3	1	1	3	0	2	3	4	2	8	2	1	5	4	4	3	7	0	2	0	3	2	2	3	5	8	2	6	2	4	5	4	3	3	5	5	7	0	6	5	2	2	3	7	2	5	2	9	3	9	4	5	3	1	2	2	5	1	6	2	4	3	2	0	6	6	0	6	1	3	11	11	1	4	3	1	6	6	2	6	8	8	1	7	4	57	0	6	5	3	4	7	4	1	0	6	3	9	1	12	3	4	2	7	1	5	3	4	4	8	0	7	3	2	2	3	3	3	3	5	2	2	8	1	3	3	2	6	3	7	3	3	2	13	5	5	5	4	4	5	3	3	4	4	14	8	6	12	3	7	2	8	1	3	5	8	7	5	2	9	8	3	2	2
4:Del:R:3	4	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	3	0	0	1	0	1	4	0	0	0	0	1	0	0	1	1	2	2	4	0	0	0	1	0	1	3	3	2	0	3	2	0	0	0	0	1	2	0	1	1	2	1	0	2	1	0	1	0	2	1	1	1	1	1	0	0	0	1	0	1	1	0	0	3	2	1	2	2	0	0	0	1	1	1	0	1	3	1	1	3	3	1	1	1	3	4	1	2	5	1	2	5	1	0	3	2	0	6	0	2	0	7	3	0	2	1	5	1	2	0	5	1	7	5	3	1	0	2	1	2	2	3	0	2	1	5	0	1	2	0	4	2	0	2	5	0	3	0	2	3	5	1	0	3	3	3	4	5	62	1	5	2	1	4	1	0	2	1	2	1	4	1	4	0	1	2	2	2	5	1	3	1	2	0	4	1	1	2	1	1	3	0	1	1	2	2	0	4	1	3	5	1	4	2	0	0	1	0	0	3	0	2	1	1	2	6	2	3	4	2	6	2	5	3	3	3	2	2	0	4	1	0	7	2	3	2	2
4:Del:R:4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	2	1	2	0	2	2	1	2	1	21	0	0	0	1	1	0	0	1	0	1	0	2	2	3	0	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	1	0	0	2	1	0	1	1	0	0	2	0	2	2	4	0	2	0	1	1	0	1	1	1	0	2	4	1	1	1	2	3	0	1	0	1	0	1	1	0	2	2	0	0	1	0	1	1
4:Del:R:5	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	1	1	1	0	1	1	3	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	2	1	2	0	0	0	3	2	0	0	0	1	0	0	0	0	0	2	0	0	0	46	0	2	0	1	1	0	0	1	0	0	1	2	0	2	0	0	0	2	0	1	1	3	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	2	0	0	0	0	0	1	3	0	0	0	0	1	1	1	1	1	5	0	1	2	1	1	1	0	0	0	0	0	1	1	1	1	0	2	1	0
5:Del:R:0	12	19	13	25	10	0	26	84	12	16	4	4	15	3	18	28	6	22	10	21	18	3	19	5	1	11	18	10	8	9	17	19	15	20	26	10	10	25	88	6	14	12	11	16	12	7	13	25	10	34	15	15	10	17	11	7	19	4	6	16	19	29	7	12	23	16	13	21	7	26	6	11	16	6	4	7	32	15	19	7	3	20	13	18	8	23	14	14	10	11	6	15	13	7	6	14	20	15	31	26	19	22	23	56	24	35	29	19	74	32	31	15	42	42	20	49	33	11	43	37	9	28	20	33	30	25	9	42	23	33	42	30	110	38	63	70	27	91	36	58	40	55	38	19	18	95	12	40	53	23	38	54	21	67	49	41	46	72	11	52	49	21	11	17	27	38	47	46	135	14	20	34	30	44	37	24	33	36	36	24	37	45	48	52	29	36	24	37	49	38	43	65	48	14	30	22	12	20	28	44	12	12	38	12	14	31	24	25	14	50	82	26	44	20	18	44	90	52	29	16	23	19	23	21	35	19	38	27	26	27	53	26	57	17	31	57	26	33	43	38	25	8	15	27	16	27	135
5:Del:R:1	5	10	3	8	4	0	10	14	12	5	1	0	6	1	8	9	1	6	4	7	1	0	2	2	1	2	11	5	3	3	3	8	7	5	8	6	3	4	10	5	5	6	2	5	3	7	5	11	7	7	4	7	4	2	2	4	3	0	3	5	3	5	0	6	5	4	1	4	6	7	2	5	3	3	0	1	7	3	5	4	5	6	8	12	2	4	6	7	7	2	4	12	7	7	2	11	13	4	6	9	9	9	3	1	6	8	9	13	13	5	12	7	5	9	15	9	10	6	7	9	3	4	18	0	6	4	20	7	6	9	15	5	23	8	11	7	2	10	1	15	3	17	3	17	7	15	3	6	12	7	18	8	10	18	14	4	13	9	3	15	10	7	6	2	10	4	14	17	48	2	4	6	7	34	14	8	3	2	12	4	13	7	12	4	5	11	18	4	26	10	11	9	11	3	19	4	5	1	7	13	3	7	9	7	6	11	9	12	3	27	10	8	10	8	3	2	16	10	7	13	7	5	5	6	12	20	17	16	9	3	22	3	17	1	9	2	3	13	8	15	2	2	14	24	7	8	22
