MutationType	CPCT02220038T	CPCT02290013T
T[Del(C):R8]A	0	0
T[Del(C):R8]G	0	0
T[Del(C):R8]T	1	0
T[Del(C):R(9,)]A	0	0
T[Del(C):R(9,)]G	0	0
T[Del(C):R(9,)]T	0	0
A[Del(T):R1]A	1	3
A[Del(T):R1]C	1	2
A[Del(T):R1]G	1	3
A[Del(T):R2]A	7	3
A[Del(T):R2]C	0	1
A[Del(T):R2]G	0	2
A[Del(T):R3]A	3	3
A[Del(T):R3]C	2	1
A[Del(T):R3]G	1	0
A[Del(T):R4]A	5	3
A[Del(T):R4]C	2	1
A[Del(T):R4]G	0	2
A[Del(T):R5]A	3	4
A[Del(T):R5]C	3	0
A[Del(T):R5]G	5	4
A[Del(T):R6]A	5	3
A[Del(T):R6]C	8	2
A[Del(T):R6]G	3	2
A[Del(T):R7]A	7	4
A[Del(T):R7]C	7	3
A[Del(T):R7]G	7	1
A[Del(T):R8]A	13	5
A[Del(T):R8]C	9	6
A[Del(T):R8]G	9	1
A[Del(T):R(9,)]A	0	0
A[Del(T):R(9,)]C	0	0
A[Del(T):R(9,)]G	0	0
C[Del(T):R1]A	4	5
C[Del(T):R1]C	2	2
C[Del(T):R1]G	1	2
C[Del(T):R2]A	2	1
C[Del(T):R2]C	0	0
C[Del(T):R2]G	0	3
C[Del(T):R3]A	3	1
C[Del(T):R3]C	2	3
C[Del(T):R3]G	0	4
C[Del(T):R4]A	2	4
C[Del(T):R4]C	4	0
C[Del(T):R4]G	3	2
C[Del(T):R5]A	1	1
C[Del(T):R5]C	0	0
C[Del(T):R5]G	3	3
C[Del(T):R6]A	4	1
C[Del(T):R6]C	2	1
C[Del(T):R6]G	3	1
C[Del(T):R7]A	2	1
C[Del(T):R7]C	4	1
C[Del(T):R7]G	2	0
C[Del(T):R8]A	6	3
C[Del(T):R8]C	12	4
C[Del(T):R8]G	3	1
C[Del(T):R(9,)]A	0	0
C[Del(T):R(9,)]C	0	0
C[Del(T):R(9,)]G	0	0
G[Del(T):R1]A	1	0
G[Del(T):R1]C	1	2
G[Del(T):R1]G	1	1
G[Del(T):R2]A	1	0
G[Del(T):R2]C	2	2
G[Del(T):R2]G	2	0
G[Del(T):R3]A	0	2
G[Del(T):R3]C	3	0
G[Del(T):R3]G	1	1
G[Del(T):R4]A	3	3
G[Del(T):R4]C	2	1
G[Del(T):R4]G	2	2
G[Del(T):R5]A	2	3
G[Del(T):R5]C	1	0
G[Del(T):R5]G	1	1
G[Del(T):R6]A	3	0
G[Del(T):R6]C	0	0
G[Del(T):R6]G	0	3
G[Del(T):R7]A	2	0
G[Del(T):R7]C	3	1
G[Del(T):R7]G	3	1
G[Del(T):R8]A	1	2
G[Del(T):R8]C	1	2
G[Del(T):R8]G	2	2
G[Del(T):R(9,)]A	0	0
G[Del(T):R(9,)]C	0	0
G[Del(T):R(9,)]G	0	0
A[Ins(C):R0]A	3	2
A[Ins(C):R0]G	0	1
A[Ins(C):R0]T	0	0
A[Ins(C):R1]A	0	0
A[Ins(C):R1]G	0	0
A[Ins(C):R1]T	1	0
A[Ins(C):R2]A	0	0
A[Ins(C):R2]G	0	0
A[Ins(C):R2]T	1	0
A[Ins(C):R3]A	0	1
A[Ins(C):R3]G	0	0
A[Ins(C):R3]T	0	0
A[Ins(C):R4]A	0	1
A[Ins(C):R4]G	0	0
A[Ins(C):R4]T	0	0
A[Ins(C):R5]A	0	0
A[Ins(C):R5]G	1	0
A[Ins(C):R5]T	0	0
A[Ins(C):R6]A	1	1
A[Ins(C):R6]G	0	0
A[Ins(C):R6]T	0	0
A[Ins(C):R7]A	4	1
A[Ins(C):R7]G	1	0
A[Ins(C):R7]T	1	0
A[Ins(C):R8]A	3	0
A[Ins(C):R8]G	0	0
A[Ins(C):R8]T	0	1
A[Ins(C):R(9,)]A	0	0
A[Ins(C):R(9,)]G	0	0
A[Ins(C):R(9,)]T	0	0
G[Ins(C):R0]A	0	0
G[Ins(C):R0]G	0	0
G[Ins(C):R0]T	0	1
G[Ins(C):R1]A	0	0
G[Ins(C):R1]G	0	0
G[Ins(C):R1]T	0	0
G[Ins(C):R2]A	0	0
G[Ins(C):R2]G	0	0
G[Ins(C):R2]T	0	0
G[Ins(C):R3]A	1	0
G[Ins(C):R3]G	0	0
G[Ins(C):R3]T	0	0
G[Ins(C):R4]A	1	0
G[Ins(C):R4]G	0	0
G[Ins(C):R4]T	1	1
G[Ins(C):R5]A	0	0
G[Ins(C):R5]G	0	0
G[Ins(C):R5]T	0	1
G[Ins(C):R6]A	0	0
G[Ins(C):R6]G	0	0
G[Ins(C):R6]T	1	0
G[Ins(C):R7]A	1	1
G[Ins(C):R7]G	1	0
G[Ins(C):R7]T	1	0
G[Ins(C):R8]A	1	0
G[Ins(C):R8]G	0	0
G[Ins(C):R8]T	0	1
G[Ins(C):R(9,)]A	0	0
G[Ins(C):R(9,)]G	0	0
G[Ins(C):R(9,)]T	0	0
T[Ins(C):R0]A	1	0
T[Ins(C):R0]G	0	0
T[Ins(C):R0]T	2	4
T[Ins(C):R1]A	0	1
T[Ins(C):R1]G	0	0
T[Ins(C):R1]T	2	2
T[Ins(C):R2]A	1	0
T[Ins(C):R2]G	0	0
T[Ins(C):R2]T	1	0
T[Ins(C):R3]A	0	0
T[Ins(C):R3]G	0	0
T[Ins(C):R3]T	0	0
T[Ins(C):R4]A	2	0
T[Ins(C):R4]G	0	0
T[Ins(C):R4]T	0	0
T[Ins(C):R5]A	1	0
T[Ins(C):R5]G	0	1
T[Ins(C):R5]T	1	1
T[Ins(C):R6]A	1	0
T[Ins(C):R6]G	1	0
T[Ins(C):R6]T	1	0
T[Ins(C):R7]A	4	2
T[Ins(C):R7]G	1	0
T[Ins(C):R7]T	1	0
T[Ins(C):R8]A	0	0
T[Ins(C):R8]G	0	0
T[Ins(C):R8]T	0	0
T[Ins(C):R(9,)]A	0	0
T[Ins(C):R(9,)]G	0	0
T[Ins(C):R(9,)]T	0	0
A[Ins(T):R0]A	6	5
A[Ins(T):R0]C	0	1
A[Ins(T):R0]G	0	1
A[Ins(T):R1]A	2	2
A[Ins(T):R1]C	0	0
A[Ins(T):R1]G	0	0
A[Ins(T):R2]A	0	0
A[Ins(T):R2]C	1	0
A[Ins(T):R2]G	3	1
A[Ins(T):R3]A	1	0
A[Ins(T):R3]C	1	0
A[Ins(T):R3]G	1	0
A[Ins(T):R4]A	1	1
A[Ins(T):R4]C	3	1
A[Ins(T):R4]G	3	2
A[Ins(T):R5]A	7	0
A[Ins(T):R5]C	6	1
A[Ins(T):R5]G	7	4
A[Ins(T):R6]A	8	8
A[Ins(T):R6]C	10	3
A[Ins(T):R6]G	17	11
A[Ins(T):R7]A	13	8
A[Ins(T):R7]C	15	13
A[Ins(T):R7]G	12	11
A[Ins(T):R8]A	20	9
A[Ins(T):R8]C	15	4
A[Ins(T):R8]G	29	5
A[Ins(T):R(9,)]A	0	0
A[Ins(T):R(9,)]C	0	0
A[Ins(T):R(9,)]G	0	0
C[Ins(T):R0]A	0	0
C[Ins(T):R0]C	1	1
C[Ins(T):R0]G	0	0
C[Ins(T):R1]A	0	2
C[Ins(T):R1]C	0	0
C[Ins(T):R1]G	1	2
C[Ins(T):R2]A	0	0
C[Ins(T):R2]C	0	0
C[Ins(T):R2]G	0	2
C[Ins(T):R3]A	1	0
C[Ins(T):R3]C	1	0
C[Ins(T):R3]G	1	2
C[Ins(T):R4]A	3	0
C[Ins(T):R4]C	0	2
C[Ins(T):R4]G	1	1
C[Ins(T):R5]A	3	1
C[Ins(T):R5]C	2	3
C[Ins(T):R5]G	3	0
C[Ins(T):R6]A	8	3
C[Ins(T):R6]C	10	7
C[Ins(T):R6]G	8	0
C[Ins(T):R7]A	5	0
C[Ins(T):R7]C	7	3
C[Ins(T):R7]G	8	8
C[Ins(T):R8]A	11	3
C[Ins(T):R8]C	7	7
C[Ins(T):R8]G	14	8
C[Ins(T):R(9,)]A	0	0
C[Ins(T):R(9,)]C	0	0
C[Ins(T):R(9,)]G	0	0
G[Ins(T):R0]A	0	0
G[Ins(T):R0]C	0	1
G[Ins(T):R0]G	1	1
G[Ins(T):R1]A	3	2
G[Ins(T):R1]C	0	0
G[Ins(T):R1]G	2	0
G[Ins(T):R2]A	2	0
G[Ins(T):R2]C	1	0
G[Ins(T):R2]G	0	1
G[Ins(T):R3]A	1	0
G[Ins(T):R3]C	0	1
G[Ins(T):R3]G	1	0
G[Ins(T):R4]A	0	0
G[Ins(T):R4]C	0	0
G[Ins(T):R4]G	2	0
G[Ins(T):R5]A	0	0
G[Ins(T):R5]C	3	2
G[Ins(T):R5]G	0	0
G[Ins(T):R6]A	5	5
G[Ins(T):R6]C	6	5
G[Ins(T):R6]G	11	5
G[Ins(T):R7]A	3	1
G[Ins(T):R7]C	6	8
G[Ins(T):R7]G	10	8
G[Ins(T):R8]A	10	2
G[Ins(T):R8]C	11	8
G[Ins(T):R8]G	17	8
G[Ins(T):R(9,)]A	0	0
G[Ins(T):R(9,)]C	0	0
G[Ins(T):R(9,)]G	0	0
Del2:U1:R1	5	2
Del3:U1:R1	0	1
Del4:U1:R1	2	1
Del5:U1:R1	0	1
Del6:U1:R1	2	0
Del7:U1:R1	2	1
Del8:U1:R1	1	0
Del9:U1:R1	2	0
Del(10,):U1:R1	6	7
Del2:U(2,):R1	6	8
Del3:U(2,):R1	5	3
Del4:U(2,):R1	0	0
Del5:U(2,):R1	3	5
Del6:U(2,):R1	1	2
Del7:U(2,):R1	1	2
Del8:U(2,):R1	2	2
Del9:U(2,):R1	0	2
Del(10,):U(2,):R1	13	7
Del2:U1:R3	4	2
Del2:U1:R4	0	2
Del2:U1:R(5,9)	5	1
Del2:U2:R2	11	13
Del2:U2:R3	2	3
Del2:U2:R4	5	0
Del2:U2:R(5,9)	11	7
Del3:U1:R4	0	1
Del3:U1:R(5,9)	0	1
Del3:U3:R2	5	9
Del3:U3:R3	1	1
Del3:U3:R4	0	0
Del3:U3:R(5,9)	0	2
Del4:U1:R(5,9)	0	0
Del4:U2:R3	0	1
Del4:U2:R4	0	0
Del4:U2:R(5,9)	1	0
Del4:U4:R2	3	13
Del4:U4:R3	3	3
Del4:U4:R4	1	0
Del4:U4:R(5,9)	0	3
Del5:U1:R(5,9)	0	0
Del5:U5:R2	5	5
Del5:U5:R3	0	0
Del5:U5:R4	0	0
Del5:U5:R(5,9)	0	0
Del(6,):U1:R(7,9)	0	0
Del(6,):U2:R(4,9)	0	1
Del(6,):U3:R(3,9)	1	0
Del(6,):U(4,):R(2,9)	6	4
Ins(2,4):M	19	7
Ins(5,):M	16	22
Ins2:U1:R0	0	2
Ins3:U1:R0	1	0
Ins4:U1:R0	0	0
Ins2:U2:R0	1	2
Ins3:U3:R0	1	2
Ins4:U2:R0	0	0
Ins4:U4:R0	2	3
Ins(5,):R0	20	39
Ins2:U1:R1	0	2
Ins2:U1:R2	0	0
Ins2:U1:R3	1	1
Ins2:U1:R4	0	0
Ins2:U1:R(5,9)	1	1
Ins2:U2:R1	3	1
Ins2:U2:R2	1	0
Ins2:U2:R3	0	1
Ins2:U2:R4	3	1
Ins2:U2:R(5,9)	19	7
Ins3:U1:R1	0	0
Ins3:U1:R2	0	0
Ins3:U1:R3	0	0
Ins3:U1:R4	0	0
Ins3:U1:R(5,9)	0	0
Ins3:U3:R1	1	0
Ins3:U3:R2	0	0
Ins3:U3:R3	0	1
Ins3:U3:R4	0	0
Ins3:U3:R(5,9)	2	0
Ins4:U1:R1	0	0
Ins4:U1:R2	0	0
Ins4:U1:R3	0	0
Ins4:U1:R4	0	0
Ins4:U1:R(5,9)	0	0
Ins4:U2:R1	0	0
Ins4:U2:R2	0	0
Ins4:U2:R3	0	0
Ins4:U2:R4	0	0
Ins4:U2:R(5,9)	1	1
Ins4:U4:R1	1	2
Ins4:U4:R2	0	0
Ins4:U4:R3	0	0
Ins4:U4:R4	0	0
Ins4:U4:R(5,9)	2	0
Ins(5,):U1:R1	0	0
Ins(5,):U1:R2	0	0
Ins(5,):U1:R3	1	0
Ins(5,):U1:R4	0	0
Ins(5,):U1:R(5,9)	0	0
Ins(5,):U2:R1	0	0
Ins(5,):U2:R2	0	0
Ins(5,):U2:R3	0	0
Ins(5,):U2:R4	0	0
Ins(5,):U2:R(5,9)	3	1
Ins(5,):U(3,):R1	6	2
Ins(5,):U(3,):R2	0	0
Ins(5,):U(3,):R3	0	0
Ins(5,):U(3,):R4	0	1
Ins(5,):U(3,):R(5,9)	0	0
Del2:M1	12	20
Del3:M1	4	5
Del3:M2	10	6
Del4:M1	1	3
Del4:M2	1	10
Del4:M3	5	11
Del5:M1	3	2
Del5:M2	3	1
Del5:M3	2	1
Del5:M4	3	4
Del6:M1	5	2
Del6:M2	3	2
Del6:M3	1	1
Del6:M4	2	0
Del6:M5	0	1
Del(7,):M1	15	12
Del(7,):M2	13	6
Del(7,):M3	10	5
Del(7,):M4	5	1
Del(7,):M5	5	0
Del(7,):M(6,)	13	3
Complex(0,1)	0	0
Complex(2,5)	0	0
Complex(6,10)	0	0
Complex(11,20)	0	0
Complex(21,)	0	0
