MutationType	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
A[Del(C):R4]G	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	17	9	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	1	0	0	1	0	0	0	0	0
A[Del(C):R4]T	0	2	0	0	1	1	0	2	1	1	1	1	0	1	0	3	0	0	1	0	3	1	0	1	1	3	0	0	30	3	51	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	2	0	0
A[Del(C):R5]A	2	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	4	0	2	0	1	2	0	115	0	141	97	1	2	0	0	0	0	0	0	0	2	1	0	0	1	2	2	0	0	4	2	1	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	3	2	0	0	2	1	0	0
A[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	33	1	51	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
A[Del(C):R5]T	0	1	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	109	0	192	82	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	2	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0
A[Del(C):R6]A	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	2	0	0	0	3	2	1	198	2	326	160	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	3	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	1	0	0	0	1	0	0	1	3	3	0	3	0	0	0	0	0	1	0
A[Del(C):R6]G	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	99	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R6]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	94	2	139	64	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
A[Del(C):R7]A	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	2	0	234	0	458	209	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	72	0	107	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	48	0	58	32	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
A[Del(C):R8]A	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	3	0	0	155	5	312	150	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	2	0	0	0	0	1	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	28	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	31	1	57	20	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0	0	2	2	0	0	1	2	0	1	1	0	3	2	4	2	2	1	4	1	2	1	0	1	0	3	1	3	2	2	5	2	1	1	1	1	2	1	1	0	0	4	0	1	0	4	0	6	0	3	7	2	1	1	3	1	0	1	1	1	2	2	1	1	1	1	2	3	3	0	3	0	0	0	1	3	3	1	0	1	0	3	1	0	1
G[Del(C):R1]G	0	0	0	1	0	0	1	2	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	12	1	17	6	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	2	0	0	0	0
G[Del(C):R1]T	1	2	2	5	0	0	2	2	1	0	2	1	0	2	3	2	1	3	7	1	7	4	1	2	1	8	6	5	7	1	19	6	3	1	2	3	1	2	4	4	0	5	1	2	0	1	2	11	0	3	28	3	4	6	1	0	0	1	1	2	23	2	1	0	1	0	2	7	1	1	2	0	0	6	3	7	6	6	3	4	2	2	2	1	1
G[Del(C):R2]A	0	7	0	2	1	2	1	3	0	1	0	1	5	1	0	4	2	0	3	2	4	8	0	5	3	3	4	0	9	0	11	9	0	2	1	1	2	3	0	2	2	10	2	1	2	2	1	5	2	5	3	1	8	4	2	1	0	2	6	0	4	2	2	2	1	1	0	3	2	1	0	2	0	9	2	3	2	0	1	0	0	1	2	4	0
G[Del(C):R2]G	0	0	0	0	1	1	0	1	1	0	0	0	2	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0
G[Del(C):R2]T	1	1	0	0	0	0	0	3	2	1	2	3	4	3	0	5	1	3	5	0	3	3	0	4	1	2	4	3	6	2	8	9	1	2	1	1	1	2	0	2	0	1	1	3	0	1	0	9	2	2	7	0	6	2	0	1	0	1	2	0	2	3	2	0	1	0	0	1	4	1	1	3	0	1	3	0	1	3	0	0	1	0	2	2	1
G[Del(C):R3]A	0	1	1	2	0	1	1	0	2	0	0	1	4	0	1	2	0	1	2	0	2	4	0	1	1	0	2	1	8	1	12	8	2	0	0	1	1	1	1	1	0	2	1	1	0	1	1	6	3	0	0	1	2	1	0	2	0	1	0	0	5	1	2	1	2	4	2	3	1	0	0	0	0	2	1	4	4	0	0	1	0	0	2	1	1
G[Del(C):R3]G	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	3	0	5	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0
G[Del(C):R3]T	1	0	2	1	0	1	0	2	0	0	2	0	1	1	4	0	1	0	3	0	0	0	0	1	1	0	2	0	18	0	18	11	0	0	0	0	1	1	1	1	1	2	0	0	1	1	0	5	3	1	4	0	0	2	2	0	1	0	2	1	0	0	2	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
G[Del(C):R4]A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	2	1	2	0	26	2	37	25	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	2	3	1	2	3	2	0	0	0	0	0	2	2	0	1	0	2	0	0	1	0	0	0	0	2	0	1	2	2	0	0	1	0	0	1	2
G[Del(C):R4]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	13	0	26	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0
G[Del(C):R4]T	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	2	2	0	0	2	0	0	1	0	0	0	20	1	40	38	0	0	0	0	0	3	1	2	0	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	1	0	0	0
G[Del(C):R5]A	0	1	0	1	0	0	2	0	1	0	0	0	1	2	0	0	0	1	1	0	1	3	0	0	0	1	0	0	66	1	100	68	1	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	0	3
G[Del(C):R5]G	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	23	0	34	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R5]T	1	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	0	3	0	2	1	1	1	0	72	1	98	53	1	1	0	0	2	1	2	0	1	0	0	1	1	0	1	3	0	0	3	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0
G[Del(C):R6]A	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	2	1	1	137	0	167	89	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0
G[Del(C):R6]G	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	72	0	121	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G[Del(C):R6]T	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	75	0	120	53	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0
G[Del(C):R7]A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	101	0	168	83	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	69	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	0	76	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]A	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	59	1	134	56	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	4	2	2	1	0	0	0	0	0	0
G[Del(C):R8]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	29	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	24	0	37	17	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	0	1	1	1	1	1	1	5	1	0	2	3	15	7	2	0	7	0	13	1	9	10	3	5	3	4	8	1	18	5	19	16	3	0	1	2	7	4	2	2	0	2	1	2	0	2	2	9	3	2	11	1	11	7	2	2	0	5	2	0	9	1	1	1	2	3	3	12	7	3	3	3	0	4	2	7	8	5	0	2	4	3	3	1	2
T[Del(C):R1]G	0	0	1	1	0	2	0	0	0	0	0	1	3	0	2	1	1	1	1	0	3	1	1	1	0	1	0	0	3	3	9	3	0	0	2	1	1	0	1	1	0	2	1	0	0	0	1	1	1	0	0	1	2	1	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0
T[Del(C):R1]T	2	2	1	5	0	11	2	4	2	1	4	3	5	5	8	2	5	3	22	0	29	5	0	6	6	9	4	6	74	12	109	48	5	5	3	1	5	12	13	7	6	11	0	3	4	3	3	26	5	6	28	5	8	11	8	1	2	3	6	3	17	9	1	5	5	3	3	16	10	5	3	2	2	7	4	19	8	10	4	14	1	1	5	2	1
T[Del(C):R2]A	1	3	1	1	2	3	4	1	2	1	0	2	9	0	3	0	4	1	2	2	4	13	0	2	1	2	1	1	14	2	28	13	4	4	0	2	3	2	2	0	1	8	0	1	3	3	1	5	2	2	11	1	4	3	3	1	3	2	1	2	2	3	1	1	3	4	3	1	4	3	1	1	1	7	1	5	5	2	1	0	1	0	3	1	0
T[Del(C):R2]G	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	10	1	6	3	1	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	2	0	0	0	1	1	0	0
T[Del(C):R2]T	2	6	4	2	1	5	7	2	3	2	3	1	4	2	4	3	4	2	9	1	12	5	0	1	5	3	5	3	21	8	28	10	3	0	1	4	4	3	4	2	2	7	3	2	2	2	2	14	4	2	11	1	11	3	5	3	4	1	3	1	13	3	3	4	2	2	2	11	4	1	4	4	0	5	1	8	9	9	2	7	1	3	4	2	1
T[Del(C):R3]A	1	1	1	2	1	1	2	1	0	0	4	0	3	3	1	2	2	1	4	2	3	10	0	1	1	0	4	4	9	4	23	13	3	1	2	1	2	2	1	0	0	5	0	0	0	0	1	6	4	3	8	0	6	1	0	2	1	3	0	2	3	3	0	0	1	0	2	6	0	1	1	1	4	1	1	1	1	1	0	0	0	2	3	1	2
T[Del(C):R3]G	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	10	3	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0
T[Del(C):R3]T	0	1	1	0	0	0	1	1	1	0	0	1	5	1	2	4	1	1	5	0	1	7	0	1	0	2	1	1	9	0	44	20	3	1	1	1	1	1	1	1	1	1	3	0	1	2	0	4	2	0	3	0	4	1	2	2	1	1	1	1	2	0	2	1	1	1	2	1	2	2	1	1	0	1	0	1	2	1	0	0	0	0	2	1	1
T[Del(C):R4]A	0	3	1	1	0	0	2	4	0	0	1	0	2	1	1	1	0	0	1	0	2	4	0	1	2	2	1	0	69	4	90	36	0	0	1	1	0	1	2	1	1	2	2	1	1	2	0	3	0	1	5	1	3	1	1	0	0	1	2	0	2	0	0	1	1	1	1	1	0	0	1	0	0	5	0	1	2	0	0	0	0	1	0	0	1
T[Del(C):R4]G	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	24	0	33	11	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R4]T	1	2	0	0	1	1	1	0	0	0	2	1	3	0	0	1	0	3	0	0	4	5	0	1	2	0	0	0	32	1	58	25	1	0	0	1	0	2	0	0	0	0	0	1	0	1	1	2	1	1	2	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0
T[Del(C):R5]A	0	2	0	0	1	0	0	0	1	1	1	0	2	0	0	2	1	1	1	1	1	2	0	1	1	0	2	0	119	1	197	113	2	0	1	0	1	2	0	0	0	1	0	0	0	1	0	2	0	0	3	0	2	2	2	0	1	0	0	1	4	0	0	0	0	1	0	2	1	0	0	0	0	2	0	2	1	0	0	1	0	0	1	0	0
T[Del(C):R5]G	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	44	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
