MutationType	CPCT02150038T	CPCT02040203T	CPCT02300038T	WIDE01010265T	CPCT02310012T	CPCT02080232T	CPCT02180068T	CPCT02290041T	CPCT02040278T	CPCT02310017T	CPCT02150022T	CPCT02150026T	CPCT02150030T	CPCT02180037T	CPCT02150033T	CPCT02230051T	CPCT02340030T	CPCT02340031T	CPCT02230066T	CPCT02180043T	CPCT02120032T	CPCT02300023T	CPCT02180001T	CPCT02330016T	CPCT02180015T	WIDE01010545T
A[Del(C):R8]T	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0	0	3	1	1	2	1	3	5	2	0	2	2	1	0	1	3	0	1	3	1	1	2	1	2	4
G[Del(C):R1]G	0	0	1	0	2	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	4	0	0	1	0	2
G[Del(C):R1]T	1	0	4	4	4	3	13	4	5	8	3	5	1	6	1	0	7	5	4	8	4	3	8	6	1	5
G[Del(C):R2]A	0	1	1	2	0	2	8	1	1	3	0	4	2	3	0	2	2	3	1	1	3	0	1	2	1	1
G[Del(C):R2]G	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0
G[Del(C):R2]T	6	0	2	0	3	2	8	5	3	1	1	3	0	2	1	0	5	1	2	0	2	1	2	3	0	2
G[Del(C):R3]A	3	0	1	2	1	1	1	1	0	2	0	0	0	0	0	0	5	1	0	1	0	0	2	1	1	2
G[Del(C):R3]G	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0
G[Del(C):R3]T	2	0	0	0	2	0	2	0	2	1	0	4	2	2	0	0	0	0	0	3	2	0	1	0	0	1
G[Del(C):R4]A	1	0	1	0	3	3	4	0	0	3	0	0	0	2	0	1	0	1	1	0	52	0	1	0	0	2
G[Del(C):R4]G	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	16	0	0	0	0	0
G[Del(C):R4]T	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	2	0	0	9	0	0	3	0	0
G[Del(C):R5]A	0	0	2	2	5	1	3	0	1	1	0	1	1	0	0	1	2	1	0	1	41	0	1	0	1	3
G[Del(C):R5]G	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	13	0	0	1	0	1
G[Del(C):R5]T	0	0	1	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	1	1	27	1	1	0	0	2
G[Del(C):R6]A	0	0	0	1	1	1	2	0	1	2	0	2	1	0	0	0	0	1	0	1	59	0	2	0	0	1
G[Del(C):R6]G	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	12	0	0	0	0	1
G[Del(C):R6]T	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	26	0	0	1	0	1
G[Del(C):R7]A	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	1	0	1	29	0	0	2	0	1
G[Del(C):R7]G	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0
G[Del(C):R7]T	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	15	0	1	1	0	0
G[Del(C):R8]A	0	0	0	1	4	1	2	0	0	3	0	2	2	0	0	0	0	0	1	2	20	0	1	0	0	2
G[Del(C):R8]G	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	13	0	1	0	0	2
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	3	1	5	6	2	5	4	4	2	3	0	0	1	1	2	0	9	1	1	1	1	2	2	7	1	0
T[Del(C):R1]G	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0
T[Del(C):R1]T	7	0	6	10	15	7	36	8	7	18	1	8	8	8	2	7	16	13	5	9	19	4	17	5	8	16
T[Del(C):R2]A	3	1	1	1	3	2	5	1	3	2	0	6	1	2	1	0	6	1	1	1	2	3	2	2	2	4
T[Del(C):R2]G	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
T[Del(C):R2]T	3	0	4	3	10	7	19	5	4	7	0	7	3	1	1	0	12	3	0	3	6	2	6	3	4	3
T[Del(C):R3]A	0	0	1	1	1	2	5	2	1	4	1	1	0	2	2	0	6	1	0	1	5	3	1	0	0	5
T[Del(C):R3]G	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
T[Del(C):R3]T	3	0	0	1	1	2	2	0	1	3	0	1	1	3	0	0	1	3	0	2	2	0	0	3	1	1
T[Del(C):R4]A	1	0	2	0	0	2	5	3	0	0	0	0	1	0	0	0	0	1	2	0	25	0	1	1	0	1
T[Del(C):R4]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
T[Del(C):R4]T	1	0	1	0	1	5	6	2	1	0	1	2	2	2	0	0	2	0	0	1	5	1	0	0	0	2
T[Del(C):R5]A	0	0	1	1	2	2	6	0	1	3	0	1	0	0	0	0	2	1	1	0	11	1	2	1	0	0
T[Del(C):R5]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
T[Del(C):R5]T	0	0	0	1	1	0	2	2	1	2	0	1	2	0	1	0	2	0	1	1	12	2	0	0	0	2
T[Del(C):R6]A	0	0	5	0	2	1	2	1	0	4	0	2	2	1	1	0	2	1	0	1	21	1	2	0	0	0
T[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
T[Del(C):R6]T	0	0	0	0	1	0	3	0	1	3	0	0	1	2	0	0	1	0	2	3	10	0	5	0	0	1
T[Del(C):R7]A	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	1	1	0	0	16	0	2	0	0	0
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
T[Del(C):R7]T	0	0	0	0	2	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	8	0	0	1	0	0
T[Del(C):R8]A	0	0	0	0	1	1	3	1	0	1	1	2	2	1	0	0	0	0	0	1	6	0	0	0	0	1
T[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
T[Del(C):R8]T	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	1
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	5	1	8	7	7	11	17	11	5	15	4	9	3	3	3	1	11	2	3	2	8	11	11	6	3	5
A[Del(T):R1]C	4	1	1	1	2	4	1	4	3	3	0	3	1	1	1	2	0	3	0	1	0	3	4	4	1	1
A[Del(T):R1]G	1	0	2	2	5	2	2	2	3	3	1	3	4	2	1	0	7	3	1	2	3	2	5	0	1	3
A[Del(T):R2]A	1	0	2	1	5	4	6	3	4	8	1	3	3	0	1	2	100	6	1	1	10	2	6	3	1	2
A[Del(T):R2]C	0	0	1	2	1	2	0	2	1	7	0	2	0	1	0	1	2	3	0	1	4	0	1	1	0	0
A[Del(T):R2]G	0	0	0	2	0	4	3	4	0	5	2	2	2	1	2	2	2	1	0	0	1	0	1	1	0	2
A[Del(T):R3]A	3	0	2	2	1	11	15	5	2	6	1	5	3	1	1	0	11	2	0	4	6	5	8	2	3	5
A[Del(T):R3]C	1	0	0	1	5	1	5	4	1	4	0	0	1	0	0	0	3	5	3	1	6	1	2	2	1	2
A[Del(T):R3]G	1	0	2	2	4	2	6	3	0	3	0	4	5	1	0	0	4	0	1	4	8	2	2	0	1	3
A[Del(T):R4]A	1	0	6	5	3	10	19	1	3	10	1	5	3	5	2	1	9	7	1	4	21	0	4	2	3	6
A[Del(T):R4]C	1	0	1	2	6	4	4	3	1	11	1	5	3	1	1	0	1	5	1	3	18	0	3	5	1	3
A[Del(T):R4]G	0	0	1	3	3	2	4	4	2	2	3	3	4	3	0	0	4	1	0	2	12	1	6	2	2	1
A[Del(T):R5]A	3	0	5	7	13	14	46	12	6	24	1	7	11	6	2	1	6	2	2	6	58	3	28	9	7	11
A[Del(T):R5]C	5	0	2	1	18	13	42	11	4	14	1	10	5	2	0	1	2	1	1	3	58	4	9	7	2	6
A[Del(T):R5]G	0	1	5	3	6	3	15	11	2	4	0	7	3	0	0	0	0	0	1	1	29	4	8	5	0	3
A[Del(T):R6]A	8	0	9	7	19	32	93	21	14	49	0	25	18	8	1	0	6	10	3	11	85	6	27	27	5	20
A[Del(T):R6]C	0	0	6	4	14	20	29	13	9	19	0	9	10	7	2	1	2	4	3	5	73	4	20	10	3	10
A[Del(T):R6]G	4	0	3	8	8	11	42	11	5	12	1	3	11	5	3	3	2	5	2	3	35	6	6	10	6	7
A[Del(T):R7]A	3	0	22	14	25	32	127	33	8	49	2	25	25	9	3	6	4	16	6	8	121	7	40	23	8	33
A[Del(T):R7]C	8	0	11	11	32	33	89	15	16	44	0	24	26	20	1	0	6	16	3	11	232	6	27	16	9	32
A[Del(T):R7]G	3	0	15	6	13	18	63	22	4	25	0	17	13	9	1	1	1	12	3	6	82	3	26	17	8	21
A[Del(T):R8]A	20	0	36	25	39	53	165	27	18	110	6	43	35	12	11	6	2	18	6	12	209	8	54	37	17	46
A[Del(T):R8]C	21	0	16	18	56	59	101	40	22	80	4	42	38	15	9	6	3	26	12	17	463	11	41	28	4	40
A[Del(T):R8]G	6	0	14	12	17	36	54	24	6	44	2	23	15	5	2	1	0	7	3	8	106	4	28	24	11	18
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	2	0	7	8	4	4	7	6	6	6	3	3	10	3	1	0	7	2	2	1	7	6	1	5	3	2
C[Del(T):R1]C	1	1	1	2	11	5	1	6	1	6	1	5	2	1	2	3	2	4	4	2	11	2	2	5	1	3
C[Del(T):R1]G	2	0	4	5	6	7	3	3	2	8	0	5	4	4	2	0	0	0	4	4	10	7	0	1	2	5
C[Del(T):R2]A	1	0	2	0	0	1	2	3	2	2	0	1	1	2	2	0	13	1	0	1	2	1	4	1	3	0
C[Del(T):R2]C	3	0	1	0	3	3	2	6	1	2	1	2	1	1	1	0	1	0	2	1	4	1	8	1	0	1
C[Del(T):R2]G	1	0	5	1	2	4	3	3	2	3	0	0	3	0	0	0	0	1	2	4	1	2	3	1	1	2
C[Del(T):R3]A	2	0	1	2	2	5	8	1	1	3	0	5	3	0	0	1	7	0	1	2	3	0	0	2	0	3
C[Del(T):R3]C	1	0	2	2	4	1	8	2	5	4	0	1	1	0	3	0	0	2	0	2	5	3	2	2	1	2
C[Del(T):R3]G	1	0	3	0	2	2	4	2	3	2	0	3	1	0	1	2	3	2	1	3	4	0	3	1	2	3
C[Del(T):R4]A	1	0	2	2	5	7	9	3	3	3	0	8	2	4	1	0	9	3	1	0	10	4	5	1	1	2
C[Del(T):R4]C	1	1	2	2	5	6	10	2	2	8	0	5	3	2	4	1	1	0	1	2	20	1	3	3	1	3
C[Del(T):R4]G	0	0	4	1	5	2	7	4	7	7	0	0	1	2	1	0	3	1	0	1	6	3	0	2	4	2
C[Del(T):R5]A	2	0	2	0	5	3	8	3	2	5	0	2	2	1	0	3	3	0	3	6	34	2	3	5	1	3
C[Del(T):R5]C	0	0	1	1	5	7	15	2	1	7	0	4	5	0	1	1	2	1	0	4	54	0	5	5	1	3
C[Del(T):R5]G	0	0	0	0	2	3	7	7	2	6	0	2	7	1	1	0	2	1	0	2	12	1	3	3	1	2
C[Del(T):R6]A	1	0	7	5	7	7	22	5	2	12	0	9	6	3	2	1	2	6	1	2	45	1	7	10	0	4
C[Del(T):R6]C	1	0	6	1	12	12	20	6	3	13	0	7	12	1	2	1	0	6	3	6	86	0	9	3	0	9
C[Del(T):R6]G	2	0	1	2	1	2	9	0	3	8	2	0	2	2	0	1	1	3	2	0	13	5	5	3	0	4
C[Del(T):R7]A	2	0	10	7	6	20	43	11	8	29	0	9	12	5	0	1	3	3	2	4	84	5	22	12	5	14
C[Del(T):R7]C	12	0	12	14	47	39	50	9	10	37	1	21	27	11	2	3	2	10	3	8	377	2	18	9	4	23
C[Del(T):R7]G	4	0	9	7	13	16	42	13	6	24	2	11	13	5	0	0	1	4	0	4	81	6	21	9	5	16
C[Del(T):R8]A	5	0	12	7	17	27	63	32	4	35	1	31	14	7	4	0	3	16	3	5	163	11	19	23	6	33
C[Del(T):R8]C	11	0	22	7	59	36	72	28	14	54	0	26	46	12	4	3	0	15	6	21	501	5	35	33	10	23
C[Del(T):R8]G	6	0	7	5	10	18	54	13	5	35	1	12	16	5	2	0	1	5	2	12	116	5	14	16	6	17
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	1	0	0	1	0	2	2	1	1	6	0	1	2	3	2	0	5	1	1	0	1	0	1	0	0	0
G[Del(T):R1]C	0	1	0	0	6	3	2	2	0	3	0	5	3	2	0	0	2	2	1	2	7	2	7	1	0	1
G[Del(T):R1]G	3	0	4	2	4	1	4	2	3	4	2	0	4	2	0	0	0	1	0	2	8	1	1	1	2	2
G[Del(T):R2]A	4	0	1	3	13	7	5	1	2	5	0	6	3	2	2	0	66	0	1	1	15	2	12	2	1	2
G[Del(T):R2]C	1	0	0	1	4	3	0	1	3	1	1	1	0	2	0	1	1	0	0	1	4	1	1	0	0	0
G[Del(T):R2]G	3	0	0	2	7	4	4	2	1	3	0	3	0	1	1	0	2	0	1	0	8	3	4	0	1	2
G[Del(T):R3]A	0	0	2	3	6	3	3	6	2	4	0	3	1	0	0	0	2	4	0	1	13	4	5	1	0	2
G[Del(T):R3]C	0	0	0	0	1	3	5	2	2	3	1	1	1	1	1	1	0	2	0	1	28	0	2	1	0	1
G[Del(T):R3]G	1	0	3	3	5	2	3	2	1	2	1	1	0	1	2	1	2	0	0	1	12	2	1	2	1	3
G[Del(T):R4]A	1	1	4	1	4	2	12	2	0	2	1	4	2	2	0	1	0	6	0	1	49	1	8	1	0	4
G[Del(T):R4]C	0	0	2	0	3	6	2	5	2	3	1	3	4	0	0	1	3	2	1	1	39	0	4	4	0	3
G[Del(T):R4]G	2	0	1	4	4	3	15	3	1	1	2	4	2	2	0	0	4	4	1	1	37	6	6	2	1	3
G[Del(T):R5]A	4	0	0	4	10	16	22	3	5	5	0	2	5	3	0	0	4	1	2	4	74	2	5	5	1	5
G[Del(T):R5]C	0	0	3	0	11	8	16	3	3	8	0	2	4	4	0	0	0	3	2	1	83	3	5	3	1	0
G[Del(T):R5]G	2	0	3	1	6	5	13	3	0	5	2	0	0	3	0	0	1	3	0	1	41	4	10	1	1	3
G[Del(T):R6]A	2	0	3	1	5	3	15	6	3	10	0	3	7	1	2	3	0	3	0	0	82	2	5	5	0	7
G[Del(T):R6]C	1	0	2	0	10	5	13	7	3	7	0	5	8	3	1	0	0	4	0	2	52	1	4	3	0	5
G[Del(T):R6]G	1	0	2	1	8	6	14	2	3	8	0	1	8	3	2	0	3	2	2	3	57	1	5	5	3	4
G[Del(T):R7]A	5	0	1	0	7	6	18	12	6	21	0	6	9	4	1	0	0	1	2	8	133	1	12	8	1	12
G[Del(T):R7]C	8	0	4	4	18	10	35	6	5	29	0	6	9	1	2	1	0	2	0	5	181	0	6	5	2	13
G[Del(T):R7]G	2	0	2	2	8	9	16	6	4	12	0	7	6	2	1	1	0	5	1	3	82	2	6	6	3	8
G[Del(T):R8]A	8	0	9	4	5	9	45	10	5	12	1	7	14	3	2	0	0	5	0	4	199	5	11	8	2	14
G[Del(T):R8]C	3	0	8	7	31	22	28	14	15	27	3	14	17	1	0	1	1	6	1	5	207	6	9	9	2	13
G[Del(T):R8]G	1	0	4	2	9	6	23	10	5	21	0	7	8	2	0	0	2	6	4	4	109	3	8	5	4	18
G[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	0	0	2	2	30	6	8	8	4	16	2	7	3	7	0	2	1	4	1	5	21	2	10	4	4	5
A[Ins(C):R0]G	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
A[Ins(C):R0]T	1	1	1	0	6	1	3	2	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0
A[Ins(C):R1]A	0	0	2	0	2	0	1	1	0	2	0	1	0	1	0	0	1	2	0	1	1	0	2	0	0	2
A[Ins(C):R1]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R1]T	2	0	0	0	1	1	1	0	0	3	0	0	1	2	0	0	0	1	0	0	4	0	1	1	0	0
A[Ins(C):R2]A	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0
A[Ins(C):R2]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R2]T	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
A[Ins(C):R3]A	0	1	0	1	2	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	2	1	0	0	0	1
A[Ins(C):R3]G	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Ins(C):R3]T	0	0	0	1	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	1
A[Ins(C):R4]A	1	0	0	1	2	1	4	1	1	0	0	0	1	3	0	0	1	0	0	1	10	0	0	1	0	2
A[Ins(C):R4]G	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0
A[Ins(C):R4]T	0	0	0	0	0	0	2	1	2	1	0	0	0	1	1	0	0	0	0	0	4	0	1	0	0	0
A[Ins(C):R5]A	1	0	0	0	1	0	6	0	0	1	0	0	1	1	0	0	1	1	1	0	5	0	1	0	1	3
A[Ins(C):R5]G	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A[Ins(C):R5]T	0	0	0	2	0	2	2	1	1	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	2
A[Ins(C):R6]A	1	0	1	1	2	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	10	0	0	2	0	1
A[Ins(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
A[Ins(C):R6]T	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	0
A[Ins(C):R7]A	0	0	2	1	2	7	11	4	2	3	2	1	4	1	0	0	2	2	3	5	17	1	2	1	0	5
A[Ins(C):R7]G	0	0	0	0	2	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	5	0	2	0	0	1
A[Ins(C):R7]T	0	0	0	1	0	1	1	0	1	3	0	1	0	2	0	0	1	0	0	0	6	0	0	0	0	0
A[Ins(C):R8]A	2	0	3	1	2	4	5	0	1	2	0	2	4	1	0	0	1	0	0	0	12	0	3	3	1	8
A[Ins(C):R8]G	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0
A[Ins(C):R8]T	0	0	0	0	1	1	2	0	2	2	0	2	0	0	0	0	0	0	0	0	3	0	2	1	0	0
A[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]A	1	0	0	0	4	1	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1
G[Ins(C):R0]G	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]T	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	1
G[Ins(C):R1]A	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	2
G[Ins(C):R1]G	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R1]T	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	1	1	0	0	1	0	2
G[Ins(C):R2]A	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
G[Ins(C):R2]G	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
G[Ins(C):R2]T	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
G[Ins(C):R3]A	0	1	1	0	0	2	0	0	0	2	0	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0
G[Ins(C):R3]G	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0
G[Ins(C):R3]T	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]A	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	1	0	0	0	3	0	0	1	0	2
G[Ins(C):R4]G	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]T	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
G[Ins(C):R5]A	0	0	0	0	0	0	1	0	0	1	0	3	0	0	2	0	0	1	0	0	2	0	1	0	0	0
G[Ins(C):R5]G	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
