MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027
A[Del(C):R4]G	1	1	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	6	0	2	1	1	1	2	0	0	0	0	0	1	0	1	0	0	1	0	2	1	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	2	1	0	0	0	0	3	0	0	2	0	0	2	0	0	0
A[Del(C):R4]T	0	0	1	1	0	0	1	0	1	1	0	0	0	3	0	5	0	1	0	2	0	0	0	0	0	0	2	0	0	0	4	3	1	1	0	0	3	0	1	0	0	0	1	0	0	1	3	2	9	1	0	2	0	1	1	0	0	0	0	0	4	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	1	0	0	1	2	2	0	1	0	0	0	0	3	0	0	0	1	1	1	5	0	1	0	0	0	2	0	0	1
A[Del(C):R5]A	0	2	0	0	1	1	0	0	0	1	0	0	1	3	1	3	0	0	0	2	0	0	0	0	0	0	3	0	1	0	2	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	2	1	48	0	1	2	0	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	3	0	2	0	0	0	2	1	1	1	0	1	0	1	0	0	4	0	0	1	1	0	1	0	1	1
A[Del(C):R5]G	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
A[Del(C):R5]T	0	1	0	3	0	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	3	2	2	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	36	0	1	1	1	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0
A[Del(C):R6]A	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	80	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
A[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Del(C):R6]T	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	1	3	0	1	1	2	2	1	1	1	2	0	2	2	1	9	1	1	1	1	1	1	1	5	2	0	1	1	1	0	13	2	8	1	3	0	2	1	2	0	1	1	2	1	0	6	5	1	1	0	1	4	0	4	0	0	0	1	1	0	10	0	2	0	1	2	2	2	3	0	4	3	4	1	5	0	2	0	8	0	1	4	1	0	2	4	1	0	3	3	0	4	1	0	2	0	0	9	1	0	3	1	2	3	3	1	0
G[Del(C):R1]G	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	1	1	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	1	0	2	1	0	0	0	2	0	0	4	1	0	0	2	0	1	0	0	1
G[Del(C):R1]T	3	5	1	3	0	7	5	3	0	5	3	1	5	10	3	12	9	2	9	2	2	2	2	3	7	1	4	1	1	0	15	8	22	8	1	0	9	0	1	2	5	5	1	1	1	5	17	13	6	0	4	10	2	4	5	4	6	1	1	0	16	5	6	0	3	0	6	2	2	3	9	3	1	4	1	0	5	3	10	4	1	6	2	4	2	11	2	12	3	4	4	4	1	2	10	1	0	9	6	0	1	2	4	10	6	4	0
G[Del(C):R2]A	2	4	0	2	0	3	0	1	1	3	4	0	2	3	1	1	2	0	1	3	0	1	0	3	2	0	1	2	1	0	5	2	8	3	2	3	2	0	1	1	3	0	0	1	2	4	7	1	3	0	1	3	3	2	4	1	2	1	0	2	10	1	6	0	2	0	1	2	2	1	0	2	2	1	2	1	1	0	1	2	0	2	1	1	1	6	2	6	3	2	1	0	0	2	3	2	1	3	2	2	2	1	0	0	2	0	0
G[Del(C):R2]G	0	0	0	2	0	0	1	1	0	1	1	0	1	3	1	0	1	0	1	1	0	1	0	1	0	2	0	0	1	0	0	3	2	0	0	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
G[Del(C):R2]T	1	5	3	0	0	1	0	0	0	3	3	1	0	1	3	5	5	2	3	2	0	0	2	1	2	1	2	1	0	1	9	9	10	2	1	2	2	0	1	1	2	4	0	2	0	5	8	4	7	0	1	3	3	3	2	4	3	1	4	1	9	1	2	0	2	1	4	1	1	4	3	2	0	1	1	1	0	2	9	0	1	2	2	2	1	5	0	1	1	3	4	1	0	2	1	0	1	12	2	1	2	0	0	5	1	0	0
G[Del(C):R3]A	1	2	0	0	0	2	1	1	0	0	2	0	2	3	0	8	0	0	0	0	0	1	2	3	1	0	2	2	1	0	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3	3	3	4	0	1	1	2	2	2	2	0	0	1	0	2	0	1	0	2	0	0	1	1	0	5	0	1	0	1	0	1	0	1	1	0	4	0	0	2	3	0	2	2	0	0	1	1	2	0	0	0	2	0	1	1	1	0	4	0	2	0
G[Del(C):R3]G	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	3	0	1	0	0	1	1	1	0	0	1	1	2	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	0	1	1
G[Del(C):R3]T	2	1	1	1	0	0	1	0	1	0	0	1	0	2	0	2	3	0	1	2	1	1	0	0	1	0	1	0	1	1	5	1	0	0	3	1	1	0	0	0	1	0	0	0	1	1	5	0	2	0	2	1	2	1	0	2	2	1	2	1	6	1	1	0	2	0	2	0	1	1	4	2	2	1	0	0	1	1	1	1	1	2	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	2	2	0	1
G[Del(C):R4]A	0	0	0	1	0	0	0	1	0	0	1	0	3	2	1	2	0	0	1	2	0	0	0	0	0	1	0	0	0	0	2	2	3	1	0	0	0	0	0	0	0	1	0	1	1	0	5	0	17	0	2	0	0	0	1	2	2	0	0	0	3	0	1	0	1	0	0	1	3	0	1	0	3	2	3	0	0	1	1	0	0	1	0	1	1	2	1	0	1	2	1	1	1	0	1	1	0	2	0	3	0	0	0	0	0	0	1
G[Del(C):R4]G	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0
G[Del(C):R4]T	0	3	1	0	0	0	0	0	1	0	1	0	2	2	1	3	0	0	1	2	0	0	1	1	1	0	0	0	0	0	4	4	0	1	0	0	1	0	1	1	1	1	0	0	0	0	4	0	14	0	1	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	1	1	1	1	1	0	3	1	0	0	1	1	1	0	0	3	0	0	1	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0
G[Del(C):R5]A	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	39	0	0	0	0	0	1	1	0	0	1	2	1	0	1	0	0	2	1	0	0	0	1	2	2	1	1	0	0	1	1	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	1	0	0	0
G[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	12	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	3	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
G[Del(C):R5]T	0	1	1	0	0	0	0	1	0	1	2	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	30	0	0	1	0	1	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	1	0	6	0	0	0	0	0	2	0	1	2	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
G[Del(C):R6]A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	31	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
G[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R6]T	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	33	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
G[Del(C):R7]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	44	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]G	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	3	5	7	5	1	3	9	2	1	8	9	2	7	12	9	13	8	2	7	3	1	0	1	2	7	0	6	2	0	0	36	28	20	6	2	1	6	1	6	3	4	1	0	2	4	10	16	4	13	1	8	6	3	12	6	3	3	0	10	2	33	2	5	2	2	0	7	2	7	5	19	4	4	4	5	0	1	5	10	3	1	12	2	5	5	3	1	5	9	3	7	9	1	5	1	4	1	19	5	3	4	2	2	16	4	3	0
T[Del(C):R1]G	0	2	1	1	1	0	1	2	0	4	0	0	1	3	1	6	3	0	2	1	0	1	0	0	5	0	1	0	1	0	7	7	2	3	2	1	0	0	2	3	1	0	0	1	2	1	2	1	0	0	0	0	0	2	0	1	1	1	1	0	2	0	0	0	0	0	2	1	0	1	1	0	1	0	1	0	2	1	4	0	1	1	0	0	0	1	0	2	0	0	1	1	1	0	0	0	0	6	1	1	0	0	0	2	1	2	0
T[Del(C):R1]T	9	13	9	14	1	5	6	4	4	17	8	3	8	34	9	31	7	10	23	9	8	2	8	6	30	3	8	2	8	2	52	59	39	16	3	5	22	2	5	4	8	5	2	4	8	11	42	26	108	1	16	11	10	10	8	12	10	9	5	4	94	5	13	5	12	3	15	9	8	13	41	15	25	8	17	0	5	3	25	8	4	21	4	7	8	17	2	13	8	17	31	11	3	6	16	4	5	35	10	4	12	12	1	23	15	7	2
