MutationType	CPCT02020315T	CPCT02020321T	CPCT02020330T	CPCT02010372T	CPCT02020326T	CPCT02020403T	CPCT02040063T	CPCT02060054T	CPCT02060053T	CPCT02020886T	CPCT02130167T	CPCT02080186T	CPCT02130172T	CPCT02020413TII	CPCT02130180T	CPCT02130057T	CPCT02130186T	CPCT02130184T	CPCT02020690T	CPCT02080215T	CPCT02050360T	CPCT02130096T	CPCT02020759T	CPCT02130127T	CPCT02060242T	CPCT02050386T	CPCT02290055T	CPCT02130048T	CPCT02130155T	CPCT02130156T	CPCT02130157T	CPCT02130158T	CPCT02020852T	CPCT02020839T	CPCT02130159T	CPCT02020861T	CPCT02060276T	CPCT02350014T	CPCT02030315T	CPCT02090015T	CPCT02020533T	CPCT02020546T	CPCT02050224T	CPCT02180031T	CPCT02080057T	CPCT02020421T	CPCT02080054T	CPCT02020413T	CPCT02020448T	CPCT02190014T	CPCT02080101T	CPCT02030336T	CPCT02050295T
A[Del(C):R4]G	1	0	0	0	0	1	1	0	0	0	0	3	0	1	1	0	0	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	3	0	1	0	1	1	1	1	0	0	2	0	0
A[Del(C):R4]T	2	0	2	0	1	1	4	5	0	0	1	1	0	5	2	4	0	2	1	0	0	1	2	0	0	2	1	0	0	0	2	0	1	0	2	2	0	0	1	2	1	0	4	5	0	0	1	3	0	0	1	0	1
A[Del(C):R5]A	1	0	2	0	3	3	3	5	0	4	2	0	1	1	1	0	2	3	3	0	2	4	4	0	2	2	2	1	1	0	1	1	2	0	2	2	1	0	0	3	3	0	4	2	1	2	0	0	0	3	0	4	1
A[Del(C):R5]G	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
A[Del(C):R5]T	0	0	1	2	0	0	2	3	1	1	0	0	0	0	1	0	0	1	3	0	0	1	3	0	1	1	0	1	0	0	0	0	0	1	0	2	0	0	0	4	2	0	2	8	0	0	3	0	1	1	0	1	0
A[Del(C):R6]A	0	0	0	0	1	1	2	1	0	1	1	0	0	0	0	0	0	1	2	0	0	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0
A[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A[Del(C):R6]T	0	0	1	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]A	1	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]A	0	0	2	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	3	0	5	0	3	1	4	5	1	2	3	1	1	11	5	1	4	2	7	1	4	2	2	1	6	0	3	2	3	2	1	2	0	0	3	4	1	6	5	3	0	2	8	9	1	5	2	16	0	4	2	6	4
G[Del(C):R1]G	0	0	1	0	0	0	9	1	0	0	1	1	2	1	0	0	0	1	0	0	0	4	1	0	1	1	0	0	0	0	0	2	1	0	0	1	0	1	1	3	0	1	1	1	1	1	0	3	0	2	0	1	1
G[Del(C):R1]T	4	0	7	2	3	2	5	4	1	6	1	6	0	6	2	3	3	6	5	4	3	4	8	1	2	4	1	3	1	1	1	4	2	1	2	5	4	2	6	8	3	2	5	4	0	2	4	16	2	1	4	5	3
G[Del(C):R2]A	8	0	3	1	11	6	13	13	0	8	4	9	5	10	8	15	7	13	8	8	5	9	8	5	8	2	0	4	5	6	3	5	6	2	6	9	11	4	4	8	1	0	10	12	1	5	3	8	0	10	4	10	3
G[Del(C):R2]G	3	0	2	0	0	0	3	6	1	0	1	1	1	3	0	0	1	2	3	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0	1	2	0	1	0	2	0	1	2	2	0	1	2	4	0	0	1	3	1
G[Del(C):R2]T	3	0	3	1	3	3	5	9	1	4	3	7	1	7	4	8	6	7	7	0	1	8	5	1	8	6	2	3	2	4	2	3	4	1	3	3	5	4	4	4	0	1	10	2	4	2	5	13	2	3	2	2	6
G[Del(C):R3]A	4	1	6	2	4	11	10	13	1	4	3	5	0	3	2	3	3	8	3	3	2	3	5	3	5	5	2	3	1	5	0	0	3	0	2	4	2	0	1	5	1	1	7	12	1	5	2	4	1	3	0	5	2
G[Del(C):R3]G	1	0	3	0	0	3	2	1	0	2	0	2	2	2	1	2	2	1	2	1	2	3	2	0	1	1	0	0	0	0	0	0	1	0	0	3	1	0	0	2	0	0	3	5	0	3	2	2	0	0	0	0	1
G[Del(C):R3]T	2	0	2	1	2	1	4	5	2	2	0	0	0	3	0	1	3	1	4	1	1	4	1	1	1	1	1	2	1	0	4	2	1	0	0	3	3	2	2	4	1	0	2	8	0	3	2	6	1	4	1	0	1
G[Del(C):R4]A	3	0	5	0	3	1	5	1	0	2	0	0	0	1	5	2	3	3	2	2	1	5	7	1	0	2	0	2	2	1	1	0	3	0	1	4	0	0	0	0	2	0	2	3	0	3	3	9	0	1	1	2	1
G[Del(C):R4]G	0	0	0	0	0	1	1	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	2	2	1	0	1	0	2	1
G[Del(C):R4]T	1	0	2	0	1	0	2	2	0	1	1	0	0	3	2	2	2	1	4	1	2	1	2	0	2	3	0	1	0	1	1	2	2	1	0	3	0	2	0	1	0	1	2	2	0	2	0	2	0	0	0	3	2
G[Del(C):R5]A	1	0	1	0	2	2	3	5	0	0	0	0	0	0	1	5	3	2	5	0	3	0	2	0	3	1	0	0	1	3	1	1	0	1	2	1	3	0	1	1	0	1	4	0	0	2	0	1	1	0	1	0	1
G[Del(C):R5]G	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
G[Del(C):R5]T	1	0	0	0	0	0	2	2	0	1	1	1	0	0	0	1	1	0	2	1	0	2	1	0	1	1	1	0	0	1	1	1	3	0	1	0	0	0	0	3	0	1	4	0	0	2	1	1	1	0	0	0	2
G[Del(C):R6]A	1	0	0	0	0	3	2	3	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	2	1	0	0	1	0	0	2	0	0	0	1	0	0	1	2	0	0	1	0	1	1	0	2	0
G[Del(C):R6]G	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1
G[Del(C):R6]T	2	0	0	0	0	3	1	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1
G[Del(C):R7]A	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
G[Del(C):R7]G	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]T	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
G[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	6	1	8	2	5	4	15	14	4	9	4	5	6	11	2	6	5	7	6	3	3	8	8	5	10	3	4	5	1	5	3	4	9	0	6	6	9	3	5	6	2	2	8	10	2	6	7	13	2	7	1	13	2
T[Del(C):R1]G	1	0	1	0	1	0	2	2	1	1	0	2	0	1	0	0	5	0	1	0	0	2	1	1	3	1	1	1	0	2	2	0	1	0	0	0	0	2	1	1	0	0	3	1	0	0	1	4	0	0	0	2	0
T[Del(C):R1]T	6	2	4	4	8	8	12	13	4	9	3	7	6	16	12	13	10	6	13	6	10	5	15	9	10	5	2	4	5	11	6	6	7	1	8	6	4	7	7	14	7	3	11	4	1	6	10	25	1	3	4	13	6
T[Del(C):R2]A	10	2	6	3	6	9	26	23	1	11	6	9	3	5	4	15	19	8	7	1	4	9	11	9	12	3	1	5	5	8	5	3	6	2	3	9	9	2	4	14	1	2	12	17	0	12	9	20	2	9	3	9	11
T[Del(C):R2]G	3	0	1	0	1	0	6	2	0	1	0	0	0	2	0	1	1	1	2	0	3	1	0	1	2	2	1	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	5	2	0	1	2	2	0	1	1	0	1
T[Del(C):R2]T	6	0	7	2	3	8	20	11	1	4	4	5	3	16	9	6	12	4	6	5	5	13	12	7	6	5	0	2	3	4	10	7	8	4	9	8	5	4	9	10	7	2	13	14	1	11	11	18	2	5	4	9	3
T[Del(C):R3]A	13	0	0	1	4	11	13	22	1	5	7	6	2	13	9	8	7	7	14	1	1	10	10	2	12	6	1	4	4	10	5	1	5	1	3	7	6	2	2	13	1	2	18	19	0	8	4	14	2	7	9	5	6
T[Del(C):R3]G	3	0	0	0	1	1	3	1	0	1	0	0	0	0	2	2	0	3	2	0	0	2	2	2	0	1	1	0	0	2	0	0	1	0	2	2	0	0	0	1	0	0	3	4	0	1	0	3	0	0	1	2	1
T[Del(C):R3]T	5	0	7	2	2	3	12	11	1	2	5	2	4	3	4	2	3	3	6	1	4	8	7	5	4	3	3	0	6	3	1	3	5	1	3	3	3	2	1	11	1	0	9	8	0	3	1	6	0	0	0	3	0
T[Del(C):R4]A	2	0	4	1	0	5	8	5	0	1	2	1	2	3	3	5	5	2	5	1	4	2	2	2	3	4	1	1	0	7	3	3	2	0	2	5	3	1	0	5	0	0	7	3	0	6	7	8	1	1	0	6	3
T[Del(C):R4]G	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1
T[Del(C):R4]T	4	1	3	0	1	3	7	9	1	3	2	6	2	4	2	1	3	2	4	2	0	2	0	2	1	1	0	2	1	3	4	0	1	0	1	2	2	1	2	2	1	1	7	1	0	4	1	5	1	3	0	5	1
T[Del(C):R5]A	2	0	0	0	0	2	2	4	0	1	1	1	0	4	1	1	2	2	1	1	0	3	1	2	1	1	0	1	2	1	1	1	1	0	0	1	4	1	1	7	0	0	6	7	1	1	2	3	2	0	3	0	2
T[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
T[Del(C):R5]T	2	0	1	1	2	3	2	3	0	2	0	2	1	1	0	1	2	0	0	1	0	3	2	0	4	1	0	1	0	2	1	0	1	0	0	3	1	1	0	0	2	0	2	6	0	1	3	1	0	1	0	1	1
T[Del(C):R6]A	0	0	0	0	0	1	1	1	0	1	0	2	1	1	0	2	3	1	1	2	0	2	2	1	0	2	0	1	0	0	2	0	2	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2
T[Del(C):R6]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R6]T	1	0	0	0	0	0	1	3	0	1	0	0	0	0	1	0	1	1	2	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	2	0	0	1	1	1	1	1	4	0	0	0	1	0	1	0	1	0
T[Del(C):R7]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
T[Del(C):R7]T	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
T[Del(C):R8]A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]T	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	4	0	7	3	4	4	10	10	1	10	1	3	5	14	8	3	6	13	4	11	2	6	9	5	9	9	1	5	4	6	7	9	5	0	3	5	0	4	5	5	2	1	9	6	1	2	6	23	3	7	2	7	7
A[Del(T):R1]C	1	1	5	1	3	2	3	4	1	3	2	6	2	4	1	2	1	4	3	1	1	2	2	1	1	3	0	1	1	5	2	3	4	1	1	2	1	1	6	2	1	0	5	4	3	2	3	14	2	3	2	4	3
A[Del(T):R1]G	4	0	3	3	0	3	5	4	1	3	4	1	1	10	4	3	5	6	5	3	1	6	3	1	10	3	2	0	3	3	3	2	6	1	3	1	2	1	4	5	1	1	0	4	0	5	4	16	0	6	0	4	1
A[Del(T):R2]A	6	0	3	3	5	2	12	8	1	4	5	3	2	9	7	1	4	10	12	6	3	12	7	2	3	2	3	3	2	6	2	5	6	2	4	2	3	2	3	6	1	1	8	8	4	2	3	17	1	5	3	8	4
A[Del(T):R2]C	3	0	2	0	5	3	11	8	1	0	3	3	3	13	9	1	4	6	3	0	6	3	6	1	1	6	2	1	4	6	2	2	1	2	3	4	5	1	4	1	3	0	6	5	2	1	4	10	0	5	3	0	4
A[Del(T):R2]G	1	0	6	0	0	6	3	5	0	1	1	1	2	6	9	6	1	8	5	0	3	4	5	2	3	3	0	4	0	0	0	2	3	0	0	3	1	1	1	1	3	0	5	2	0	1	4	21	4	6	3	4	1
A[Del(T):R3]A	4	0	9	3	5	12	7	7	1	3	9	9	1	12	9	7	5	4	8	1	5	7	5	4	6	2	1	2	4	2	2	4	3	1	2	5	0	2	3	4	1	1	7	5	1	3	8	14	0	1	3	9	10
A[Del(T):R3]C	1	0	3	0	4	3	7	7	0	5	3	4	2	13	7	4	3	5	8	1	4	7	4	7	3	3	0	2	3	3	2	1	0	1	1	3	4	3	1	6	2	1	4	3	0	4	3	11	1	1	2	2	2
A[Del(T):R3]G	2	0	3	1	7	5	1	5	1	3	5	3	2	7	6	2	2	3	5	1	0	6	4	1	4	2	1	0	0	3	4	1	0	0	4	2	0	2	2	2	0	2	4	5	1	3	3	9	0	4	4	2	1
A[Del(T):R4]A	5	0	3	1	4	4	6	3	1	2	6	5	1	11	7	4	8	3	6	7	6	6	7	4	4	9	1	4	2	2	3	5	5	1	3	4	3	1	4	3	5	0	1	5	1	5	2	14	1	4	1	4	2
A[Del(T):R4]C	3	0	3	2	0	2	5	7	2	5	1	2	1	4	7	3	0	2	3	1	2	1	2	2	6	2	0	1	2	4	2	0	5	2	2	5	1	0	3	2	0	0	6	1	2	0	1	5	0	0	4	3	4
A[Del(T):R4]G	3	0	1	2	5	4	10	6	0	5	4	4	1	3	5	3	0	5	2	4	6	2	5	2	2	2	0	2	2	0	3	2	6	0	3	3	1	0	2	3	1	0	5	3	2	3	0	8	2	2	1	1	1
A[Del(T):R5]A	7	0	7	2	1	4	7	6	1	3	7	5	5	4	6	1	0	6	5	6	4	2	1	4	5	3	1	4	2	5	3	2	3	0	4	4	1	4	6	5	1	0	5	7	1	1	5	8	0	1	0	3	7
A[Del(T):R5]C	4	1	0	0	5	1	5	4	1	1	3	3	0	0	2	1	2	3	1	3	0	2	6	1	3	2	1	1	2	2	0	3	1	0	0	1	0	0	8	4	1	1	4	0	1	2	0	1	0	2	0	5	1
A[Del(T):R5]G	2	0	3	0	2	0	4	3	2	5	3	0	1	2	4	2	2	7	5	0	3	2	5	0	7	1	0	1	2	2	0	2	1	0	2	2	2	2	5	4	1	1	4	1	0	2	2	7	0	0	3	4	5
A[Del(T):R6]A	4	0	3	1	0	2	8	3	0	6	4	6	1	2	1	1	2	2	4	2	3	4	4	1	1	2	0	1	1	4	1	0	5	3	0	4	2	2	3	3	3	2	2	0	2	3	3	3	0	0	1	6	2
A[Del(T):R6]C	2	0	1	0	1	2	3	3	1	2	0	2	1	2	2	1	2	2	0	1	2	0	2	1	5	0	0	1	0	1	1	1	3	0	0	3	0	0	5	1	2	0	1	0	2	0	2	2	0	1	1	3	1
A[Del(T):R6]G	1	0	1	0	0	0	8	0	0	4	1	0	4	2	4	2	4	5	3	1	1	2	3	0	1	2	1	2	0	2	1	1	1	0	1	1	4	3	2	0	2	1	3	3	0	1	1	3	1	1	0	4	0
A[Del(T):R7]A	1	0	0	2	0	3	3	0	0	5	2	7	1	1	1	3	5	3	3	1	4	1	1	3	2	2	0	1	0	2	0	1	3	0	0	2	0	0	1	5	2	0	2	2	2	2	2	1	1	0	0	4	0
A[Del(T):R7]C	1	0	2	6	0	1	5	1	1	6	0	4	3	0	4	1	1	2	1	1	1	0	4	3	2	0	0	1	0	1	4	0	3	1	0	2	1	1	2	4	1	0	1	2	3	3	2	1	0	1	1	8	1
A[Del(T):R7]G	1	0	2	3	0	0	4	1	1	2	3	1	0	0	1	1	0	2	0	1	3	1	2	3	1	2	0	1	2	2	2	1	1	0	1	0	0	0	0	4	3	0	2	1	3	1	1	1	0	4	0	2	0
A[Del(T):R8]A	1	0	1	5	3	0	7	6	0	8	4	2	0	1	3	5	6	3	0	4	7	2	1	2	1	0	1	1	2	3	5	2	1	0	0	0	3	1	3	6	2	1	3	0	3	0	1	1	0	1	1	9	1
A[Del(T):R8]C	1	0	2	4	3	0	2	4	0	4	1	0	1	0	4	2	3	5	2	0	0	2	2	1	3	2	0	2	0	2	2	1	5	0	0	1	3	2	5	1	4	0	1	0	2	1	1	1	0	1	0	6	1
A[Del(T):R8]G	2	0	2	3	1	2	6	1	0	4	2	1	2	1	1	4	1	2	1	0	1	1	3	1	0	0	0	0	0	1	1	0	3	0	1	2	1	1	2	3	4	0	0	0	2	2	0	0	0	0	0	3	0
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	4	0	3	2	2	6	11	13	0	3	3	5	2	7	3	1	4	7	5	4	5	4	9	4	6	0	0	3	2	4	1	1	4	2	3	6	2	2	3	2	2	4	7	10	1	4	5	11	2	7	3	4	5
C[Del(T):R1]C	2	0	2	3	3	3	7	4	2	4	2	3	1	15	4	3	1	7	1	3	3	3	2	4	6	6	0	2	3	5	4	3	5	0	4	5	1	2	1	5	1	0	4	5	0	2	4	19	0	1	2	7	3
