MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064
A[Del(T):R(1,4)]A	9	24	7	30	15	0	34	32	11	19	5	3	18	7	37	21	14	30	10	25	11	9	18	14	1	17	35	15	9	7	27	28	19	6	32	26	23	43	33	15	75	18	11	11	9	25	13	27	32	30	22	33	16	15	19	16	14	5	9	19	18	38	5	18	15	33	15	18	11	33	16	7	21	6	3	7	62	16	23	6	20	29	21	41	16	18	15	19	28	23	15	26	16	16	16	29	18	18
A[Del(T):R(1,4)]C	6	13	6	16	6	0	15	16	8	15	8	1	9	5	18	10	4	12	4	9	9	4	15	6	2	8	11	8	10	6	9	19	12	6	11	16	10	35	28	7	50	6	5	5	6	15	9	32	9	17	16	13	16	7	10	4	7	4	5	9	5	12	3	8	9	26	13	6	6	16	11	2	14	4	3	2	43	7	10	6	7	13	10	18	8	6	11	7	8	9	3	23	10	13	10	16	10	10
A[Del(T):R(1,4)]G	6	9	9	14	7	0	18	15	5	15	3	2	18	7	19	14	8	10	2	6	8	4	8	5	2	1	9	6	5	8	8	14	11	6	13	16	6	25	28	7	35	9	2	2	5	8	8	19	7	6	5	11	13	9	7	3	7	4	9	8	11	24	2	6	8	21	10	7	4	7	13	5	12	3	5	4	22	9	9	8	11	15	6	19	11	14	5	7	6	10	6	6	9	18	7	20	11	6
C[Del(T):R(1,4)]A	5	22	5	14	10	0	17	27	4	8	2	0	11	4	26	13	10	11	5	11	9	10	17	7	1	7	12	5	4	7	10	9	10	7	13	16	6	34	32	11	7	8	8	11	7	6	9	26	10	22	12	9	11	9	15	11	11	5	11	6	9	21	3	12	19	28	17	13	6	28	5	7	13	7	5	2	34	3	13	4	13	12	9	18	12	8	9	16	9	10	13	15	9	14	5	18	12	11
C[Del(T):R(1,4)]C	4	12	4	15	6	1	16	14	8	9	4	0	13	3	27	14	4	14	6	12	9	2	12	5	2	5	11	6	8	14	22	15	9	8	13	18	8	36	28	2	5	5	5	9	7	5	8	41	14	11	12	15	16	12	12	5	13	3	8	7	4	32	3	3	7	39	4	3	7	20	12	5	9	2	6	2	25	12	4	3	5	11	7	27	19	5	9	7	5	6	8	15	6	21	8	17	15	10
C[Del(T):R(1,4)]G	7	16	6	20	4	0	25	18	7	10	5	3	16	4	19	18	13	11	12	13	8	4	13	10	0	7	12	9	7	7	13	10	12	10	13	12	10	26	34	8	9	9	7	9	7	19	8	20	6	16	13	14	7	9	12	4	8	3	3	11	8	19	5	9	10	30	13	9	3	24	5	3	17	7	3	5	43	9	18	3	10	8	9	22	11	5	6	14	6	13	5	9	6	10	5	21	10	9
G[Del(T):R(1,4)]A	4	13	4	32	14	0	42	15	10	9	2	1	29	10	56	38	3	24	6	20	7	5	22	5	1	1	32	10	12	15	34	36	9	11	19	28	9	62	49	11	15	15	3	4	1	16	7	53	18	44	16	34	16	23	19	7	10	4	4	9	20	39	4	16	20	67	9	4	11	29	26	3	14	2	7	4	73	14	18	3	17	17	17	35	23	7	10	10	14	13	2	15	23	16	7	30	15	6
G[Del(T):R(1,4)]C	2	19	7	21	5	0	39	11	7	5	3	0	20	1	37	12	7	15	4	16	6	5	12	3	0	3	14	8	0	18	19	18	9	7	14	14	5	46	31	3	11	7	2	1	5	9	6	35	14	20	16	19	13	20	14	7	9	3	1	9	11	25	2	5	14	37	7	3	4	26	14	2	5	4	8	1	57	4	11	4	19	9	15	24	17	7	3	9	4	13	2	12	15	19	6	18	8	4
G[Del(T):R(1,4)]G	4	8	5	14	9	0	36	19	5	10	3	0	12	2	47	41	10	23	6	18	5	1	13	3	1	6	19	16	4	21	25	14	5	14	22	16	7	43	31	7	4	5	6	2	4	8	5	39	8	18	16	20	14	12	8	10	12	2	3	15	6	24	6	9	5	47	7	9	13	24	8	5	16	2	5	4	47	5	10	2	14	11	10	31	19	11	5	14	7	20	8	14	5	18	8	19	12	8
A[Del(T):R(5,7)]A	56	61	15	84	57	0	61	78	63	37	1	2	48	24	71	59	12	53	26	43	45	27	22	41	7	11	127	30	17	14	34	70	43	43	62	65	65	103	92	36	52	33	13	16	57	78	45	75	47	90	45	34	59	43	45	33	53	15	9	35	29	74	7	51	77	95	38	60	78	66	19	20	27	4	4	6	207	50	60	6	41	65	53	129	56	59	19	26	44	42	24	114	54	65	30	250	84	48
A[Del(T):R(5,7)]C	18	39	16	41	27	0	54	59	40	28	3	2	27	9	59	35	7	32	16	32	27	13	20	23	3	5	73	19	9	12	31	48	29	28	38	35	42	57	47	28	47	17	7	5	30	41	29	52	31	58	34	30	26	19	21	17	28	9	3	20	19	50	6	36	32	58	20	25	53	35	15	23	25	8	7	5	131	33	49	8	20	55	32	81	45	43	14	31	26	42	17	67	35	44	24	116	46	30
A[Del(T):R(5,7)]G	24	39	11	51	23	0	39	54	42	25	3	0	28	10	35	20	4	33	15	36	21	14	12	20	3	3	73	12	10	7	23	41	22	15	43	34	35	62	39	23	62	18	3	3	29	41	21	35	13	53	30	27	33	16	28	25	31	8	3	14	12	55	2	38	32	50	27	30	47	34	10	11	13	2	4	3	124	25	29	6	16	38	26	63	29	32	13	29	14	21	13	58	27	38	25	132	31	39
C[Del(T):R(5,7)]A	24	24	12	48	14	0	29	39	30	14	0	4	21	6	46	16	8	18	9	24	15	19	15	10	1	4	43	10	8	5	22	43	33	19	36	29	24	55	27	15	33	11	4	5	16	39	17	42	19	49	24	20	27	12	21	11	19	6	4	11	12	43	4	31	29	26	24	26	33	34	8	13	13	4	7	2	89	23	29	3	15	37	27	49	20	26	12	11	23	25	10	34	23	34	17	94	45	27
C[Del(T):R(5,7)]C	14	18	10	28	12	0	29	35	21	15	1	4	18	4	26	18	3	18	7	21	24	6	6	13	0	2	38	14	6	5	26	15	17	13	27	25	25	41	26	19	30	6	5	8	26	24	8	48	15	36	27	19	23	13	16	18	19	2	3	15	8	34	2	23	24	45	9	18	25	23	7	6	12	3	2	2	80	20	25	3	14	32	22	60	27	26	5	12	15	24	6	43	15	33	10	71	35	22
C[Del(T):R(5,7)]G	15	23	5	21	12	0	18	36	27	9	2	2	12	2	17	11	13	21	10	11	16	5	6	10	1	4	53	9	3	3	11	22	17	14	16	27	22	24	27	13	18	7	3	7	18	27	13	25	19	26	20	14	16	11	11	10	13	6	4	9	11	27	1	14	19	28	14	15	26	27	4	14	9	2	5	4	59	13	21	6	9	30	18	38	11	19	5	16	14	25	7	36	16	27	8	72	20	10
G[Del(T):R(5,7)]A	13	15	10	28	8	0	9	19	19	4	0	0	16	2	22	17	6	10	9	9	14	6	7	10	1	2	26	14	5	4	13	24	17	11	13	18	18	30	20	12	19	13	3	6	8	18	18	23	10	24	18	20	12	9	10	4	16	3	5	11	7	25	0	12	29	30	9	14	31	20	6	6	8	1	3	0	63	9	14	2	6	26	20	36	12	14	6	15	8	16	4	18	12	17	8	64	17	12
G[Del(T):R(5,7)]C	9	18	4	34	5	0	16	22	12	4	2	0	17	1	17	15	2	9	10	9	11	9	10	6	0	1	34	9	3	6	12	21	20	11	16	15	21	28	21	12	9	4	4	1	12	14	10	29	11	21	32	13	15	4	13	4	12	3	3	9	8	30	4	12	17	30	12	10	28	18	4	6	9	1	2	2	62	19	19	3	7	20	15	23	16	32	4	8	11	11	3	30	20	25	10	65	26	16
G[Del(T):R(5,7)]G	10	7	5	24	13	0	19	27	12	9	0	0	12	4	23	5	9	11	9	12	11	6	10	8	0	6	30	4	4	2	19	22	3	18	11	17	10	26	25	11	15	6	1	7	15	13	10	20	6	24	20	11	18	11	9	5	16	6	3	6	12	15	1	9	25	25	12	15	18	19	10	9	9	3	1	1	66	11	14	2	14	12	13	22	15	14	2	15	12	11	4	27	10	17	5	54	16	15
A[Del(T):R(8,)]A	36	69	7	60	58	0	90	107	127	43	1	0	75	4	105	57	27	32	24	53	43	6	14	26	1	4	227	26	4	4	56	85	31	35	107	33	106	168	74	36	108	32	6	13	79	107	62	80	49	85	92	41	81	33	20	32	64	3	9	46	52	99	1	68	78	122	48	80	100	90	1	53	26	7	3	3	201	73	74	12	44	77	68	197	67	83	32	38	78	45	27	175	68	87	46	298	116	78
A[Del(T):R(8,)]C	20	54	17	66	37	0	69	91	76	36	0	3	63	4	79	47	14	22	25	58	42	5	17	24	0	7	159	16	4	2	39	74	28	35	78	25	94	125	74	30	86	27	4	13	43	67	32	68	31	63	57	48	60	22	17	40	62	3	6	27	38	74	4	38	56	84	46	67	79	64	3	28	17	6	3	1	151	39	51	7	29	75	60	164	64	93	15	24	51	24	17	143	61	66	43	189	93	47
A[Del(T):R(8,)]G	9	38	7	40	20	0	54	54	44	23	1	0	36	0	34	35	11	16	13	29	18	3	9	9	0	6	99	13	2	0	29	44	11	23	41	22	31	74	32	19	59	16	5	8	29	40	24	43	29	34	45	21	34	13	18	19	30	0	2	16	23	47	1	22	36	52	26	46	52	43	2	22	8	0	3	1	92	22	32	9	23	51	27	84	32	43	20	16	42	18	5	84	36	48	22	157	41	33
C[Del(T):R(8,)]A	12	56	7	30	29	0	59	78	53	19	1	0	53	1	65	38	11	18	10	36	19	8	8	17	0	5	115	15	0	4	30	37	30	25	52	24	57	90	40	21	79	24	4	15	27	50	39	56	34	42	52	22	41	23	17	27	43	5	5	24	22	69	0	42	61	60	18	54	63	54	3	29	6	1	2	3	113	40	39	8	30	72	52	131	37	58	11	19	46	31	14	124	58	42	28	124	78	52
C[Del(T):R(8,)]C	26	59	17	41	24	0	63	61	69	21	0	0	70	2	67	33	24	28	27	37	24	4	16	22	1	3	130	28	4	3	47	79	23	41	57	27	68	122	44	45	67	19	8	6	34	73	42	64	36	63	66	39	40	20	20	25	46	1	2	19	46	87	2	28	76	63	37	44	63	62	6	27	9	5	5	2	158	38	40	7	31	97	49	152	42	83	11	13	46	34	11	126	48	58	28	169	69	42
C[Del(T):R(8,)]G	17	31	13	26	23	0	35	59	47	15	1	0	42	1	51	25	7	19	9	24	16	2	6	13	0	1	89	10	1	2	30	55	17	13	63	20	42	76	24	13	53	20	5	6	25	42	30	41	25	35	27	24	31	13	18	15	28	3	1	12	22	49	1	27	47	57	21	37	64	38	4	15	7	4	2	2	85	20	31	4	22	44	38	97	28	38	13	19	35	16	5	93	39	37	11	116	57	37
G[Del(T):R(8,)]A	5	21	5	16	15	0	19	36	32	18	1	0	15	0	35	14	9	10	9	24	11	3	8	3	0	0	65	9	0	1	20	28	6	21	25	13	33	45	19	6	35	6	5	6	17	33	13	28	8	18	32	11	16	14	12	11	26	0	2	6	17	34	0	14	29	33	20	19	37	39	3	17	2	4	2	0	72	22	21	3	19	41	23	64	24	38	4	6	20	12	10	62	25	22	17	86	22	26
G[Del(T):R(8,)]C	12	18	6	16	12	0	27	38	29	15	0	1	25	0	31	16	3	8	6	16	11	1	4	6	0	3	47	9	0	1	17	27	9	20	25	10	37	52	19	15	23	10	1	6	8	23	18	25	16	20	28	17	18	10	7	16	24	2	2	8	20	36	1	17	34	28	19	19	42	21	0	14	8	4	3	0	53	23	21	0	19	37	17	62	14	50	11	12	18	13	9	50	23	31	19	67	36	19
G[Del(T):R(8,)]G	3	8	7	15	7	0	18	22	14	3	0	0	17	2	18	10	4	7	2	17	8	0	5	7	0	0	51	8	1	0	11	13	9	10	18	5	16	38	9	10	14	4	4	2	10	33	13	16	11	10	18	8	10	4	5	12	16	4	0	7	5	30	1	7	9	15	13	11	30	11	0	10	2	1	0	1	37	7	10	2	6	26	19	42	13	19	4	5	9	7	4	39	9	18	8	52	19	15
A[Ins(C):R0]A	1	127	1	141	8	0	176	13	12	22	0	3	44	1	98	64	11	33	5	45	4	2	17	13	2	13	37	17	4	6	40	33	19	15	26	11	8	82	66	20	10	13	3	5	8	22	47	111	99	44	23	36	72	12	27	8	22	1	2	36	19	72	0	16	50	45	5	8	13	43	26	6	54	1	19	1	289	12	10	5	18	52	21	67	17	3	20	4	32	34	7	15	10	13	1	47	23	15
A[Ins(C):R0]T	0	81	0	114	4	0	116	6	6	10	0	1	18	0	33	20	9	12	0	19	2	1	9	2	0	9	12	8	2	6	15	8	5	3	8	2	2	16	30	15	5	3	0	1	0	7	21	41	62	23	5	24	33	6	19	1	8	1	1	28	11	25	0	12	20	3	2	0	4	10	26	1	37	0	15	1	137	4	7	3	7	14	9	16	2	6	12	4	9	15	1	6	2	2	4	12	3	8
Ins(C):R(0,3)	7	46	8	43	5	0	63	17	16	12	4	5	24	3	25	27	6	22	4	33	13	1	10	10	0	9	29	11	6	2	23	13	12	11	19	13	20	28	32	13	13	19	14	7	7	15	26	34	24	40	18	20	27	8	13	8	17	6	3	20	13	27	1	15	14	38	15	13	14	25	16	6	22	6	3	4	84	14	20	3	15	27	10	32	18	31	20	17	13	27	6	23	13	18	7	25	17	15
Ins(C):R(4,6)	7	26	13	10	6	0	10	6	20	8	2	2	18	5	15	16	5	9	5	15	15	5	5	8	0	4	15	12	8	2	10	11	19	8	10	27	19	13	18	8	14	13	8	9	15	19	16	14	14	30	11	7	14	7	9	11	11	3	7	12	12	14	3	12	9	22	14	16	19	19	2	6	8	7	3	3	39	12	12	1	6	29	6	31	16	15	7	8	11	15	4	27	17	14	11	8	18	19
Ins(C):R(7,)	6	21	6	13	8	0	17	13	25	11	1	0	28	3	15	13	7	5	8	8	19	2	7	4	0	1	39	5	6	2	11	18	16	17	17	15	13	15	34	11	18	17	5	9	10	28	9	5	13	15	28	6	18	9	7	8	18	4	5	15	7	17	0	16	16	20	19	10	19	10	2	8	5	8	2	5	31	18	18	4	9	31	10	25	29	33	11	11	18	7	2	30	9	11	22	13	19	17
A[Ins(T):R(0,4)]A	10	26	3	27	9	0	28	14	12	17	5	0	12	4	24	17	6	13	4	12	19	2	12	8	1	6	24	14	7	7	11	20	14	9	18	16	14	24	30	7	14	13	5	6	10	14	13	20	17	22	14	6	21	8	15	9	7	3	9	12	11	27	6	19	16	16	12	12	12	20	17	10	12	7	5	4	42	13	18	7	6	23	6	23	15	15	10	11	13	14	3	18	7	7	11	13	12	16
A[Ins(T):R(0,4)]C	4	8	1	7	6	0	7	5	5	5	2	0	9	2	10	1	2	9	2	6	10	1	9	1	0	1	11	4	5	3	2	2	11	4	4	12	9	6	10	6	6	4	0	4	2	7	7	6	6	5	4	5	8	6	9	1	5	1	4	3	0	4	1	3	5	6	8	3	3	7	1	1	8	1	0	3	8	8	7	1	5	8	6	11	5	4	3	3	3	5	1	14	5	7	5	9	6	7
A[Ins(T):R(0,4)]G	5	16	7	7	5	0	8	9	6	12	5	1	11	2	12	6	6	7	5	4	9	2	6	5	2	2	10	6	6	3	6	11	5	5	5	15	6	9	14	4	4	2	3	5	5	6	4	10	7	11	10	5	9	9	5	7	6	0	4	4	7	13	3	7	6	15	10	6	6	6	3	4	2	1	3	2	20	5	9	1	7	12	8	17	8	8	5	1	5	12	4	14	6	6	2	11	12	5
C[Ins(T):R(0,4)]A	2	5	10	3	4	0	5	4	8	3	3	0	3	0	5	8	1	3	1	6	4	1	8	4	0	4	6	4	5	1	6	6	7	5	7	9	3	6	4	3	2	5	4	4	2	6	3	5	4	12	5	2	3	7	3	3	5	5	5	9	5	12	1	5	9	7	7	6	2	5	3	1	4	2	1	3	10	10	5	2	2	6	5	5	5	13	4	6	5	8	2	7	4	6	5	7	6	4
C[Ins(T):R(0,4)]C	4	8	4	0	0	0	9	3	2	0	0	0	0	0	6	4	6	2	0	2	9	1	3	1	0	3	7	7	3	1	3	3	4	5	9	6	2	7	10	3	4	4	1	7	2	2	4	5	5	10	6	2	5	2	3	4	2	1	3	0	5	5	2	4	3	4	5	6	4	2	2	5	5	2	4	1	6	3	1	1	1	6	2	3	4	7	5	2	3	5	3	9	1	5	4	5	4	11
C[Ins(T):R(0,4)]G	1	11	4	3	4	0	11	8	4	5	2	0	3	1	12	10	3	4	1	8	8	1	4	6	0	5	4	7	3	0	4	6	10	5	5	6	4	9	6	3	6	6	2	4	2	6	4	3	8	9	2	4	7	2	4	3	3	3	3	3	4	6	1	7	8	9	6	7	3	3	2	3	6	4	3	1	11	7	5	0	3	5	3	6	5	7	5	10	1	1	3	10	4	4	6	5	8	6
G[Ins(T):R(0,4)]A	7	7	2	7	2	0	4	10	3	3	2	0	8	0	5	6	5	7	2	10	2	3	6	1	0	1	6	3	3	3	10	5	4	5	5	7	1	11	14	5	5	15	4	1	4	5	8	2	3	9	4	4	4	5	2	4	1	1	4	8	3	10	0	4	2	5	4	9	5	9	3	1	4	3	4	0	9	2	4	1	3	4	4	7	3	8	4	6	4	3	3	7	7	5	4	4	2	3
G[Ins(T):R(0,4)]C	2	2	1	1	1	0	0	3	2	1	1	0	2	0	3	1	2	1	1	1	0	0	1	0	0	2	3	2	3	0	6	4	1	0	7	2	2	7	2	1	2	7	1	0	2	2	1	4	2	5	0	3	3	2	0	3	2	1	0	5	1	3	1	2	2	2	2	2	2	1	1	0	0	0	2	1	7	1	2	0	0	0	2	2	1	5	0	1	1	4	3	4	3	0	0	3	3	0
G[Ins(T):R(0,4)]G	1	7	3	3	1	0	6	1	3	1	2	0	4	1	4	10	2	1	4	6	6	2	2	5	0	3	8	5	2	3	1	8	2	4	9	5	6	5	8	5	6	25	1	0	5	3	4	5	1	9	6	6	3	2	3	2	1	2	3	1	2	4	0	9	4	5	2	6	0	2	1	0	4	0	1	0	5	4	2	0	4	8	1	6	3	5	1	7	4	6	1	6	2	3	2	4	3	4
A[Ins(T):R(5,7)]A	29	77	17	52	33	0	52	27	47	34	7	4	59	14	48	32	8	35	15	38	68	12	28	20	3	16	70	31	16	18	39	49	60	35	59	55	63	56	50	34	61	44	14	15	42	70	38	41	62	83	30	36	45	27	41	35	38	11	12	46	35	53	8	75	55	36	50	46	41	44	22	26	31	15	10	13	85	73	53	12	34	103	28	86	76	56	39	42	25	51	21	97	54	65	44	49	73	77
A[Ins(T):R(5,7)]C	32	67	13	41	28	0	35	26	55	33	4	1	80	8	55	27	20	20	24	36	62	10	24	26	5	22	65	33	19	14	30	44	66	41	69	65	51	50	75	29	55	35	13	21	51	59	27	43	66	84	30	29	52	32	45	38	42	9	14	32	34	75	13	100	61	47	63	48	37	41	20	19	24	9	9	15	87	69	69	12	29	102	31	82	71	79	26	48	56	50	17	97	51	52	53	67	76	84
A[Ins(T):R(5,7)]G	44	63	17	36	17	0	38	24	39	39	8	4	89	10	57	26	10	29	25	27	50	16	39	22	1	14	75	28	23	8	38	50	65	35	65	69	37	55	66	31	63	59	17	24	48	71	27	39	60	102	41	20	55	26	52	41	36	21	22	34	39	50	4	97	47	42	52	62	35	38	6	23	35	17	20	6	90	63	48	7	42	106	39	73	83	63	36	58	40	52	15	93	44	65	48	69	78	69
C[Ins(T):R(5,7)]A	27	34	6	23	6	0	26	15	23	16	1	2	26	1	26	13	9	17	8	23	34	6	12	10	2	12	43	14	10	2	18	19	28	20	33	25	21	26	29	12	34	11	3	11	20	31	13	20	19	45	28	12	31	9	19	18	18	4	7	23	20	41	2	38	29	15	18	26	21	10	7	20	11	10	5	9	36	29	34	5	15	49	17	39	36	24	20	27	17	26	3	47	23	27	23	29	34	36
C[Ins(T):R(5,7)]C	17	46	6	24	17	0	22	18	25	26	7	1	46	2	41	20	6	12	13	17	54	8	16	18	3	12	32	19	15	7	18	20	40	34	37	42	29	33	37	14	29	24	11	14	27	44	17	23	47	38	16	15	27	16	21	14	22	7	16	23	22	21	7	58	37	22	25	38	25	26	7	22	21	11	5	4	53	40	27	6	21	57	22	50	38	36	19	36	26	32	8	41	35	30	29	37	44	44
C[Ins(T):R(5,7)]G	20	51	3	25	15	0	22	19	27	24	2	0	34	3	36	14	6	13	11	11	34	10	17	18	0	9	33	14	13	3	22	18	25	15	28	41	37	22	27	19	36	29	3	13	18	42	14	27	29	37	22	17	34	17	27	21	30	8	8	20	17	31	4	42	28	33	30	24	21	16	7	13	12	14	7	5	34	37	29	5	21	43	15	52	37	46	21	24	22	31	14	50	29	36	24	30	44	33
G[Ins(T):R(5,7)]A	19	26	8	16	10	0	17	15	21	18	2	0	25	2	24	16	5	14	10	12	28	4	19	9	1	9	44	16	8	2	28	23	33	22	29	20	21	27	29	18	24	19	8	13	13	33	13	21	28	39	12	10	24	12	14	16	19	6	13	15	15	41	2	40	27	14	19	23	26	23	8	15	14	12	4	3	40	18	20	3	12	38	15	43	38	21	6	14	17	21	4	34	21	24	15	24	24	26
G[Ins(T):R(5,7)]C	21	31	12	16	17	0	21	12	22	20	4	1	37	1	39	16	12	15	13	6	45	6	11	13	3	12	38	9	14	6	26	25	38	15	17	29	28	18	39	14	34	21	5	13	16	30	14	18	29	39	11	11	16	11	24	22	22	9	12	24	21	28	6	39	37	21	25	27	17	19	8	17	19	11	12	3	40	38	39	4	19	53	26	41	30	31	16	20	25	27	13	37	31	23	24	24	30	42
G[Ins(T):R(5,7)]G	28	53	10	23	25	0	22	18	40	16	2	2	35	9	37	11	7	21	15	14	22	10	24	20	0	14	34	17	9	5	27	22	28	25	37	35	38	38	38	20	33	28	7	15	18	35	23	19	40	50	25	23	18	21	30	30	32	5	13	21	21	41	8	40	28	24	34	22	15	14	5	13	11	8	3	3	40	31	23	5	25	63	21	45	40	46	23	25	17	23	11	57	22	33	22	32	36	43
A[Ins(T):R(8,)]A	15	63	8	27	32	0	40	24	36	39	3	1	76	0	50	18	3	18	21	20	32	4	2	18	0	17	68	21	0	2	31	27	38	36	45	13	46	35	55	24	57	45	7	24	24	47	42	30	57	35	28	12	41	8	10	28	39	4	13	30	22	55	2	44	47	34	43	48	22	29	3	26	19	12	5	1	57	40	41	8	27	63	28	91	40	55	37	23	35	16	10	101	41	31	54	32	57	73
