MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016
A[Del(T):R(8,)]G	3	2	3	1	2	0	11	1	0	1	4	0	2	6	1	2	2	2	3	2
C[Del(T):R(8,)]A	3	2	6	4	0	2	9	1	7	4	2	3	3	8	2	2	2	6	3	2
C[Del(T):R(8,)]C	1	0	20	7	3	3	8	1	11	3	5	1	3	6	2	0	0	5	2	0
C[Del(T):R(8,)]G	1	3	5	1	1	3	7	1	3	2	0	1	0	2	4	1	2	6	2	1
G[Del(T):R(8,)]A	3	4	2	2	1	2	3	0	6	1	1	1	2	4	4	1	0	1	1	0
G[Del(T):R(8,)]C	1	1	11	4	1	0	6	1	8	2	0	1	1	3	2	0	2	1	0	0
G[Del(T):R(8,)]G	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	2	0
A[Ins(C):R0]A	1	0	2	1	2	0	0	0	2	1	0	1	1	0	0	1	0	0	1	0
A[Ins(C):R0]T	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ins(C):R(0,3)	2	4	3	3	0	5	5	4	4	2	7	3	4	8	3	1	3	2	1	3
Ins(C):R(4,6)	2	3	1	3	4	1	5	2	2	4	2	3	2	4	4	2	0	6	3	2
Ins(C):R(7,)	8	3	4	6	5	3	1	3	4	3	2	4	2	5	4	4	0	4	1	5
A[Ins(T):R(0,4)]A	7	4	2	2	1	1	2	3	1	1	3	2	4	9	2	2	1	0	0	1
A[Ins(T):R(0,4)]C	0	2	0	1	1	1	3	0	2	2	3	1	4	2	0	3	0	2	0	0
A[Ins(T):R(0,4)]G	1	2	0	1	2	0	0	1	1	1	3	5	3	2	2	0	0	3	3	1
C[Ins(T):R(0,4)]A	1	0	0	4	1	1	1	1	1	0	1	1	5	5	2	2	0	2	0	3
C[Ins(T):R(0,4)]C	0	1	2	0	1	2	2	3	1	1	1	5	2	1	0	0	1	1	0	2
C[Ins(T):R(0,4)]G	1	0	1	2	0	3	2	2	2	0	1	1	6	1	0	3	1	0	2	1
G[Ins(T):R(0,4)]A	1	3	1	2	1	0	2	1	0	1	1	2	4	8	2	0	1	4	3	1
G[Ins(T):R(0,4)]C	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0
G[Ins(T):R(0,4)]G	1	1	0	1	0	1	1	1	1	1	0	3	3	4	0	0	0	1	1	1
A[Ins(T):R(5,7)]A	16	11	14	10	9	10	12	9	20	20	19	7	8	15	7	13	7	5	14	13
A[Ins(T):R(5,7)]C	20	14	13	9	5	5	17	4	19	9	17	7	16	23	11	15	9	5	16	13
A[Ins(T):R(5,7)]G	19	14	8	17	12	5	7	14	17	8	12	7	14	16	4	9	7	6	8	5
C[Ins(T):R(5,7)]A	4	5	3	10	3	2	5	4	5	9	3	5	4	8	5	3	1	2	2	2
C[Ins(T):R(5,7)]C	5	5	5	5	4	2	5	5	7	11	10	6	8	14	2	4	4	3	5	8
C[Ins(T):R(5,7)]G	11	8	5	3	6	3	4	3	9	5	8	2	7	8	1	7	4	2	1	4
G[Ins(T):R(5,7)]A	7	5	2	7	3	0	4	3	9	4	9	4	4	8	2	8	3	7	5	3
G[Ins(T):R(5,7)]C	6	7	2	3	4	5	3	4	14	10	7	4	5	7	1	7	0	5	3	5
G[Ins(T):R(5,7)]G	10	4	4	7	1	5	8	1	11	7	5	6	6	12	4	10	1	5	3	5
A[Ins(T):R(8,)]A	17	10	3	9	5	5	7	4	15	11	15	14	9	14	8	6	4	4	7	12
A[Ins(T):R(8,)]C	16	14	5	15	7	4	4	5	12	6	13	5	11	14	2	11	2	6	3	13
A[Ins(T):R(8,)]G	16	12	4	10	5	5	7	5	14	6	13	4	4	16	3	4	0	3	4	11
C[Ins(T):R(8,)]A	7	3	1	3	3	1	5	2	9	6	4	6	6	10	2	3	2	4	1	9
C[Ins(T):R(8,)]C	8	9	2	3	8	1	5	3	14	4	4	2	2	7	3	3	2	5	8	7
C[Ins(T):R(8,)]G	8	14	5	9	6	1	4	0	8	4	4	1	5	7	4	5	0	1	1	7
G[Ins(T):R(8,)]A	3	3	2	10	2	1	1	4	10	0	9	1	9	11	3	3	0	1	1	5
G[Ins(T):R(8,)]C	9	7	2	5	2	2	7	3	12	6	8	1	5	8	7	7	0	3	5	4
G[Ins(T):R(8,)]G	8	6	1	3	3	7	5	2	6	2	7	4	5	5	3	2	2	3	1	4
Del(2,4):R1	2	5	7	1	3	2	7	9	9	4	8	5	11	12	0	5	2	7	5	6
Del(5,):R1	7	5	6	10	5	5	3	10	24	7	14	7	17	15	1	9	8	4	4	8
Del(2,8):U(1,2):R(2,4)	9	15	10	16	11	6	13	11	20	5	12	8	26	17	4	10	6	15	12	7
Del(2,):U(1,2):R(5,)	1	0	3	5	1	0	4	7	4	4	5	5	4	5	6	6	1	2	3	0
Del(3,):U(3,):R2	9	13	14	14	6	5	6	12	21	7	11	7	13	15	3	12	5	13	10	10
Del(3,):U(3,):R(3,)	9	3	5	6	6	7	6	9	15	4	13	7	16	7	13	17	8	4	6	4
Ins(2,4):R0	1	1	3	4	6	1	3	3	7	1	3	1	7	4	0	3	0	1	0	1
Ins(5,):R0	2	1	1	0	0	2	2	2	4	0	0	1	8	7	1	2	1	1	2	1
Ins(2,4):R1	7	4	4	6	5	1	4	9	7	1	2	5	25	14	4	5	0	3	2	8
Ins(5,):R1	6	8	2	5	4	2	4	13	13	5	5	6	42	39	4	3	1	0	5	3
Ins(2,):R(2,4)	4	3	6	5	7	3	5	3	6	4	5	0	7	14	4	3	1	1	4	1
Ins(2,):R(5,)	8	8	5	7	10	8	8	2	10	3	11	5	9	6	7	5	1	2	5	7
Del(2,5):M1	0	5	5	8	3	7	5	10	15	3	4	3	15	9	2	4	7	11	8	9
Del(3,5):M2	6	5	6	4	14	4	8	9	23	2	7	3	11	16	2	7	4	12	4	4
Del(4,5):M(3,4)	2	2	4	4	2	0	4	1	7	1	6	1	10	4	3	3	1	1	4	4
Del(6,):M1	4	6	6	11	6	3	4	10	28	3	8	9	9	12	1	3	3	14	2	5
Del(6,):M2	4	3	4	6	8	4	5	7	37	3	5	2	8	8	0	3	6	3	5	6
Del(6,):M3	3	3	2	4	9	2	2	5	29	0	6	3	2	8	1	2	4	5	1	3
Del(6,):M(4,)	5	1	4	4	4	4	5	6	36	4	8	6	5	4	2	1	3	3	4	3
Complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
