MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
A[Del(C):R8]G	7	20	1	2	13	6	7	0	4	0	0	3	0	0	0	0	1	2	2	1	0	1	3	1	7	1	0	2	1	5	9	4	14	6	1	5	6	5	9	4	4	1	4	0	2	0
A[Del(C):R8]T	21	37	13	18	34	24	24	1	16	0	1	19	3	0	0	1	3	3	3	0	0	0	2	0	17	5	0	6	14	25	35	11	34	23	13	19	32	15	33	21	13	13	15	6	3	1
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0	3	1	0	2	6	4	2	3	1	3	2	0	2	2	2	7	2	5	82	111	13	5	1	0	8	2	1	0	3	6	2	8	6	3	0	1	2	5	3	6	2	0	0	1	2
G[Del(C):R1]G	7	2	0	5	8	6	2	1	3	0	0	4	0	0	1	0	1	1	1	12	18	1	1	0	5	1	0	2	1	3	12	3	6	6	2	2	5	6	6	5	2	4	5	1	2	1
G[Del(C):R1]T	12	4	5	6	10	9	6	4	4	7	52	7	1	11	7	23	9	3	1	74	70	34	8	2	1	9	0	6	2	10	7	6	6	5	1	2	15	2	3	13	4	9	3	5	3	0
G[Del(C):R2]A	22	6	0	3	8	4	9	1	9	0	1	11	2	2	1	5	6	9	8	162	153	14	5	0	3	7	0	3	9	6	21	4	12	28	4	7	4	0	10	6	3	4	6	4	0	3
G[Del(C):R2]G	6	2	0	2	3	1	3	2	0	1	0	0	0	0	1	1	4	1	2	24	44	0	0	0	0	2	0	0	0	2	2	0	3	4	1	3	0	0	4	2	2	0	1	0	3	0
G[Del(C):R2]T	31	6	6	11	11	15	10	1	8	1	5	13	0	2	3	5	11	9	9	93	117	8	2	2	3	2	0	7	6	5	23	10	2	14	3	4	8	7	5	11	10	5	6	3	1	2
G[Del(C):R3]A	50	15	2	9	12	14	15	4	13	1	0	34	0	0	3	5	8	8	14	95	136	5	1	0	7	4	0	4	9	6	37	4	17	34	4	9	7	7	6	2	9	3	4	3	6	1
G[Del(C):R3]G	16	3	1	3	2	2	4	0	2	0	0	4	0	0	0	1	2	3	3	18	28	2	0	0	1	1	0	3	2	2	7	2	4	14	0	2	2	4	4	2	2	0	4	2	1	1
G[Del(C):R3]T	30	16	2	12	8	14	12	1	11	0	0	16	0	0	0	1	2	6	4	39	53	4	0	2	6	3	0	2	12	8	19	8	14	23	2	13	10	6	5	8	10	4	1	4	3	2
G[Del(C):R4]A	127	54	8	41	85	96	80	5	52	1	2	52	12	5	3	4	8	19	26	42	36	8	1	5	25	6	0	17	37	35	168	40	54	176	22	23	20	17	33	35	19	4	13	21	11	9
G[Del(C):R4]G	55	26	2	20	51	38	20	0	17	0	0	23	1	0	1	1	8	7	9	4	8	0	0	1	9	0	0	3	16	28	78	26	31	88	10	13	11	9	22	12	15	1	14	8	1	0
G[Del(C):R4]T	83	45	1	27	48	41	45	0	31	0	4	36	7	1	1	1	10	6	20	23	25	2	1	1	18	0	0	14	26	29	92	28	35	82	12	21	16	8	36	24	14	3	13	17	14	10
G[Del(C):R5]A	218	185	26	107	155	235	155	7	102	0	3	155	29	2	4	4	13	24	39	28	33	11	2	10	58	5	0	39	98	106	286	108	165	305	35	73	83	48	101	85	68	9	54	27	18	19
G[Del(C):R5]G	54	75	8	37	72	73	35	0	42	0	0	37	5	0	0	1	3	10	7	5	7	1	0	2	25	3	0	12	40	55	102	29	66	94	17	30	25	14	41	19	24	7	27	6	7	8
G[Del(C):R5]T	203	182	24	91	150	200	138	1	118	0	2	145	17	0	2	0	17	21	48	11	11	6	4	9	61	10	0	30	89	129	341	97	191	276	36	75	72	50	95	82	62	18	61	22	23	25
G[Del(C):R6]A	307	278	53	130	257	351	202	2	142	2	5	165	45	2	3	2	22	26	66	10	14	9	6	17	86	10	0	31	145	181	532	158	252	428	52	84	139	64	150	106	112	25	78	31	26	31
G[Del(C):R6]G	102	112	17	60	108	98	52	0	49	0	0	68	6	0	0	0	13	14	16	4	5	1	0	8	34	5	0	14	37	120	191	70	137	154	16	32	30	29	50	26	46	12	32	8	16	12
G[Del(C):R6]T	174	186	51	71	146	153	97	2	103	1	1	96	15	0	3	2	11	22	21	7	7	5	2	10	53	7	0	33	63	103	339	90	165	251	38	41	56	46	128	68	73	27	45	31	16	22
G[Del(C):R7]A	207	215	37	89	205	176	110	4	93	2	3	130	14	3	6	2	16	24	40	1	1	3	4	4	92	12	0	44	94	172	310	94	248	222	46	83	146	50	145	97	75	21	63	34	27	22
G[Del(C):R7]G	74	81	11	23	68	61	32	1	32	0	0	41	2	1	1	0	9	9	5	0	1	0	2	6	31	4	0	8	18	73	94	42	72	65	18	37	21	23	44	23	35	8	35	5	8	7
G[Del(C):R7]T	82	86	30	37	58	64	34	1	27	0	0	34	5	1	0	0	6	9	11	0	0	1	4	2	18	7	0	5	28	57	116	35	80	75	9	21	31	24	56	38	33	13	24	7	12	6
G[Del(C):R8]A	67	101	36	57	96	111	50	2	34	0	1	53	5	2	4	3	12	5	15	0	0	1	6	7	42	8	0	28	44	100	107	55	87	97	25	46	65	25	86	44	47	25	32	22	17	15
G[Del(C):R8]G	12	11	2	6	12	11	2	0	4	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	4	4	0	4	3	13	27	8	14	15	3	10	6	4	9	5	5	4	6	0	3	5
G[Del(C):R8]T	25	19	9	18	21	27	21	1	8	0	1	18	2	0	1	1	1	6	4	1	0	1	3	2	6	2	0	3	11	23	42	23	35	28	6	21	17	7	19	16	9	10	8	5	3	3
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	17	12	6	11	15	9	8	8	6	5	32	16	1	4	13	10	10	6	23	148	138	16	7	4	10	5	2	13	2	23	18	2	9	17	3	7	5	6	7	10	4	5	10	13	1	5
T[Del(C):R1]G	3	2	1	2	1	2	1	10	0	2	29	1	1	7	6	12	2	0	3	10	12	1	0	0	1	0	1	0	0	6	2	2	2	3	0	3	4	0	2	3	1	4	3	4	3	3
T[Del(C):R1]T	52	40	31	30	54	44	31	61	19	29	130	33	4	21	64	98	15	10	11	135	123	36	8	2	21	26	1	108	11	33	30	19	24	31	8	19	31	18	42	25	21	20	18	20	3	8
T[Del(C):R2]A	29	15	9	12	16	14	4	59	6	31	154	16	1	27	71	63	13	8	17	147	155	4	1	1	7	6	0	10	8	10	24	9	9	17	4	13	38	2	10	85	8	4	5	6	3	1
T[Del(C):R2]G	6	5	1	0	1	3	1	2	3	0	5	3	0	1	0	1	1	1	1	22	21	0	1	0	0	2	0	5	0	9	3	0	1	0	4	8	7	6	9	13	4	0	2	2	1	1
T[Del(C):R2]T	37	16	9	15	24	24	9	17	10	6	44	27	1	12	24	26	19	5	14	109	130	18	3	2	7	9	1	32	9	15	25	8	12	21	5	11	11	5	15	19	12	10	6	9	7	1
T[Del(C):R3]A	38	14	5	14	34	18	15	21	14	6	30	23	4	9	19	14	11	8	13	214	319	11	5	0	8	4	0	12	5	16	31	11	20	29	2	8	32	1	14	72	9	1	5	7	3	4
T[Del(C):R3]G	11	3	2	3	11	5	0	1	1	0	2	10	0	1	2	1	2	2	3	19	43	0	1	0	4	0	0	4	4	9	8	2	3	9	2	9	6	6	8	6	6	0	6	7	3	4
T[Del(C):R3]T	42	28	12	23	36	29	18	16	21	7	34	33	5	8	12	15	11	6	15	103	133	1	3	1	11	4	0	18	11	23	30	13	25	46	8	15	20	11	25	30	19	9	11	15	4	6
T[Del(C):R4]A	160	123	11	70	136	91	62	25	52	4	29	95	17	5	22	16	18	15	43	81	91	8	5	8	29	12	0	28	48	74	145	49	109	275	27	41	101	27	77	131	40	10	31	55	15	11
T[Del(C):R4]G	38	36	5	17	50	30	19	0	19	0	0	25	6	0	0	1	8	2	2	9	10	2	1	0	7	4	0	9	9	36	42	10	26	72	10	22	19	20	25	18	12	0	14	8	7	10
T[Del(C):R4]T	84	94	13	52	94	49	38	12	39	3	28	87	13	4	7	9	11	6	13	40	44	11	0	2	24	3	0	24	26	65	67	24	65	97	16	33	47	26	41	72	32	11	31	22	10	11
T[Del(C):R5]A	351	392	38	190	296	268	157	15	184	6	14	229	38	8	17	9	36	18	88	37	46	4	3	9	116	9	0	75	139	202	277	83	290	412	62	143	211	72	266	211	133	31	79	59	37	35
T[Del(C):R5]G	53	75	13	35	79	54	29	4	36	1	0	39	7	0	2	0	7	4	9	6	5	0	0	4	29	0	0	16	26	62	82	25	68	80	20	38	39	22	58	40	27	7	28	14	6	12
T[Del(C):R5]T	344	424	43	175	314	266	165	12	182	2	11	238	44	6	6	7	51	26	83	26	26	4	6	14	130	13	0	74	133	235	426	111	302	388	76	160	183	81	306	188	163	42	118	65	42	48
T[Del(C):R6]A	475	567	80	275	459	446	234	17	232	5	11	264	77	7	13	9	55	45	111	23	12	8	6	12	178	28	0	116	189	333	457	152	446	537	120	202	412	108	355	305	198	110	149	81	64	54
T[Del(C):R6]G	108	123	11	58	114	66	56	1	63	0	1	79	10	0	3	0	9	8	27	1	2	1	0	5	43	2	0	16	36	100	121	36	102	128	21	51	53	24	84	49	58	8	44	12	14	18
T[Del(C):R6]T	233	285	47	121	199	194	127	8	116	1	7	158	21	7	10	3	37	18	52	8	12	4	19	11	86	12	0	45	118	177	267	80	237	246	54	103	179	81	211	170	121	66	100	29	33	28
T[Del(C):R7]A	369	480	59	236	382	299	190	5	244	0	5	242	39	2	6	3	37	30	77	1	4	0	7	12	197	17	0	88	156	348	376	115	403	364	109	193	414	114	360	255	197	52	101	86	37	65
T[Del(C):R7]G	99	93	9	36	94	67	38	0	38	0	0	42	5	1	0	0	5	9	18	1	1	0	1	2	44	4	0	16	27	87	93	43	88	82	18	58	54	29	86	35	41	13	26	13	4	7
T[Del(C):R7]T	153	167	52	83	145	116	86	9	80	1	1	101	5	1	5	4	13	10	23	1	0	2	8	6	57	11	0	26	58	143	194	69	138	157	39	64	160	59	150	104	79	56	53	18	23	22
T[Del(C):R8]A	164	209	40	97	178	128	77	4	68	1	1	110	13	2	7	2	27	14	30	0	0	2	4	2	80	4	0	51	74	158	163	36	158	142	52	116	156	52	201	71	70	44	53	29	23	15
T[Del(C):R8]G	22	26	6	9	24	13	10	0	8	0	0	7	1	0	1	0	2	2	1	0	0	1	1	0	12	1	0	5	5	23	15	8	24	11	5	20	9	11	14	7	15	3	10	2	2	6
T[Del(C):R8]T	39	48	9	16	45	36	33	2	18	0	0	29	5	1	0	0	2	2	11	0	0	0	1	3	15	1	0	14	24	40	45	15	46	41	13	25	47	15	47	27	22	17	26	3	6	5
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	56	30	24	35	56	26	21	3	16	6	8	30	6	2	7	29	25	12	10	59	68	22	10	2	22	11	0	20	20	21	32	18	25	41	7	14	22	12	26	17	11	30	24	6	4	7
A[Del(T):R1]C	13	5	3	7	8	10	12	2	7	1	11	5	2	2	7	5	14	4	5	10	5	7	3	3	3	8	0	5	3	4	10	4	8	12	1	2	5	2	6	8	1	2	4	5	0	1
A[Del(T):R1]G	20	14	8	6	20	9	10	1	9	3	1	8	2	0	1	6	10	5	7	16	18	4	3	3	3	4	0	11	2	8	9	3	12	8	3	6	1	7	7	5	10	5	8	1	3	0
A[Del(T):R2]A	88	50	25	36	84	67	27	9	22	4	53	67	6	10	24	22	26	7	21	21	11	5	3	3	32	5	1	113	26	35	49	21	65	75	13	22	37	19	40	56	18	17	23	12	9	9
A[Del(T):R2]C	31	10	6	14	14	17	12	6	11	6	35	22	3	3	8	22	12	6	8	12	4	4	2	1	2	5	1	6	12	13	14	7	11	23	1	5	8	3	9	15	3	7	7	2	1	2
A[Del(T):R2]G	30	37	8	10	25	29	18	3	9	2	28	16	3	5	2	8	12	3	6	12	25	2	1	3	10	3	1	6	15	11	19	9	20	16	4	10	8	6	10	25	4	7	9	2	1	3
A[Del(T):R3]A	118	98	42	47	105	115	57	36	48	40	472	75	8	37	126	142	32	7	36	32	17	19	18	4	47	18	1	25	46	59	69	36	67	96	18	54	178	38	58	560	34	40	41	26	12	13
A[Del(T):R3]C	46	37	9	14	33	27	35	58	20	36	449	27	3	41	114	117	23	10	22	8	3	12	4	2	11	9	0	7	12	23	41	18	31	49	4	15	138	12	14	533	15	12	25	12	1	4
A[Del(T):R3]G	51	62	14	31	35	29	28	16	30	16	267	42	5	17	62	65	18	3	17	12	12	9	4	8	17	2	0	19	18	36	33	26	30	40	8	13	104	14	32	408	8	14	18	6	6	4
A[Del(T):R4]A	279	234	58	191	277	226	176	99	203	55	637	237	34	83	222	203	38	12	57	16	15	26	24	16	88	37	2	59	129	179	171	102	203	230	66	106	1394	94	195	2562	97	98	134	54	34	40
A[Del(T):R4]C	190	165	60	120	174	137	131	93	157	35	439	159	27	51	143	115	28	10	32	14	2	33	14	26	52	31	1	28	83	148	156	78	115	173	26	51	430	62	113	855	59	61	95	26	18	23
A[Del(T):R4]G	150	164	39	119	136	100	112	29	115	14	244	112	27	26	80	66	21	6	40	17	10	7	5	16	44	17	0	22	68	99	117	61	123	151	23	54	370	50	100	809	49	32	66	14	16	25
A[Del(T):R5]A	1236	1291	273	931	1164	990	887	129	926	87	970	945	203	96	398	303	112	79	282	23	8	52	35	111	426	120	3	236	651	995	1041	497	1091	1238	283	445	4595	437	792	6437	406	270	500	174	137	165
A[Del(T):R5]C	494	424	161	311	454	431	445	68	459	40	330	436	77	62	131	149	38	27	113	10	5	43	26	70	132	81	3	80	258	350	536	268	378	539	108	157	737	200	314	1031	171	137	240	79	58	70
A[Del(T):R5]G	600	859	187	587	638	556	439	47	525	21	272	560	127	22	99	86	64	45	153	18	4	19	23	60	256	64	0	131	380	546	549	301	675	687	143	274	929	259	497	1426	257	147	280	89	72	88
A[Del(T):R6]A	2253	2489	715	1844	2213	1860	1779	177	1874	81	869	1986	414	113	457	307	182	117	481	19	8	77	103	226	899	259	5	402	1370	2231	2138	1028	2078	2221	524	855	4649	942	1726	5855	918	647	1176	321	298	312
A[Del(T):R6]C	810	774	246	484	599	614	589	70	561	30	356	593	88	59	151	153	60	58	180	7	1	37	42	96	213	107	3	136	419	548	1002	370	646	859	130	213	1135	260	472	1335	276	193	302	91	69	59
A[Del(T):R6]G	1199	1565	362	987	1124	865	794	52	860	33	313	875	211	40	168	140	111	99	262	14	4	32	27	145	433	99	6	199	701	970	1362	548	1092	1274	243	454	1887	442	939	2258	451	258	446	127	156	125
A[Del(T):R7]A	3040	3476	993	2164	2866	2466	2201	235	2384	61	485	2352	346	143	400	241	234	156	640	9	3	88	129	261	1140	364	3	443	1857	2952	2809	1408	2755	2569	679	1159	3572	1277	2458	4097	1286	802	1400	373	334	313
A[Del(T):R7]C	1908	1902	599	1085	1521	1589	1445	148	1307	58	426	1297	199	134	270	213	168	126	433	9	5	117	108	161	545	239	1	272	1129	1366	2399	995	1624	1756	329	563	1761	627	1142	2061	582	490	711	194	174	149
A[Del(T):R7]G	2554	3234	846	1779	2435	2053	1716	94	1821	45	384	1875	276	92	261	178	229	192	515	6	1	57	80	206	929	200	0	412	1361	2327	2566	1137	2459	2308	524	1006	3026	986	2042	3880	968	608	1004	287	238	274
A[Del(T):R8]A	4263	4697	1660	2399	4148	3802	2664	424	2608	79	278	3308	114	195	571	244	366	197	815	9	0	99	166	216	1654	380	4	620	2204	4055	3065	1849	3547	2723	1072	1747	3876	1972	3668	4317	1896	1309	1913	525	440	387
A[Del(T):R8]C	2660	2789	992	1429	2255	2653	1841	140	1363	45	149	1753	55	83	257	139	218	163	629	12	0	147	141	191	834	256	4	311	1522	2034	2784	1576	2295	1937	426	862	1412	1039	1827	1696	905	860	1071	322	202	212
A[Del(T):R8]G	2710	3470	1118	1723	2798	2360	1638	70	1606	15	97	2087	78	41	120	83	223	178	490	5	2	35	108	138	1114	196	4	378	1329	2542	1911	1193	2258	1562	526	1230	1739	1284	2370	1861	1158	814	1194	306	262	276
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	19	4	6	6	8	11	11	3	11	3	4	22	1	2	1	10	9	3	9	29	39	12	4	3	3	4	1	8	4	6	11	5	11	24	1	6	8	1	5	6	6	7	11	5	3	2
C[Del(T):R1]C	32	14	10	14	28	16	14	3	16	0	4	18	0	4	2	11	8	7	2	17	15	8	6	8	15	9	1	8	12	18	33	18	18	30	7	13	10	9	8	15	10	13	15	4	7	8
C[Del(T):R1]G	18	12	3	6	11	4	5	2	13	1	0	7	0	1	1	6	8	4	6	38	26	4	4	4	4	13	2	8	1	6	13	9	8	20	3	6	4	4	6	3	7	10	9	1	3	1
C[Del(T):R2]A	21	11	3	12	19	15	9	0	12	0	16	18	1	0	5	10	7	1	9	28	71	1	0	4	5	8	0	18	7	7	16	13	16	34	3	6	7	2	8	16	2	6	20	7	1	1
C[Del(T):R2]C	41	12	3	16	33	11	12	2	20	2	24	19	2	2	4	9	16	4	15	25	42	3	2	5	5	5	0	10	6	14	20	10	13	39	5	8	12	7	5	33	3	6	17	7	3	5
C[Del(T):R2]G	25	16	2	13	22	5	21	1	13	0	10	14	1	3	4	2	10	3	7	37	74	4	2	1	3	6	0	3	11	13	15	9	22	45	4	4	10	11	11	36	4	1	16	9	1	1
C[Del(T):R3]A	73	28	14	13	25	28	14	1	8	2	42	27	3	5	8	9	13	5	16	22	22	8	3	1	7	7	1	8	12	19	14	15	26	57	9	10	15	11	20	75	3	9	28	11	2	3
C[Del(T):R3]C	36	35	5	17	30	27	19	3	21	1	32	27	3	5	8	9	15	10	15	20	10	5	4	5	15	4	0	11	12	21	32	17	20	54	6	7	25	6	12	53	9	10	22	6	6	6
C[Del(T):R3]G	33	12	3	15	20	14	9	1	20	1	16	26	2	3	4	8	15	6	8	28	27	6	5	2	4	5	1	9	7	19	13	11	12	19	6	9	22	7	14	44	7	6	25	9	3	5
C[Del(T):R4]A	215	234	43	159	228	169	177	11	219	3	70	180	21	3	32	31	27	27	35	25	28	13	8	23	66	22	1	42	130	178	173	109	176	214	48	100	304	100	122	606	66	41	139	30	20	24
C[Del(T):R4]C	244	274	66	171	291	211	191	12	270	4	66	207	35	6	19	23	30	20	54	18	16	15	11	31	61	45	0	45	132	221	211	133	249	257	43	101	214	125	170	329	79	55	167	33	27	42
C[Del(T):R4]G	194	210	37	155	203	163	151	4	203	2	30	163	25	6	7	16	13	15	39	31	27	16	8	16	61	19	0	22	104	124	144	96	181	200	45	73	148	75	128	297	74	30	100	31	32	29
C[Del(T):R5]A	525	587	95	393	527	388	388	30	463	12	83	440	119	21	47	27	29	33	109	20	9	21	8	40	170	43	1	90	299	439	391	223	452	599	107	206	527	222	391	768	159	97	288	62	48	90
C[Del(T):R5]C	539	637	125	408	594	521	444	22	583	3	52	512	105	20	31	21	49	51	116	15	6	24	19	78	178	60	1	110	342	529	502	304	521	609	110	242	341	263	400	433	214	141	359	80	66	74
C[Del(T):R5]G	394	584	86	360	428	358	289	5	373	0	27	325	67	2	17	18	33	20	85	13	8	7	13	45	143	39	0	64	250	322	303	172	421	461	99	180	254	175	312	296	159	96	218	62	37	70
C[Del(T):R6]A	883	1195	250	894	1011	732	699	101	846	22	217	774	185	66	154	75	71	52	175	7	9	25	30	73	341	91	1	172	601	953	750	473	901	925	198	399	1142	450	752	1314	338	211	505	115	111	123
C[Del(T):R6]C	504	536	165	389	516	436	382	50	454	12	78	379	59	29	65	49	47	42	105	12	2	20	24	44	161	93	0	94	323	461	609	293	448	556	85	162	571	211	299	581	173	107	233	70	44	53
C[Del(T):R6]G	429	632	139	439	455	373	310	10	379	4	72	375	97	19	25	9	32	21	89	11	7	12	8	52	171	40	0	99	270	450	411	199	466	494	82	203	465	182	397	557	144	113	199	45	49	80
C[Del(T):R7]A	2148	2795	601	1660	2133	1868	1455	305	1562	68	298	1628	281	185	363	170	190	108	471	13	0	50	71	170	866	142	4	356	1371	1916	1814	958	2183	2106	415	871	1988	816	1799	1709	766	519	858	297	231	245
