MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241
G[Del(C):R1]G	0	0	0	4	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	7	0	0	0	1	0	1	0	1	1	0	0	0
G[Del(C):R1]T	7	6	1	2	0	1	2	2	5	3	3	3	1	2	3	0	0	1	6	2	0	0	12	4	0	1	0	2	1	3	2	3	1	0	2
G[Del(C):R2]A	4	1	0	5	2	3	1	1	6	4	0	4	1	4	14	0	0	3	3	0	0	0	22	1	0	2	0	0	1	9	5	1	0	1	14
G[Del(C):R2]G	1	0	0	0	1	1	0	0	0	0	1	1	1	0	2	0	0	1	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2
G[Del(C):R2]T	4	2	0	2	0	1	2	1	4	3	2	0	2	2	6	0	0	0	4	1	0	0	31	2	0	1	0	0	1	2	5	0	0	1	4
G[Del(C):R3]A	3	0	0	0	0	0	1	2	4	2	3	1	2	4	7	0	2	0	0	1	0	0	50	0	1	1	0	1	0	8	4	1	0	1	10
G[Del(C):R3]G	0	1	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	16	0	0	0	0	0	0	2	0	0	0	0	0
G[Del(C):R3]T	2	0	0	0	0	0	0	2	0	0	0	1	2	2	1	0	0	0	0	1	0	0	30	0	0	0	1	0	0	2	3	0	1	0	2
G[Del(C):R4]A	1	1	0	2	0	2	0	0	1	0	0	0	0	0	5	0	2	0	0	2	0	0	127	1	0	0	0	0	0	1	1	0	0	0	5
G[Del(C):R4]G	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0	1	2	0	0	1	0	0	0	0	0
G[Del(C):R4]T	1	0	0	0	1	1	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	83	1	0	0	0	0	0	2	0	0	0	0	2
G[Del(C):R5]A	0	0	0	0	0	1	0	0	2	0	1	3	0	0	0	0	4	0	2	1	0	0	218	0	0	0	0	0	0	0	1	1	0	0	4
G[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	54	0	0	0	0	0	0	0	1	0	0	0	1
G[Del(C):R5]T	2	0	0	1	0	1	0	2	2	0	1	0	0	1	0	0	4	0	0	0	0	0	203	1	0	1	0	0	0	1	0	0	1	0	0
G[Del(C):R6]A	1	1	0	0	0	0	0	1	2	2	0	1	0	1	2	0	6	0	0	0	0	0	307	0	0	0	0	0	0	0	1	0	0	0	2
G[Del(C):R6]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R6]T	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	174	0	0	0	1	0	0	0	0	0	0	0	1
G[Del(C):R7]A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	207	0	0	0	0	0	0	0	0	1	0	0	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]T	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	11	0	5	8	0	3	0	3	13	6	6	3	4	0	17	0	1	2	3	4	2	3	17	3	0	4	3	1	1	5	13	1	0	1	6
T[Del(C):R1]G	4	0	0	0	0	3	1	0	0	1	1	1	1	0	2	1	0	1	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	1
T[Del(C):R1]T	58	7	13	19	3	7	5	8	44	16	15	10	1	2	6	0	1	1	14	4	0	0	52	12	2	4	2	0	0	8	7	1	0	1	3
T[Del(C):R2]A	21	3	2	11	1	4	3	1	8	1	1	9	2	4	9	0	0	0	2	2	0	1	29	1	1	1	1	1	0	7	2	3	1	1	19
T[Del(C):R2]G	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	1	0	0	0	0	2
T[Del(C):R2]T	26	3	3	10	3	4	2	0	7	11	5	7	1	4	10	0	0	3	1	4	0	3	37	3	0	4	0	1	2	4	1	2	4	3	6
T[Del(C):R3]A	12	0	0	2	0	4	0	0	1	4	1	6	2	3	17	0	1	1	1	0	0	0	38	2	1	1	1	3	1	9	1	0	0	0	9
T[Del(C):R3]G	2	0	1	1	0	1	0	2	0	2	1	1	1	0	0	0	0	0	0	1	0	0	11	0	0	0	2	0	0	1	0	0	0	0	1
T[Del(C):R3]T	9	0	2	2	0	2	1	0	1	4	2	4	0	2	2	0	0	1	1	1	1	0	42	1	0	1	0	0	0	1	4	1	0	0	3
T[Del(C):R4]A	6	2	0	0	0	1	4	3	2	1	0	3	0	2	7	0	1	0	2	1	0	0	160	3	1	2	0	0	0	2	0	0	0	1	7
T[Del(C):R4]G	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	2
T[Del(C):R4]T	1	0	1	1	0	3	2	0	1	3	0	1	0	1	5	0	3	1	1	0	0	0	84	0	0	1	0	1	0	1	0	0	0	1	4
T[Del(C):R5]A	1	0	0	3	0	1	2	0	0	0	1	0	0	0	4	0	2	2	4	0	0	1	351	0	0	0	0	0	0	0	0	0	0	0	1
T[Del(C):R5]G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	53	0	0	1	0	0	0	0	0	0	0	0	0
T[Del(C):R5]T	1	1	0	0	0	1	0	0	1	0	0	2	1	0	2	1	6	1	0	1	0	0	344	0	0	0	0	0	0	1	1	0	0	0	1
T[Del(C):R6]A	1	0	0	0	0	0	0	0	2	0	1	2	0	0	2	0	7	0	0	1	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R6]G	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	108	0	0	0	0	0	0	1	0	0	0	0	0
T[Del(C):R6]T	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	7	0	0	0	0	0	233	0	0	2	0	0	0	0	0	0	0	0	1
T[Del(C):R7]A	1	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	3	1	0	0	0	0	369	0	0	0	0	0	0	0	1	0	0	0	0
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R7]T	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]A	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R8]T	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	5	2	3	3	1	6	2	3	5	5	5	4	4	4	10	0	1	4	2	5	1	0	56	3	1	1	1	0	4	7	3	3	0	0	6
A[Del(T):R1]C	2	0	2	0	0	2	0	0	0	4	1	2	1	4	4	0	2	1	1	3	0	0	13	1	0	2	1	0	1	2	1	0	1	1	2
A[Del(T):R1]G	3	3	3	6	0	5	1	0	7	1	1	4	1	4	4	0	1	1	2	3	0	1	20	2	0	0	1	1	1	2	4	1	1	0	3
A[Del(T):R2]A	4	0	0	3	1	4	0	0	2	2	3	1	1	2	7	0	0	0	2	5	0	4	88	2	1	1	2	0	2	3	2	4	0	1	7
A[Del(T):R2]C	0	0	0	0	0	2	1	1	0	1	0	6	2	3	2	0	2	4	3	2	0	0	31	0	2	3	0	1	1	5	6	1	0	0	2
A[Del(T):R2]G	4	3	0	1	0	2	1	2	2	2	1	1	2	1	4	0	0	0	2	2	0	0	30	0	0	3	1	1	1	3	2	1	0	0	2
A[Del(T):R3]A	5	4	1	6	2	3	0	5	6	8	1	5	1	1	4	0	1	0	1	4	0	0	118	2	1	1	0	0	0	5	4	2	0	1	6
A[Del(T):R3]C	0	1	1	2	3	4	1	1	2	1	0	2	1	2	2	0	0	3	1	2	0	1	46	0	1	0	3	0	0	7	4	0	0	0	4
A[Del(T):R3]G	1	1	1	0	0	2	1	3	6	2	0	1	1	2	2	0	0	0	3	1	0	1	51	0	1	1	1	1	0	7	3	2	0	0	6
A[Del(T):R4]A	4	2	0	4	1	3	2	0	8	3	2	5	1	1	5	0	8	1	1	4	1	3	279	1	1	1	2	0	0	3	2	1	0	1	3
A[Del(T):R4]C	2	2	3	1	0	0	0	1	2	5	3	5	1	3	1	0	5	1	1	2	1	0	190	0	2	0	1	0	1	0	2	1	0	2	10
A[Del(T):R4]G	1	1	0	1	2	3	0	0	0	0	0	2	0	3	2	0	1	1	1	0	0	0	150	3	0	0	1	0	0	1	0	0	0	1	0
A[Del(T):R5]A	9	4	0	4	0	3	2	7	11	5	1	7	2	1	2	0	20	3	3	1	0	2	1236	0	0	4	1	0	0	2	3	3	0	2	5
A[Del(T):R5]C	1	1	0	3	0	2	0	2	6	2	2	3	0	1	1	0	13	0	2	1	1	2	494	0	1	1	0	0	0	4	3	2	0	1	2
A[Del(T):R5]G	5	5	0	2	1	1	0	1	4	4	1	2	1	2	1	0	19	1	1	0	0	0	600	2	0	0	3	0	1	2	2	2	0	1	3
A[Del(T):R6]A	8	4	3	10	1	0	2	6	11	2	3	16	2	2	5	0	43	2	3	0	0	4	2253	2	0	2	0	1	0	2	1	1	0	1	0
A[Del(T):R6]C	6	4	4	2	1	0	0	3	9	5	4	4	1	0	1	0	14	3	2	1	0	0	810	0	0	1	0	0	1	0	0	0	0	0	2
A[Del(T):R6]G	4	1	2	5	0	3	2	1	5	5	2	5	0	1	4	0	29	0	2	1	0	1	1199	0	0	0	4	0	0	1	1	0	0	1	2
A[Del(T):R7]A	21	5	0	9	1	0	1	3	12	3	6	12	1	2	0	0	28	0	2	0	0	2	3040	2	0	2	1	0	1	0	0	4	0	0	3
A[Del(T):R7]C	9	5	1	8	1	1	2	10	16	7	3	16	0	1	2	0	19	0	1	2	0	3	1908	0	2	3	1	0	0	0	1	3	0	1	3
A[Del(T):R7]G	10	3	4	4	0	1	1	5	12	2	6	7	0	0	0	0	17	0	1	0	0	1	2554	1	0	0	1	0	0	1	1	1	0	0	2
A[Del(T):R8]A	16	11	2	15	0	2	1	18	17	9	4	14	1	1	0	0	12	0	1	1	0	1	4263	0	1	1	0	0	0	0	0	4	0	1	1
A[Del(T):R8]C	10	5	6	6	0	2	0	5	23	6	7	12	0	0	0	0	15	0	1	0	0	0	2660	0	0	0	2	0	0	0	1	1	0	0	1
A[Del(T):R8]G	7	3	0	4	0	0	0	4	11	3	4	6	0	0	0	0	10	0	0	0	0	0	2710	0	0	0	0	0	0	1	0	3	0	0	1
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	6	2	0	5	1	1	2	1	1	1	5	0	1	4	6	0	2	3	5	2	0	1	19	0	2	1	2	0	2	5	2	2	0	1	7
C[Del(T):R1]C	0	0	2	1	0	4	0	3	1	1	1	0	0	0	5	0	4	3	2	1	0	3	32	0	1	0	0	0	0	4	2	1	0	1	7
C[Del(T):R1]G	2	0	1	3	0	5	0	2	1	2	1	4	1	3	9	0	1	0	6	2	1	4	18	1	0	1	0	0	2	5	2	2	1	2	11
C[Del(T):R2]A	2	1	2	0	0	4	0	3	1	1	1	0	1	1	4	0	0	0	1	2	0	0	21	1	2	3	0	1	0	4	4	2	1	1	3
C[Del(T):R2]C	4	0	0	1	0	2	0	0	3	0	1	1	0	3	3	0	1	0	2	0	0	0	41	1	0	0	0	0	0	2	1	1	0	1	2
C[Del(T):R2]G	0	1	0	2	0	4	0	1	0	4	3	1	0	2	3	0	0	0	2	3	0	4	25	1	0	1	0	0	0	8	1	2	2	0	3
C[Del(T):R3]A	4	3	0	1	1	6	0	1	3	2	0	0	0	0	2	1	0	1	2	4	1	1	73	3	1	2	0	0	1	0	5	0	0	1	4
C[Del(T):R3]C	3	1	0	1	0	1	2	1	0	4	1	1	1	1	1	0	3	0	1	2	0	0	36	3	1	1	0	0	0	2	2	0	0	0	3
C[Del(T):R3]G	2	1	0	3	0	3	1	3	2	1	1	4	1	2	1	0	3	1	0	2	0	0	33	0	1	1	1	0	0	8	4	0	1	1	5
C[Del(T):R4]A	3	2	1	1	0	0	1	1	2	2	3	3	0	2	3	0	7	2	1	6	0	1	215	0	1	1	1	0	2	0	2	0	1	0	3
C[Del(T):R4]C	1	2	1	0	0	7	0	0	2	1	3	2	0	1	5	0	3	2	1	1	0	0	244	4	0	2	1	0	2	2	3	0	1	1	4
C[Del(T):R4]G	5	0	0	2	2	5	1	4	8	0	2	4	1	2	3	0	0	0	3	1	0	0	194	0	2	0	1	0	1	1	3	1	1	0	2
C[Del(T):R5]A	3	2	1	5	0	0	0	2	3	1	0	3	1	0	1	0	8	0	0	1	0	1	525	1	0	0	0	1	0	1	0	1	1	2	2
C[Del(T):R5]C	4	0	1	2	0	2	1	1	2	0	0	6	0	1	1	0	11	1	1	2	0	0	539	1	1	0	0	0	0	3	2	1	0	2	3
C[Del(T):R5]G	0	1	0	0	0	0	0	0	3	3	0	3	0	2	0	0	5	0	1	1	0	1	394	1	0	0	0	0	0	0	1	2	0	2	3
C[Del(T):R6]A	7	3	1	7	0	1	0	1	1	1	0	2	0	1	0	0	19	0	1	0	0	2	883	1	0	0	0	0	0	0	0	0	0	1	4
C[Del(T):R6]C	3	1	1	2	0	2	1	1	3	0	0	2	0	0	0	0	10	0	1	2	0	1	504	0	2	2	0	0	0	0	0	0	0	0	0
C[Del(T):R6]G	5	2	0	2	0	2	0	0	4	1	2	4	0	0	0	0	9	0	0	0	0	0	429	1	0	0	1	0	1	0	1	0	0	0	2
C[Del(T):R7]A	13	5	3	5	1	1	0	6	16	0	1	7	0	1	2	0	19	0	0	0	0	1	2148	1	0	0	0	0	0	0	1	1	0	0	3
C[Del(T):R7]C	8	2	1	1	0	0	2	4	8	3	4	7	0	1	3	0	17	1	0	0	0	0	2246	0	0	2	0	0	0	1	1	1	0	0	4
C[Del(T):R7]G	11	2	1	7	0	2	0	3	10	1	1	11	0	0	0	0	27	1	0	1	0	0	2364	1	0	0	0	0	0	0	0	1	0	0	1
C[Del(T):R8]A	13	6	2	7	0	0	1	10	18	5	4	10	0	0	1	0	13	0	1	0	0	4	3397	0	0	1	0	0	0	0	1	1	0	2	0
C[Del(T):R8]C	17	2	0	7	0	1	0	4	18	3	3	3	0	0	1	0	14	0	1	0	0	1	3126	0	1	0	1	0	0	0	1	4	0	0	2
C[Del(T):R8]G	8	6	1	5	0	0	0	5	19	1	1	8	0	0	0	0	19	0	0	1	0	0	3788	0	0	1	1	0	0	1	1	2	0	0	2
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	1	1	0	2	0	5	2	0	2	1	0	5	0	2	1	0	0	0	3	0	0	1	9	1	0	1	0	0	1	3	1	0	0	0	2
G[Del(T):R1]C	1	0	0	1	0	0	0	0	0	2	0	2	1	1	0	1	0	0	0	1	0	0	3	0	2	0	0	0	0	2	3	0	0	0	1
G[Del(T):R1]G	4	1	0	2	0	1	1	0	1	2	1	2	1	1	3	0	1	0	0	3	0	1	29	2	1	0	1	0	0	3	6	0	0	2	1
G[Del(T):R2]A	2	1	2	1	1	5	1	0	0	0	1	1	1	0	4	0	0	0	2	2	0	0	16	0	0	0	0	0	0	1	1	0	0	2	0
G[Del(T):R2]C	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	10	1	0	1	1	0	0	1	1	1	0	1	2
G[Del(T):R2]G	3	0	1	0	0	2	0	1	0	0	1	2	0	1	1	0	1	0	1	3	0	1	15	1	0	1	1	0	0	2	0	0	0	1	2
G[Del(T):R3]A	1	0	0	1	0	1	3	2	0	2	0	1	0	0	5	0	0	0	1	3	0	2	43	3	1	2	1	0	0	2	3	1	0	0	1
G[Del(T):R3]C	0	0	1	0	1	1	0	2	0	1	1	2	0	1	1	0	1	0	0	1	1	1	65	2	1	0	1	0	0	1	4	0	2	1	4
G[Del(T):R3]G	0	0	0	1	1	2	0	1	1	0	0	2	0	1	3	0	2	0	3	0	0	0	41	1	0	0	0	0	0	2	2	0	0	1	2
G[Del(T):R4]A	0	0	0	0	0	3	1	1	4	2	3	3	1	1	2	0	5	0	1	2	0	0	203	1	0	1	0	0	0	1	4	0	0	1	2
G[Del(T):R4]C	2	0	2	1	0	2	1	2	1	0	1	4	1	2	1	0	6	1	2	2	0	0	176	3	0	0	0	0	0	1	4	2	0	0	5
G[Del(T):R4]G	4	1	0	2	1	1	0	4	2	2	1	1	0	0	4	0	8	0	2	0	0	0	181	4	2	0	1	0	1	4	1	0	0	0	3
G[Del(T):R5]A	5	2	1	1	0	1	0	2	0	1	0	5	0	1	2	0	13	0	1	1	0	1	545	2	1	1	1	0	1	0	2	0	0	0	0
G[Del(T):R5]C	5	0	1	2	0	1	0	1	2	0	1	3	0	0	2	0	6	1	1	2	0	0	344	1	0	1	1	0	0	0	0	0	0	0	2
G[Del(T):R5]G	3	0	0	2	0	1	0	2	3	1	2	2	1	1	1	0	12	0	0	1	0	0	404	0	1	0	0	0	0	0	1	1	0	3	0
G[Del(T):R6]A	3	1	2	2	0	0	0	1	2	2	0	0	0	2	2	0	16	0	0	0	0	1	716	0	0	0	0	0	0	0	2	0	0	0	1
G[Del(T):R6]C	0	0	0	1	1	0	0	0	4	1	1	2	0	0	1	0	7	0	0	0	0	0	391	1	0	0	0	0	0	0	0	1	0	0	1
G[Del(T):R6]G	3	1	1	0	0	0	0	0	2	2	2	0	0	0	1	0	8	0	0	1	0	0	410	0	0	1	0	0	0	0	0	2	0	0	1
G[Del(T):R7]A	3	3	1	3	0	0	0	1	5	1	1	5	0	0	0	0	25	0	3	0	0	1	1297	0	0	0	0	0	0	1	0	0	0	0	1
G[Del(T):R7]C	4	1	1	1	2	1	1	4	3	3	2	4	1	0	3	1	9	0	0	0	0	0	1250	0	0	2	0	0	0	0	0	0	0	0	0
G[Del(T):R7]G	4	0	0	4	1	0	0	0	3	0	1	3	0	0	1	0	15	0	1	0	0	1	1176	0	0	0	0	0	0	0	0	1	0	0	0
G[Del(T):R8]A	5	1	0	6	0	0	1	3	4	1	3	3	0	0	0	0	13	0	0	0	0	0	1860	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R8]C	3	2	0	6	0	1	0	1	5	1	1	2	0	1	0	0	6	0	0	1	0	0	1326	0	1	0	0	0	0	0	1	0	0	0	1
G[Del(T):R8]G	9	3	1	2	0	1	0	3	5	1	0	3	0	0	0	0	4	0	0	0	0	0	1471	0	0	0	0	0	0	0	0	1	0	0	1
G[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	12	1	0	0	0	1	0	11	4	2	13	2	0	0	2	0	0	0	2	1	0	0	136	0	0	1	0	0	0	0	1	1	0	1	1
A[Ins(C):R0]G	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]T	4	1	0	1	0	0	0	1	3	1	6	0	0	0	2	0	0	0	0	0	0	0	45	1	0	0	0	0	0	0	1	0	0	0	1
