MutationType	CPCT02011098T	WIDE01010618T	WIDE01010310T	CPCT02080230T	CPCT02010914T	DRUP01010057T	CPCT02010635T	WIDE01010556T	WIDE01010540T
G[Del(C):R2]A	1	1	3	2	0	1	2	9	3
G[Del(C):R2]G	0	0	0	0	0	0	0	0	1
G[Del(C):R2]T	0	3	1	1	0	0	0	3	1
G[Del(C):R3]A	0	1	1	0	0	2	2	6	1
G[Del(C):R3]G	1	0	0	0	0	0	0	2	1
G[Del(C):R3]T	0	1	1	0	0	2	2	2	1
G[Del(C):R4]A	0	1	1	0	0	0	0	2	0
G[Del(C):R4]G	0	1	1	0	0	0	0	1	0
G[Del(C):R4]T	0	0	0	0	0	0	0	2	0
G[Del(C):R5]A	1	0	0	0	0	0	1	0	0
G[Del(C):R5]G	0	0	0	0	0	0	0	0	0
G[Del(C):R5]T	0	0	0	0	0	0	0	0	0
G[Del(C):R6]A	0	0	0	0	0	0	0	0	0
G[Del(C):R6]G	0	0	0	0	0	0	0	0	0
G[Del(C):R6]T	0	0	2	0	0	0	0	1	0
G[Del(C):R7]A	0	0	0	0	0	0	0	3	0
G[Del(C):R7]G	0	0	0	0	0	1	1	0	0
G[Del(C):R7]T	0	0	0	0	0	0	0	1	0
G[Del(C):R8]A	0	0	1	0	0	0	0	2	0
G[Del(C):R8]G	0	0	0	0	0	0	0	0	0
G[Del(C):R8]T	0	0	0	0	0	1	0	2	0
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	1	1	2	1	0	4	4	8	3
T[Del(C):R1]G	0	0	0	1	0	0	0	1	0
T[Del(C):R1]T	0	6	3	1	3	3	0	13	7
T[Del(C):R2]A	0	0	1	1	1	3	1	7	2
T[Del(C):R2]G	0	0	0	0	0	1	1	0	0
T[Del(C):R2]T	1	5	2	2	1	1	1	15	4
T[Del(C):R3]A	0	0	0	1	0	7	6	4	2
T[Del(C):R3]G	0	0	1	0	0	1	1	2	0
T[Del(C):R3]T	1	1	1	1	2	1	1	5	0
T[Del(C):R4]A	0	0	0	2	0	1	1	2	0
T[Del(C):R4]G	0	0	0	1	0	0	0	2	0
T[Del(C):R4]T	0	0	0	1	0	2	2	1	3
T[Del(C):R5]A	0	0	1	0	0	0	0	2	0
T[Del(C):R5]G	0	0	0	0	0	0	0	0	0
T[Del(C):R5]T	0	1	0	1	0	0	0	1	1
T[Del(C):R6]A	0	1	0	1	0	1	1	2	0
T[Del(C):R6]G	0	0	0	0	0	1	1	0	0
T[Del(C):R6]T	0	0	0	1	0	0	0	2	0
T[Del(C):R7]A	0	1	0	0	0	0	0	2	1
T[Del(C):R7]G	0	0	0	0	0	0	0	0	0
T[Del(C):R7]T	0	0	0	0	0	0	0	2	0
T[Del(C):R8]A	0	0	0	0	0	1	0	0	0
T[Del(C):R8]G	0	0	1	0	0	0	0	0	0
T[Del(C):R8]T	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	2	2	5	2	0	2	2	17	2
A[Del(T):R1]C	0	0	1	2	0	1	2	9	0
A[Del(T):R1]G	1	0	2	1	2	3	2	1	1
A[Del(T):R2]A	1	1	0	2	2	4	5	6	1
A[Del(T):R2]C	0	3	0	0	0	1	1	3	0
A[Del(T):R2]G	1	0	0	2	0	2	2	6	0
A[Del(T):R3]A	0	0	1	1	1	2	2	4	1
A[Del(T):R3]C	0	0	1	0	0	2	2	3	1
A[Del(T):R3]G	0	0	4	3	0	1	0	2	1
A[Del(T):R4]A	1	0	3	0	0	5	3	9	1
A[Del(T):R4]C	0	0	1	2	0	0	1	6	0
A[Del(T):R4]G	0	0	2	1	0	1	1	10	0
A[Del(T):R5]A	0	3	5	2	1	4	4	10	1
A[Del(T):R5]C	0	1	3	1	0	0	0	9	0
A[Del(T):R5]G	0	0	0	0	0	0	0	6	0
A[Del(T):R6]A	0	2	9	0	0	0	2	39	1
A[Del(T):R6]C	0	3	3	0	0	2	1	16	2
A[Del(T):R6]G	0	0	3	0	1	2	2	12	1
A[Del(T):R7]A	0	3	6	0	0	1	2	41	2
A[Del(T):R7]C	1	5	8	0	0	1	1	38	3
A[Del(T):R7]G	0	2	4	0	0	2	2	26	2
A[Del(T):R8]A	0	3	9	0	0	2	2	84	3
A[Del(T):R8]C	1	2	6	2	0	4	4	68	1
A[Del(T):R8]G	0	2	7	0	0	2	1	47	0
A[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0
C[Del(T):R1]A	3	3	1	3	0	0	0	5	1
C[Del(T):R1]C	0	2	0	1	0	1	1	10	1
C[Del(T):R1]G	0	1	2	2	3	6	5	4	0
C[Del(T):R2]A	0	0	1	1	1	1	1	2	0
C[Del(T):R2]C	2	1	0	0	0	4	3	3	4
C[Del(T):R2]G	2	1	1	0	0	1	1	2	1
C[Del(T):R3]A	0	2	1	0	1	2	2	5	0
C[Del(T):R3]C	0	3	1	0	0	2	2	6	2
C[Del(T):R3]G	0	3	0	1	1	1	1	2	0
C[Del(T):R4]A	0	1	2	2	0	0	0	6	0
C[Del(T):R4]C	0	0	0	1	0	0	0	7	1
C[Del(T):R4]G	0	0	1	0	1	0	0	2	1
C[Del(T):R5]A	0	2	0	0	0	2	2	6	0
C[Del(T):R5]C	0	0	1	1	0	2	2	6	0
C[Del(T):R5]G	0	0	2	0	0	2	1	5	0
C[Del(T):R6]A	0	1	1	0	0	1	1	13	0
C[Del(T):R6]C	0	1	1	0	0	1	1	10	2
C[Del(T):R6]G	0	1	1	1	0	0	0	4	0
C[Del(T):R7]A	0	3	5	0	0	2	2	43	1
C[Del(T):R7]C	0	1	4	1	0	0	0	34	2
C[Del(T):R7]G	0	2	5	0	0	0	1	30	1
C[Del(T):R8]A	0	3	0	1	0	2	4	55	0
C[Del(T):R8]C	0	3	2	1	1	2	2	54	1
C[Del(T):R8]G	0	1	8	0	0	1	1	36	0
C[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0
G[Del(T):R1]A	0	0	1	0	1	2	2	2	1
G[Del(T):R1]C	0	0	2	2	0	0	0	4	1
G[Del(T):R1]G	0	3	0	1	0	2	1	4	1
G[Del(T):R2]A	0	0	1	1	0	2	1	12	0
G[Del(T):R2]C	0	0	1	1	1	1	1	9	0
G[Del(T):R2]G	0	0	0	0	0	2	0	6	0
G[Del(T):R3]A	0	2	2	2	0	2	1	7	0
G[Del(T):R3]C	0	0	0	0	0	2	2	3	1
G[Del(T):R3]G	0	0	1	0	0	0	0	3	0
G[Del(T):R4]A	0	0	1	0	0	1	1	3	1
G[Del(T):R4]C	0	0	1	2	0	0	0	2	0
G[Del(T):R4]G	0	1	0	1	1	1	0	8	1
G[Del(T):R5]A	0	0	1	0	0	1	1	11	0
G[Del(T):R5]C	0	0	1	0	0	0	0	9	0
G[Del(T):R5]G	0	1	1	0	0	1	1	6	0
G[Del(T):R6]A	0	0	0	1	0	2	1	13	0
G[Del(T):R6]C	1	1	0	0	0	1	1	5	0
G[Del(T):R6]G	0	0	0	0	0	0	0	3	0
G[Del(T):R7]A	0	1	2	0	0	1	1	16	0
G[Del(T):R7]C	0	0	2	0	0	1	0	30	0
G[Del(T):R7]G	1	1	0	0	0	1	1	15	0
G[Del(T):R8]A	0	0	4	0	1	2	2	25	0
G[Del(T):R8]C	0	1	2	1	0	0	0	21	0
G[Del(T):R8]G	0	0	1	0	0	1	0	24	0
G[Del(T):R(9,)]A	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]C	0	0	0	0	0	0	0	0	0
G[Del(T):R(9,)]G	0	0	0	0	0	0	0	0	0
A[Ins(C):R0]A	0	3	4	1	0	2	1	172	2
A[Ins(C):R0]G	0	0	0	1	0	0	0	9	0
A[Ins(C):R0]T	0	0	1	0	0	0	0	107	0
A[Ins(C):R1]A	0	0	0	0	0	0	0	8	0
A[Ins(C):R1]G	0	0	0	0	0	0	0	0	0
A[Ins(C):R1]T	0	1	0	0	1	1	0	2	0
A[Ins(C):R2]A	0	0	0	0	0	1	0	0	0
A[Ins(C):R2]G	0	1	0	0	0	0	0	0	0
A[Ins(C):R2]T	0	0	1	0	0	0	0	1	0
A[Ins(C):R3]A	0	0	0	0	0	2	0	2	0
A[Ins(C):R3]G	0	0	0	1	0	0	0	0	0
A[Ins(C):R3]T	0	0	1	0	0	0	0	1	0
A[Ins(C):R4]A	0	0	0	1	0	0	0	2	0
A[Ins(C):R4]G	0	0	0	0	0	0	0	1	0
A[Ins(C):R4]T	0	0	0	0	0	1	0	1	0
A[Ins(C):R5]A	0	0	0	1	0	0	0	1	0
A[Ins(C):R5]G	0	0	0	0	0	0	0	1	0
A[Ins(C):R5]T	0	0	1	0	0	0	0	0	0
A[Ins(C):R6]A	0	0	0	0	1	0	0	0	2
A[Ins(C):R6]G	0	0	0	0	0	0	0	0	0
A[Ins(C):R6]T	0	0	0	0	0	1	1	1	0
A[Ins(C):R7]A	0	1	0	0	0	0	0	3	2
A[Ins(C):R7]G	0	0	0	0	0	0	0	1	0
A[Ins(C):R7]T	0	1	0	0	0	0	0	0	0
A[Ins(C):R8]A	0	5	1	2	0	0	0	3	0
A[Ins(C):R8]G	0	0	0	0	0	0	0	0	0
A[Ins(C):R8]T	0	1	0	0	0	0	0	3	0
A[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0
A[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0
G[Ins(C):R0]A	4	0	0	0	0	0	0	3	0
G[Ins(C):R0]G	0	0	0	1	0	0	0	0	0
G[Ins(C):R0]T	0	0	0	1	0	0	1	2	0
G[Ins(C):R1]A	0	0	0	0	0	0	0	2	1
G[Ins(C):R1]G	0	0	0	0	0	1	1	0	1
G[Ins(C):R1]T	1	0	0	0	0	0	0	0	0
G[Ins(C):R2]A	0	0	0	0	0	0	0	0	0
G[Ins(C):R2]G	0	0	0	0	0	0	0	0	0
G[Ins(C):R2]T	0	0	0	0	1	1	0	1	0
G[Ins(C):R3]A	0	0	0	0	0	0	0	0	0
G[Ins(C):R3]G	1	0	0	0	0	1	0	0	0
G[Ins(C):R3]T	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]A	0	1	1	0	0	0	0	1	0
G[Ins(C):R4]G	0	0	0	0	0	0	0	0	0
G[Ins(C):R4]T	0	0	0	0	0	0	0	0	0
G[Ins(C):R5]A	0	0	0	1	0	0	0	0	0
G[Ins(C):R5]G	0	0	0	0	0	0	0	0	0
G[Ins(C):R5]T	0	1	0	0	0	0	0	1	0
G[Ins(C):R6]A	0	1	0	0	0	1	1	0	0
G[Ins(C):R6]G	0	0	0	0	0	0	0	1	0
G[Ins(C):R6]T	0	0	0	0	0	0	0	0	0
G[Ins(C):R7]A	0	1	0	0	0	0	0	2	1
G[Ins(C):R7]G	0	0	0	0	0	0	1	1	0
G[Ins(C):R7]T	0	0	0	0	0	0	1	0	0
G[Ins(C):R8]A	0	2	2	0	0	0	0	4	0
G[Ins(C):R8]G	0	0	0	0	0	0	0	0	1
G[Ins(C):R8]T	0	1	1	1	0	0	0	1	0
G[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0
G[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0
T[Ins(C):R0]A	0	1	0	0	0	1	1	4	0
T[Ins(C):R0]G	1	0	0	0	1	1	0	0	0
T[Ins(C):R0]T	0	2	2	2	2	2	2	14	0
T[Ins(C):R1]A	0	1	0	0	1	2	2	3	0
T[Ins(C):R1]G	0	0	0	0	0	0	0	2	0
T[Ins(C):R1]T	0	4	0	0	0	0	0	1	1
T[Ins(C):R2]A	0	0	0	0	0	1	0	2	0
T[Ins(C):R2]G	0	0	0	0	0	0	0	0	0
T[Ins(C):R2]T	0	0	0	0	0	0	0	3	0
T[Ins(C):R3]A	0	1	0	0	0	0	0	2	2
T[Ins(C):R3]G	0	0	0	0	0	0	0	1	0
T[Ins(C):R3]T	0	2	0	1	0	0	0	1	0
T[Ins(C):R4]A	0	0	3	0	0	1	1	3	1
T[Ins(C):R4]G	0	0	0	0	0	0	0	1	0
T[Ins(C):R4]T	0	0	1	0	0	0	0	1	1
T[Ins(C):R5]A	0	1	0	1	0	0	0	0	0
T[Ins(C):R5]G	0	1	0	0	0	0	0	0	0
T[Ins(C):R5]T	0	0	0	0	0	0	1	2	0
T[Ins(C):R6]A	0	1	2	0	0	0	0	2	0
T[Ins(C):R6]G	0	0	0	0	0	0	0	0	0
T[Ins(C):R6]T	0	0	0	0	1	0	0	1	0
T[Ins(C):R7]A	0	0	0	1	1	1	1	4	0
T[Ins(C):R7]G	0	0	0	0	0	0	0	1	2
T[Ins(C):R7]T	0	1	0	0	0	0	0	1	0
T[Ins(C):R8]A	1	1	1	0	1	0	0	2	0
T[Ins(C):R8]G	0	0	0	0	0	0	1	0	0
T[Ins(C):R8]T	0	1	1	1	0	0	0	0	0
T[Ins(C):R(9,)]A	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]G	0	0	0	0	0	0	0	0	0
T[Ins(C):R(9,)]T	0	0	0	0	0	0	0	0	0
A[Ins(T):R0]A	1	10	4	1	1	0	0	18	5
A[Ins(T):R0]C	0	0	1	0	1	0	0	1	1
A[Ins(T):R0]G	1	0	0	0	0	0	0	2	1
A[Ins(T):R1]A	0	3	1	1	3	1	1	8	4
A[Ins(T):R1]C	0	0	1	0	0	0	0	3	0
A[Ins(T):R1]G	0	1	0	0	0	0	0	1	0
A[Ins(T):R2]A	1	2	1	0	0	1	1	5	0
A[Ins(T):R2]C	0	1	1	0	0	0	0	0	0
A[Ins(T):R2]G	0	1	0	0	2	0	0	3	0
A[Ins(T):R3]A	0	3	3	2	0	1	1	2	1
A[Ins(T):R3]C	0	0	0	0	1	0	0	0	0
A[Ins(T):R3]G	0	0	0	0	1	0	1	2	1
A[Ins(T):R4]A	0	0	2	0	0	3	1	5	0
A[Ins(T):R4]C	0	0	1	0	1	1	1	2	0
A[Ins(T):R4]G	0	1	0	0	0	1	1	5	1
A[Ins(T):R5]A	1	6	0	0	0	2	1	9	0
A[Ins(T):R5]C	0	4	2	1	0	1	1	4	2
A[Ins(T):R5]G	2	2	2	0	0	2	2	8	3
A[Ins(T):R6]A	1	10	5	1	0	3	3	16	4
A[Ins(T):R6]C	2	7	6	3	1	2	4	29	8
A[Ins(T):R6]G	1	12	4	7	2	5	3	26	7
A[Ins(T):R7]A	1	18	11	2	1	3	4	39	5
A[Ins(T):R7]C	2	18	8	2	0	3	3	30	7
A[Ins(T):R7]G	2	15	4	5	1	6	4	27	6
A[Ins(T):R8]A	1	18	7	2	4	5	7	33	9
A[Ins(T):R8]C	3	20	8	2	2	6	8	30	3
A[Ins(T):R8]G	0	17	6	3	0	6	3	34	5
A[Ins(T):R(9,)]A	0	0	0	0	0	0	0	0	0
A[Ins(T):R(9,)]C	0	0	0	0	0	0	0	0	0
A[Ins(T):R(9,)]G	0	0	0	0	0	0	0	0	0
C[Ins(T):R0]A	0	0	1	3	1	1	1	2	1
C[Ins(T):R0]C	0	2	0	0	1	2	0	0	0
C[Ins(T):R0]G	0	0	0	0	0	0	1	2	0
C[Ins(T):R1]A	1	1	0	1	0	0	0	4	2
C[Ins(T):R1]C	1	0	0	1	1	1	1	1	0
C[Ins(T):R1]G	1	0	1	1	0	1	1	3	0
C[Ins(T):R2]A	1	0	0	1	1	0	0	1	0
C[Ins(T):R2]C	1	2	1	0	0	1	1	1	0
C[Ins(T):R2]G	0	0	0	0	1	0	0	1	1
C[Ins(T):R3]A	0	2	0	0	0	0	1	1	0
C[Ins(T):R3]C	0	0	0	0	0	1	0	3	1
C[Ins(T):R3]G	0	0	0	0	0	0	0	0	0
C[Ins(T):R4]A	0	0	0	0	0	0	0	4	1
C[Ins(T):R4]C	0	1	0	0	1	0	0	2	0
C[Ins(T):R4]G	0	0	1	0	0	0	0	2	0
C[Ins(T):R5]A	0	2	0	0	0	1	1	5	0
C[Ins(T):R5]C	0	3	1	0	0	2	1	0	3
C[Ins(T):R5]G	1	2	0	1	0	1	1	5	0
C[Ins(T):R6]A	0	4	2	1	0	1	2	12	2
C[Ins(T):R6]C	0	12	5	1	1	2	1	15	2
C[Ins(T):R6]G	1	3	7	1	0	2	3	12	3
C[Ins(T):R7]A	0	8	5	3	1	4	2	18	0
C[Ins(T):R7]C	0	6	5	1	2	4	3	8	1
C[Ins(T):R7]G	0	7	8	3	1	1	2	13	3
C[Ins(T):R8]A	0	13	6	4	1	2	5	29	4
C[Ins(T):R8]C	0	13	6	1	0	2	4	17	4
C[Ins(T):R8]G	0	13	5	4	3	6	5	18	5
C[Ins(T):R(9,)]A	0	0	0	0	0	0	0	0	0
C[Ins(T):R(9,)]C	0	0	0	0	0	0	0	0	0
C[Ins(T):R(9,)]G	0	0	0	0	0	0	0	0	0
G[Ins(T):R0]A	2	1	1	0	0	0	1	7	1
G[Ins(T):R0]C	0	0	0	0	0	0	0	18	0
G[Ins(T):R0]G	0	2	1	0	1	2	0	19	2
G[Ins(T):R1]A	0	2	3	1	1	3	2	15	3
G[Ins(T):R1]C	0	0	0	0	0	0	0	8	0
G[Ins(T):R1]G	0	0	0	1	1	2	1	28	0
G[Ins(T):R2]A	0	0	0	0	0	1	0	6	0
G[Ins(T):R2]C	0	0	0	1	0	1	0	19	1
G[Ins(T):R2]G	0	0	0	1	0	0	0	10	0
G[Ins(T):R3]A	0	0	1	0	0	0	0	4	1
G[Ins(T):R3]C	0	0	0	0	1	0	0	3	0
G[Ins(T):R3]G	0	0	0	0	1	1	0	7	0
G[Ins(T):R4]A	0	0	0	0	0	1	0	4	0
G[Ins(T):R4]C	0	1	0	0	0	0	0	4	0
G[Ins(T):R4]G	0	0	2	0	1	3	1	5	0
G[Ins(T):R5]A	0	1	0	0	0	0	0	3	2
G[Ins(T):R5]C	0	2	1	0	0	0	0	1	0
G[Ins(T):R5]G	0	3	0	0	0	1	0	5	0
G[Ins(T):R6]A	1	3	4	1	1	1	0	12	1
G[Ins(T):R6]C	1	7	3	2	0	2	4	9	1
G[Ins(T):R6]G	0	5	4	0	2	2	2	16	2
G[Ins(T):R7]A	4	15	4	1	3	2	5	18	4
G[Ins(T):R7]C	0	10	4	1	4	2	3	16	3
G[Ins(T):R7]G	0	15	1	2	4	3	2	22	2
G[Ins(T):R8]A	0	17	6	3	0	1	2	13	3
G[Ins(T):R8]C	1	10	3	6	1	2	3	14	3
G[Ins(T):R8]G	0	13	5	6	2	5	3	30	12
G[Ins(T):R(9,)]A	0	0	0	0	0	0	0	0	0
G[Ins(T):R(9,)]C	0	0	0	0	0	0	0	0	0
G[Ins(T):R(9,)]G	0	0	0	0	0	0	0	0	0
Del2:U1:R1	2	1	4	1	0	3	2	1	4
Del3:U1:R1	0	0	1	2	0	1	1	2	0
Del4:U1:R1	1	0	1	0	0	3	2	4	1
Del5:U1:R1	0	1	0	0	1	1	4	1	1
Del6:U1:R1	0	0	2	0	1	5	2	0	1
Del7:U1:R1	0	0	0	0	3	0	2	1	1
Del8:U1:R1	0	1	0	1	0	1	3	1	0
Del9:U1:R1	1	0	1	0	0	0	0	1	1
Del(10,):U1:R1	2	4	2	3	2	4	7	7	3
Del2:U(2,):R1	2	2	4	5	0	7	6	17	3
Del3:U(2,):R1	2	1	1	3	0	1	2	3	0
Del4:U(2,):R1	1	1	2	1	0	2	5	3	2
Del5:U(2,):R1	1	2	0	2	1	4	11	2	4
Del6:U(2,):R1	0	0	1	7	0	7	10	2	0
Del7:U(2,):R1	0	2	1	1	3	2	10	1	1
Del8:U(2,):R1	0	0	0	3	1	6	5	2	1
Del9:U(2,):R1	0	1	2	0	2	1	5	1	0
Del(10,):U(2,):R1	5	2	5	8	4	18	22	16	11
Del2:U1:R3	0	1	5	0	1	3	4	10	2
Del2:U1:R4	0	4	1	0	0	1	1	4	2
Del2:U1:R(5,9)	1	1	0	1	1	3	2	6	0
Del2:U2:R2	1	16	9	1	2	7	6	17	10
Del2:U2:R3	1	4	4	0	1	2	3	5	0
Del2:U2:R4	0	4	2	0	1	1	1	5	1
Del2:U2:R(5,9)	2	3	4	0	0	11	6	18	3
Del3:U1:R4	0	0	0	0	0	2	3	0	0
Del3:U1:R(5,9)	0	1	0	0	0	3	2	1	0
Del3:U3:R2	4	16	12	3	2	6	5	11	11
Del3:U3:R3	2	4	3	0	0	1	1	1	1
Del3:U3:R4	0	2	2	0	0	1	0	0	1
Del3:U3:R(5,9)	0	3	0	2	0	1	0	1	2
Del4:U1:R(5,9)	0	1	0	0	0	0	0	0	0
Del4:U2:R3	0	0	1	0	0	1	1	1	0
Del4:U2:R4	0	0	0	0	0	2	1	2	1
Del4:U2:R(5,9)	0	1	2	0	2	1	1	4	2
Del4:U4:R2	1	8	6	2	2	3	2	10	4
Del4:U4:R3	0	0	4	2	0	1	1	6	0
Del4:U4:R4	1	2	2	0	0	2	0	3	2
Del4:U4:R(5,9)	0	0	1	2	0	2	0	2	0
Del5:U1:R(5,9)	0	0	0	0	0	0	0	0	0
Del5:U5:R2	3	0	1	2	0	0	0	1	0
Del5:U5:R3	0	1	0	0	0	1	1	0	0
Del5:U5:R4	0	0	0	0	0	1	0	1	0
Del5:U5:R(5,9)	0	0	0	0	0	0	0	0	0
Del(6,):U1:R(7,9)	0	0	0	0	0	0	0	0	0
Del(6,):U2:R(4,9)	0	1	1	1	0	0	0	0	0
Del(6,):U3:R(3,9)	0	0	0	0	0	0	0	0	1
Del(6,):U(4,):R(2,9)	3	2	4	0	2	1	2	11	2
Ins(2,4):M	6	14	6	3	5	19	13	64	8
Ins(5,):M	13	20	19	18	20	20	41	59	9
Ins2:U1:R0	1	3	0	1	0	1	0	2	0
Ins3:U1:R0	0	0	0	0	0	0	0	0	0
Ins4:U1:R0	0	0	0	0	0	0	0	0	0
Ins2:U2:R0	0	1	0	2	4	1	3	3	0
Ins3:U3:R0	3	1	3	0	2	2	2	1	1
Ins4:U2:R0	1	0	0	0	0	0	0	0	0
Ins4:U4:R0	1	0	0	0	1	1	2	3	1
Ins(5,):R0	4	2	5	32	25	39	93	10	5
Ins2:U1:R1	0	2	1	0	0	1	0	6	0
Ins2:U1:R2	0	0	0	0	0	0	0	0	0
Ins2:U1:R3	0	1	1	0	0	2	1	2	0
Ins2:U1:R4	0	0	0	0	0	0	0	0	0
Ins2:U1:R(5,9)	0	0	0	1	1	2	0	7	0
Ins2:U2:R1	0	3	4	1	1	2	0	2	1
Ins2:U2:R2	2	0	2	0	0	1	1	2	0
Ins2:U2:R3	0	1	0	1	0	0	0	5	0
Ins2:U2:R4	0	4	0	1	2	3	3	9	2
Ins2:U2:R(5,9)	4	59	21	8	1	14	8	78	8
Ins3:U1:R1	0	0	0	0	1	1	1	1	0
Ins3:U1:R2	0	0	0	0	0	0	1	0	0
Ins3:U1:R3	0	0	0	0	0	0	0	0	0
Ins3:U1:R4	0	1	0	0	0	0	0	0	0
Ins3:U1:R(5,9)	0	0	1	0	0	0	0	0	0
Ins3:U3:R1	3	4	2	0	0	0	0	3	1
Ins3:U3:R2	1	0	0	0	0	0	0	2	0
Ins3:U3:R3	0	0	0	0	0	0	0	0	0
Ins3:U3:R4	0	2	0	0	0	0	0	0	0
Ins3:U3:R(5,9)	0	5	2	1	0	2	2	5	1
Ins4:U1:R1	0	0	0	0	0	0	0	0	0
Ins4:U1:R2	0	0	0	0	0	0	0	0	0
Ins4:U1:R3	0	0	0	0	0	0	0	0	0
Ins4:U1:R4	0	0	0	0	0	0	0	0	1
Ins4:U1:R(5,9)	0	0	0	0	0	0	0	0	0
Ins4:U2:R1	0	0	0	0	0	0	0	0	0
Ins4:U2:R2	1	1	0	1	0	1	1	0	0
Ins4:U2:R3	0	0	0	0	1	0	0	1	0
Ins4:U2:R4	0	0	0	0	0	0	0	0	2
Ins4:U2:R(5,9)	0	1	0	0	0	0	0	3	1
Ins4:U4:R1	1	3	10	0	1	0	1	7	2
Ins4:U4:R2	1	0	0	0	0	0	0	2	0
Ins4:U4:R3	0	0	0	0	0	0	0	4	1
Ins4:U4:R4	0	0	0	0	0	0	0	4	0
Ins4:U4:R(5,9)	0	5	4	1	0	2	1	5	2
Ins(5,):U1:R1	0	0	0	0	0	0	0	0	0
Ins(5,):U1:R2	0	0	0	0	0	0	1	0	0
Ins(5,):U1:R3	0	0	0	0	0	0	0	0	0
Ins(5,):U1:R4	0	1	0	0	0	0	0	1	0
Ins(5,):U1:R(5,9)	1	0	0	0	0	0	0	2	0
Ins(5,):U2:R1	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R2	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R3	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R4	0	0	0	0	0	0	0	0	0
Ins(5,):U2:R(5,9)	0	3	0	0	1	0	1	1	1
Ins(5,):U(3,):R1	1	7	5	2	4	1	0	15	4
Ins(5,):U(3,):R2	0	1	0	0	0	1	0	2	0
Ins(5,):U(3,):R3	0	0	0	0	0	0	0	0	0
Ins(5,):U(3,):R4	0	0	0	0	0	0	0	1	0
Ins(5,):U(3,):R(5,9)	0	1	0	0	1	0	0	2	1
Del2:M1	4	9	9	1	0	13	9	20	8
