MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003	CPCT02060034T	CPCT02020356T	CPCT02050063T	CPCT02030275T	CPCT02070033T	CPCT02030294T	CPCT02070038T	CPCT02080179T	CPCT02010866TII	CPCT02330133T	CPCT02050427T	DRUP01030028T	CPCT02080193T	CPCT02030556T	CPCT02120111T	CPCT02050341T	WIDE01010210T	WIDE01010208T	CPCT02290033T	CPCT02070323T	WIDE01010450T	CPCT02090049T	CPCT02010866T	CPCT02070363T	CPCT02060222T	CPCT02080251T	CPCT02070384T	CPCT02070386T	DRUP01070051T	CPCT02080137T	CPCT02080157T	CPCT02330128T	CPCT02070030T	DRUP01050009T	CPCT02070225T	CPCT02070230T	DRUP01070022T	DRUP01050010T	CPCT02050161T	CPCT02050174T	CPCT02050172T	CPCT02050186T	DRUP01070016T	CPCT02080120T	CPCT02030351T	CPCT02060119T	CPCT02080136T	DRUP01010035T	CPCT02070039T	CPCT02030302T	CPCT02070053T	CPCT02070065T	DRUP01070003T	CPCT02070099T	CPCT02020473T	DRUP01070009T	CPCT02030324T	CPCT02030330T	CPCT02050151T	CPCT02070128T	CPCT02080099T	DRUP01030004T	CPCT02070265T	CPCT02080040T	WIDE01010705T
A[Del(C):R4]G	0	0	0	0	1	1	2	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	9	0	0	2	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0
A[Del(C):R4]T	1	1	0	0	0	1	3	1	0	1	0	10	0	0	0	1	0	1	1	2	2	0	0	10	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	6	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	1	1	5	2	0	0	0	1	0	0	0	0	2	1	0	0	5	1	0	1	2	6	1	0	7	1	0	2	0	1	0	1	2	0	2	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	3	2	3	1	1	0
A[Del(C):R5]A	7	0	1	1	0	2	1	0	0	2	1	29	1	3	1	2	0	0	1	0	2	0	0	22	0	4	0	0	1	0	0	0	0	3	0	1	0	1	1	13	3	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	14	2	1	2	1	1	0	1	0	0	1	2	1	0	10	1	0	3	1	5	2	0	37	0	0	1	0	2	0	0	0	0	1	0	0	0	2	0	0	0	1	4	0	0	0	1	0	2	1	4	0	0	0	1	1	1	0
A[Del(C):R5]G	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	12	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R5]T	2	0	0	0	0	0	0	1	0	4	0	9	0	2	0	2	0	0	0	0	1	0	0	6	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	6	2	0	1	0	2	0	0	1	1	4	1	0	0	7	1	0	0	0	0	0	0	38	0	0	0	0	1	1	0	0	2	5	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	2	0	1	0
A[Del(C):R6]A	4	0	1	0	1	0	1	0	0	1	0	10	1	0	1	1	0	0	0	0	3	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	4	0	0	7	0	0	1	1	1	0	0	0	0	1	1	0	0	6	1	0	0	0	2	0	3	64	0	0	0	0	0	0	1	0	0	0	3	0	0	3	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	2	3	1	0	0
A[Del(C):R6]G	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	27	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A[Del(C):R6]T	0	0	0	0	2	1	0	1	0	0	0	5	0	2	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	2	37	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
A[Del(C):R7]A	2	0	0	0	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	2	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	2	0	0	80	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0
A[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A[Del(C):R7]T	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R8]A	1	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	1	0	0	0	0	0	1	3	1	2	79	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
A[Del(C):R8]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
A[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	3	0	1	1	0	2	6	1	2	2	3	31	0	3	2	2	2	1	1	2	2	1	0	13	0	1	1	2	0	0	1	0	1	7	0	1	0	1	4	24	4	0	1	0	1	0	0	1	0	0	2	0	0	0	0	2	0	1	1	6	1	1	5	3	4	8	5	3	4	3	7	0	0	0	2	4	2	1	1	6	2	0	7	0	9	4	6	8	2	0	7	1	6	2	5	1	2	5	1	1	4	6	1	1	0	2	0	2	1	1	0	1	2	5	6	0	1	4	6	0	2	0
G[Del(C):R1]G	0	0	0	1	0	0	4	0	0	0	0	20	0	0	0	0	0	0	2	0	1	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	2	0	3	6	0	1	0	1	1	0	0	0	0	1	1	0	0	6	0	1	2	1	3	0	0	7	1	0	0	2	0	3	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	1	1	0	0	1	2	0	0	0
G[Del(C):R1]T	5	0	2	5	0	5	12	1	4	6	3	33	1	12	5	6	1	1	4	0	1	3	3	18	1	7	1	3	1	0	0	0	2	9	3	2	2	9	5	26	10	1	1	0	0	2	3	1	0	3	4	1	1	2	4	1	1	2	3	5	1	0	11	4	7	15	20	3	1	4	11	0	1	2	3	5	1	2	3	16	4	0	18	2	5	4	8	7	5	0	14	1	7	3	1	5	1	10	7	4	2	4	0	1	0	3	1	0	1	0	3	1	2	3	3	1	4	7	13	3	2	4
G[Del(C):R2]A	10	0	1	5	2	1	7	2	2	1	1	111	1	5	1	6	0	1	1	1	7	1	1	66	1	5	1	2	0	0	0	0	4	2	1	2	1	3	2	68	13	0	0	2	2	2	3	0	0	0	1	1	0	0	2	3	0	3	3	3	2	1	8	2	0	36	19	3	2	6	11	0	3	1	2	11	1	1	0	39	1	0	11	3	8	1	11	7	8	0	8	2	4	2	2	4	3	7	7	5	0	3	3	1	1	3	2	0	0	0	1	2	3	2	7	0	4	1	8	3	2	0
G[Del(C):R2]G	1	0	0	0	0	0	1	0	0	0	0	27	0	2	0	0	0	0	0	0	2	0	0	12	0	0	0	1	0	0	0	0	0	3	1	1	0	0	0	16	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	8	1	1	0	0	1	0	1	0	1	2	0	0	0	8	0	0	1	1	0	1	3	3	1	0	1	0	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1	1
G[Del(C):R2]T	5	1	2	1	0	1	4	0	2	3	2	69	1	2	1	4	0	2	0	1	3	1	2	43	1	4	1	0	1	2	0	0	3	4	1	2	2	0	4	57	10	2	1	1	1	2	0	1	0	0	0	0	0	0	2	1	0	0	0	5	6	4	9	1	0	17	13	1	1	2	8	0	1	0	0	7	0	1	0	17	1	1	6	3	7	5	6	6	3	0	5	0	2	0	1	3	0	7	8	1	1	2	2	2	0	5	2	0	0	1	0	0	1	1	4	1	1	2	12	3	4	0
G[Del(C):R3]A	9	0	3	2	1	1	4	1	3	5	1	65	0	5	3	4	0	3	0	0	8	0	1	36	3	1	0	1	0	1	0	0	2	3	1	0	1	2	1	43	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	2	1	3	0	2	15	7	3	3	1	6	0	1	0	1	3	2	0	0	15	2	0	9	1	3	2	7	9	2	0	6	0	3	1	1	4	2	6	1	3	0	0	0	1	0	2	1	0	0	1	0	0	2	1	3	1	2	3	3	3	0	1
G[Del(C):R3]G	0	0	0	0	0	0	0	0	0	1	0	22	0	1	0	2	0	0	0	0	0	0	0	10	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	12	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	3	5	0	0	0	3	0	0	1	0	1	0	0	0	3	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	2	1	0	0	1
G[Del(C):R3]T	2	0	0	2	1	1	6	0	0	1	0	27	1	1	2	1	0	0	0	0	0	0	0	15	1	1	0	1	0	0	0	0	1	3	0	0	0	1	1	26	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	3	2	1	8	7	1	1	1	6	0	1	1	0	4	0	1	0	7	4	0	1	0	2	2	5	4	1	0	2	1	3	2	0	2	2	2	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	1	3	1	1	0
G[Del(C):R4]A	7	0	0	2	1	0	6	0	0	0	0	23	0	6	2	5	0	1	0	1	4	1	0	12	0	5	0	3	0	2	1	0	0	0	2	2	1	2	0	14	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	8	2	2	4	0	1	0	0	1	1	4	1	1	0	8	1	0	2	1	1	2	0	10	4	0	0	0	0	0	1	1	0	1	0	0	2	4	0	1	1	1	0	0	0	0	1	1	1	3	2	0	0	3	0	1	2	0
G[Del(C):R4]G	2	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0
G[Del(C):R4]T	3	0	1	0	1	0	3	0	0	1	0	13	1	0	2	2	0	1	2	1	0	0	0	9	1	0	0	0	0	0	0	0	1	2	1	1	0	0	0	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	4	1	2	0	0	0	0	1	0	0	0	0	1	0	2	0	2	1	1	14	1	0	3	0	1	0	2	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0
G[Del(C):R5]A	2	0	0	1	1	0	2	1	0	0	0	20	0	4	1	3	0	0	1	0	1	2	0	7	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	2	5	6	2	2	0	1	0	0	1	2	1	0	0	0	6	0	0	4	0	2	0	2	37	1	0	0	0	1	1	0	1	0	3	1	1	0	1	0	0	0	0	2	0	0	1	0	0	1	0	3	0	1	2	0	0	0	0
G[Del(C):R5]G	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
G[Del(C):R5]T	3	0	1	0	0	1	1	1	1	2	0	8	1	1	0	2	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	2	1	1	0	0	1	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0	1	2	0	2	0	0	0	0	0	0	0	1	3	0	0	1	0	2	0	1	32	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	2	0	0	0	1	1	0	0
G[Del(C):R6]A	4	1	0	1	1	0	2	1	0	0	0	11	1	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	8	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	2	0	3	4	0	2	0	0	0	0	1	0	0	0	2	0	2	1	0	0	0	1	55	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
G[Del(C):R6]G	0	0	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
G[Del(C):R6]T	0	0	0	0	0	1	0	0	1	2	0	5	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	25	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
G[Del(C):R7]A	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	43	0	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G[Del(C):R7]G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
